试卷名,编号,文本,关键字,备注,是否子句/子句关系,逗号前后特征,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,（auto）成分分析
2010-北京,4-D,图上标出的经纬网格区中***从夏至到秋分，②比⑤的正午太阳高度角变化幅度大,从...到...,,×,,7,,4 13,,图 上 标出 的 经纬网 格区 中 从夏至到秋分 ， ② 比 ⑤ 的 正午太阳高度角 变化 幅度 大,图 上 标出 的 经纬网 格区 中 从 夏至 到 秋分 ， ② 比 ⑤ 的 正午 太阳 高度 角 变化 幅度 大,NN LC VV DEC term NN LC time PU NN P NN DEG term NN NN VA,( (IP (LCP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 上)) (VP (VV 标出)))) (DEC 的)) (NP (NN 经纬网) (NN 格区))) (LC 中)) (NP (NT 从夏至到秋分)) (PU ，) (NP (NN ②)) (VP (PP (P 比) (NP (DNP (NP (NN ⑤)) (DEG 的)) (NP (NN 正午太阳高度角) (NN 变化) (NN 幅度)))) (VP (VA 大)))) )
2010-北京,9-D,根据图中信息可以判断***1963年时湖底东南高，西北低,时,,并列,一个含时间词，另一个不喊时间,6,,,,根据 图 中 信息 可以 判断 1963年 时 湖底 东南 高 ， 西北 低,根据 图 中 信息 可以 判断 1963年 时 湖底 东南 高 ， 西北 低,P NN LC NN VV VV time LC NN NN VA PU NN VA,( (IP (IP (PP (P 根据) (LCP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 可以) (VP (VV 判断) (NP (NT 1963年))))) (LC 时))) (NP (NN 湖底) (NN 东南)) (VP (VA 高))) (PU ，) (IP (NP (NN 西北)) (VP (VA 低)))) )
2011-北京,10-D,该图的制作与应用借助于***数字地球技术，实现道路与监测点的互换,*借助于,,？,一个表示工具，一个表示使用工具完成的事情,,,8,,该 图 的 制作 与 应用 借助 于 数字地球技术 ， 实现 道路 与 监测点 的 互换,该 图 的 制作 与 应用 借助 于 数字 地球 技术 ， 实现 道路 与 监测点 的 互换,DT NN DEG NN CC NN VV P term PU VV NN CC NN DEG NN,( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VP (VV 借助) (PP (P 于) (NP (NN 数字地球技术)))) (PU ，) (VP (VV 实现) (NP (DNP (NP (NN 道路) (CC 与) (NN 监测点)) (DEG 的)) (NP (NN 互换)))))) )
2011年北京市西城区高三第一学期期末考试,22-B,河西走廊水资源开发利用中，违背可持续发展区际公平性原则的是***河流下游水量锐减，甚至断流,甚至,,并列-递进,右半句含有递进词,,0,,,河西走廊 水资源 开发 利用 中 ， 违背 可持续 发展 区际 公平性 原则 的 是 河流 下游 水量 锐减 ， 甚至 断流,河西 走廊 水资源 开发 利用 中 ， 违背 可持续 发展 区际 公平性 原则 的 是 河流 下游 水量 锐减 ， 甚至 断流,loc NN NN NN LC PU VV JJ NN NN JJ NN DEC VC NN NN NN VV PU AD VV,( (IP (LCP (NP (NP (NR 河西走廊) (NN 水资源)) (NP (NN 开发) (NN 利用))) (LC 中)) (PU ，) (NP (CP (IP (VP (VV 违背) (NP (NP (ADJP (JJ 可持续)) (NP (NN 发展) (NN 区际))) (ADJP (JJ 公平性)) (NP (NN 原则))))) (DEC 的))) (VP (VC 是) (IP (IP (NP (NN 河流) (NN 下游) (NN 水量)) (VP (VV 锐减))) (PU ，) (IP (VP (ADVP (AD 甚至)) (VP (VV 断流))))))) )
2011年北京市西城区高三第一学期期末考试,28-A,下列关于各省情况的对比，正确的是***耕地面积①省（区）比②省（区）小，因此，山区面积①省（区）比②省（区）大,因此,,因果,,,,,,下列 关于 各 省 情况 的 对比 ， 正确 的 是 耕地 面积 ① 省 （ 区 ） 比 ② 省 （ 区 ） 小 ， 因此 ， 山区 面积 ① 省 （ 区 ） 比 ② 省 （ 区 ） 大,下列 关于 各 省 情况 的 对比 ， 正确 的 是 耕地 面积 ① 省 （ 区 ） 比 ② 省 （ 区 ） 小 ， 因此 ， 山区 面积 ① 省 （ 区 ） 比 ② 省 （ 区 ） 大,JJ P DT NN NN DEG NN PU VA DEC VC NN NN NN NN PU NN PU P NN NN PU NN PU VA PU AD PU NN NN NN NN PU NN PU P JJ NN PU NN PU VA,( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (DP (DT 各)) (NP (NN 省))) (NP (NN 情况)))) (DEG 的)) (NP (NN 对比))) (PU ，) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NP (NN 耕地) (NN 面积)) (NP (NN ①))) (NP (NN 省) (PU （) (NN 区))))) (PU ）) (IP (PP (P 比) (NP (NN ②))) (NP (NN 省) (PU （) (NN 区) (PU ）)) (VP (VA 小))) (PU ，) (IP (ADVP (AD 因此)) (PU ，) (NP (NP (NN 山区) (NN 面积)) (NP (NN ①) (NN 省)) (PRN (PU （) (NP (NN 区)) (PU ）))) (VP (PP (P 比) (NP (ADJP (JJ ②)) (NP (NN 省)) (PRN (PU （) (NP (NN 区)) (PU ）)))) (VP (VA 大))))) )
2011年北京市西城区高三第一学期期末考试,28-B,下列关于各省情况的对比，正确的是***水资源总量②省（区）比③省（区）大，因此，年降水量②省（区）比③省（区）大,因此,,因果,,,,,,下列 关于 各 省 情况 的 对比 ， 正确 的 是 水资源 总量 ② 省 （ 区 ） 比 ③ 省 （ 区 ） 大 ， 因此 ， 年 降水量 ② 省 （ 区 ） 比 ③ 省 （ 区 ） 大,下列 关于 各 省 情况 的 对比 ， 正确 的 是 水资源 总量 ② 省 （ 区 ） 比 ③ 省 （ 区 ） 大 ， 因此 ， 年 降水量 ② 省 （ 区 ） 比 ③ 省 （ 区 ） 大,JJ P DT NN NN DEG NN PU VA DEC VC NN NN NN NN PU NN PU P NN NN PU NN PU VA PU AD PU JJ NN NN NN PU NN PU P NN NN PU NN PU VA,( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (DP (DT 各)) (NP (NN 省))) (NP (NN 情况)))) (DEG 的)) (NP (NN 对比))) (PU ，) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NP (NN 水资源) (NN 总量) (NN ②)) (NP (NN 省) (PU （) (NN 区))) (PU ）) (VP (PP (P 比) (NP (NP (NN ③)) (NP (NN 省) (PU （) (NN 区) (PU ）)))) (VP (VA 大)))))) (PU ，) (IP (ADVP (AD 因此)) (PU ，) (NP (NP (ADJP (JJ 年)) (NP (NN 降水量) (NN ②))) (NP (NN 省) (PU （) (NN 区))) (PU ）) (VP (PP (P 比) (NP (NP (NN ③)) (NP (NN 省) (PU （) (NN 区) (PU ）)))) (VP (VA 大))))) )
2011年北京市西城区高三第一学期期末考试,28-C,下列关于各省情况的对比，正确的是***木材总蓄积量③省（区）比④省（区）小，因此，森林覆盖率③省（区）比④省（区）低,因此,,因果,,,,,,下列 关于 各 省 情况 的 对比 ， 正确 的 是 木材 总 蓄积量 ③ 省 （ 区 ） 比 ④ 省 （ 区 ） 小 ， 因此 ， 森林 覆盖率 ③ 省 （ 区 ） 比 ④ 省 （ 区 ） 低,下列 关于 各 省 情况 的 对比 ， 正确 的 是 木材 总 蓄积量 ③ 省 （ 区 ） 比 ④ 省 （ 区 ） 小 ， 因此 ， 森林 覆盖率 ③ 省 （ 区 ） 比 ④ 省 （ 区 ） 低,JJ P DT NN NN DEG NN PU VA DEC VC NN JJ NN NN NN PU NN PU P NN NN PU NN PU VA PU AD PU NN NN NN NN PU NN PU P NN NN PU NN PU VA,( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (DP (DT 各)) (NP (NN 省))) (NP (NN 情况)))) (DEG 的)) (NP (NN 对比))) (PU ，) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NP (NN 木材)) (ADJP (JJ 总)) (NP (NN 蓄积量) (NN ③))) (NP (NN 省) (PU （) (NN 区))))) (PU ）) (IP (NP (NP (PP (P 比) (NP (NN ④))) (NP (NN 省))) (NP (PU （) (NN 区) (PU ）))) (VP (VA 小))) (PU ，) (IP (ADVP (AD 因此)) (PU ，) (NP (NN 森林) (NN 覆盖率) (NN ③) (NN 省) (PRN (PU （) (NP (NN 区)) (PU ）))) (VP (PP (P 比) (NP (NP (NN ④)) (NP (NN 省) (PU （) (NN 区) (PU ）)))) (VP (VA 低))))) )
2011年北京市西城区高三第一学期期末考试,28-D,下列关于各省情况的对比，正确的是***城镇人口占总人口比重①省（区）比③省（区）小，因此，乡村人口比重①省（区）比③省（区）大,因此,,因果,,,,,,下列 关于 各 省 情况 的 对比 ， 正确 的 是 城镇 人口 占 总人口 比重 ① 省 （ 区 ） 比 ③ 省 （ 区 ） 小 ， 因此 ， 乡村 人口 比重 ① 省 （ 区 ） 比 ③ 省 （ 区 ） 大,下列 关于 各 省 情况 的 对比 ， 正确 的 是 城镇 人口 占 总人口 比重 ① 省 （ 区 ） 比 ③ 省 （ 区 ） 小 ， 因此 ， 乡村 人口 比重 ① 省 （ 区 ） 比 ③ 省 （ 区 ） 大,JJ P DT NN NN DEG NN PU VA DEC VC NN NN VV NN NN NN NN PU NN PU P NN NN PU NN PU VA PU AD PU NN NN NN NN NN PU NN PU P NN NN PU NN PU VA,( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (DP (DT 各)) (NP (NN 省))) (NP (NN 情况)))) (DEG 的)) (NP (NN 对比))) (PU ，) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (IP (NP (NN 城镇) (NN 人口)) (VP (VV 占) (NP (NP (NP (NN 总人口) (NN 比重)) (NP (NN ①))) (NP (NN 省) (PU （) (NN 区))))) (PU ）) (IP (NP (NP (PP (P 比) (NP (NN ③))) (NP (NN 省))) (NP (PU （) (NN 区) (PU ）))) (VP (VA 小)))))) (PU ，) (IP (ADVP (AD 因此)) (PU ，) (NP (NP (NP (NN 乡村) (NN 人口) (NN 比重)) (NP (NN ①))) (NP (NN 省) (PU （) (NN 区)) (PU ）)) (VP (PP (P 比) (NP (NP (NN ③)) (NP (NN 省) (PU （) (NN 区) (PU ）)))) (VP (VA 大))))) )
2012-北京,3-C,途经该区域的洋流***进入到北冰洋海域，使当地能见度变好,使,,因果-推断？,,,7,,,途经 该 区域 的 洋流 进入 到 北冰洋海域 ， 使 当地 能见度 变好,途经 该 区域 的 洋流 进入 到 北冰洋 海域 ， 使 当地 能见度 变好,VV DT NN DEG NN VV VV loc PU VV NN NN VV,( (IP (VP (VV 途经) (IP (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 区域))) (DEG 的)) (NP (NN 洋流))) (VP (VRD (VV 进入) (VV 到)) (NP (NR 北冰洋海域)))) (PU ，) (VP (VV 使) (NP (NN 当地) (NN 能见度)) (IP (VP (VV 变好))))))) )
2013-北京,5-A,大气中***臭氧层遭到破坏，会导致①增加,导致,,因果-推断？,一个表原因，一个表结果,,,,,大气 中 臭氧层 遭到 破坏 ， 会 导致 ① 增加,大气 中 臭氧层 遭到 破坏 ， 会 导致 ① 增加,NN LC NN VV NN PU VV VV NN VV,( (IP (NP (LCP (NP (NN 大气)) (LC 中)) (NP (NN 臭氧层))) (VP (VP (VV 遭到) (NP (NN 破坏))) (PU ，) (VP (VV 会) (VP (VV 导致) (IP (NP (NN ①)) (VP (VV 增加))))))) )
2013-北京,5-B,大气中***二氧化碳浓度降低，会使②减少,使,,因果-推断？,,,,,,大气 中 二氧化碳 浓度 降低 ， 会 使 ② 减少,大气 中 二氧化碳 浓度 降低 ， 会 使 ② 减少,NN LC NN NN VV PU VV VV NN VV,( (IP (IP (LCP (NP (NN 大气)) (LC 中)) (NP (NN 二氧化碳) (NN 浓度)) (VP (VV 降低))) (PU ，) (VP (VV 会) (VP (VV 使) (NP (NN ②)) (IP (VP (VV 减少)))))) )
2013-北京,5-C,大气中***可吸入颗粒物增加，会使③增加,使,,因果-推断？,,,,,,大气 中 可吸入 颗粒物 增加 ， 会 使 ③ 增加,大气 中 可吸入 颗粒物 增加 ， 会 使 ③ 增加,NN LC JJ NN VV PU VV VV NN VV,( (IP (LCP (NP (NN 大气)) (LC 中)) (NP (ADJP (JJ 可吸入)) (NP (NN 颗粒物))) (VP (VV 增加)) (PU ，) (VP (VV 会) (VP (VV 使) (NP (NN ③)) (IP (VP (VV 增加)))))) )
2013-北京,5-D,大气中***出现雾霾，会导致④在夜间减少,导致,,因果-推断？,,9,,,,大气 中 出现 雾霾 ， 会 导致 ④ 在 夜间 减少,大气 中 出现 雾霾 ， 会 导致 ④ 在 夜间 减少,NN LC VV NN PU VV VV NN P time VV,( (IP (IP (VP (LCP (NP (NN 大气)) (LC 中)) (VP (VV 出现) (NP (NN 雾霾))))) (PU ，) (VP (VV 会) (VP (VV 导致) (IP (NP (NN ④)) (VP (PP (P 在) (NP (NT 夜间))) (VP (VV 减少))))))) )
2014-北京,7-A,本次洪水***水位上升时，河流搬运作用减弱,时,,×,一个表时间条件,,,8,,本 次 洪水 水位 上升 时 ， 河流 搬运作用 减弱,本 次 洪水 水位 上升 时 ， 河流 搬运 作用 减弱,DT M NN NN VV LC PU NN term VV,( (IP (LCP (IP (NP (DP (DT 本) (CLP (M 次))) (NP (NN 洪水) (NN 水位))) (VP (VV 上升))) (LC 时)) (PU ，) (IP (NP (NN 河流) (NN 搬运作用)) (VP (VV 减弱)))) )
2014-北京,7-B,本次洪水***水位下降时，河流含沙量增加,时,,×,,,,,,本 次 洪水 水位 下降 时 ， 河流 含沙量 增加,本 次 洪水 水位 下降 时 ， 河流 含沙量 增加,DT M NN NN VV LC PU NN NN VV,( (IP (LCP (IP (NP (DP (DT 本) (CLP (M 次))) (NP (NN 洪水) (NN 水位))) (VP (VV 下降))) (LC 时)) (PU ，) (NP (NN 河流) (NN 含沙量)) (VP (VV 增加))) )
2014-北京,7-C,本次洪水***流量增大时，河流堆积作用增强,时,,×,,,,8,,本 次 洪水 流量 增大 时 ， 河流 堆积作用 增强,本 次 洪水 流量 增大 时 ， 河流 堆积 作用 增强,DT M NN NN VV LC PU NN term VV,( (IP (LCP (IP (NP (DP (DT 本) (CLP (M 次))) (NP (NN 洪水))) (NP (NN 流量)) (VP (VV 增大))) (LC 时)) (PU ，) (NP (NN 河流) (NN 堆积作用)) (VP (VV 增强))) )
2014北京市东城区高考文综地理二模试题,4-A,修建中巴铁路难度比较大的原因是沿线地区***连接内陆与太平洋，工程量大,（）,,并列？,分割点在题干中,,1 13,,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 连接 内陆 与 太平洋 ， 工程量 大,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 连接 内陆 与 太平洋 ， 工程量 大,VV NN NN AD VA DEC NN VC NN NN VV NN CC NN PU NN VA,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NP (NN 沿线)) (NP (NN 地区))) (VP (VV 连接) (NP (NN 内陆) (CC 与) (NN 太平洋)))) (PU ，) (IP (NP (NN 工程量)) (VP (VA 大)))))) )
2014北京市丰台区高考文综地理二模试题,5-A,图5为某地理事象过程示意图，若***该图为南水北调东线工程，则甲地区对水资源需求量小,*若...则...,,解说、因果-假设？,一个表示假设条件,,17,,,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小,NN VC DT NN NN NN NN PU CS DT NN VC NN NN NN PU AD loc P NN NN VA,( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 南水北调) (NN 东线) (NN 工程))))) (PU ，) (IP (ADVP (AD 则)) (NP (NP (NR 甲地区)) (PP (P 对) (NP (NN 水资源))) (NP (NN 需求量))) (VP (VA 小))))) )
2014北京市丰台区高考文综地理二模试题,5-B,图5为某地理事象过程示意图，若***图中F为岩石圈物质循环中的重熔作用，则乙为岩浆岩,*若...则...,,解说、因果-假设？,,,,18 23,,图5 为 某 地理 事象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质 循环 中 的 重熔作用 ， 则 乙 为 岩浆岩,图5 为 某 地理 事象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质 循环 中 的 重熔 作用 ， 则 乙 为 岩浆岩,NN VC DT NN NN NN NN PU CS NN LC NN VC NN NN NN LC DEG term PU AD NN VV term,( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN F))) (VP (VC 为) (NP (NP (NN 岩石圈)) (DNP (LCP (NP (NN 物质) (NN 循环)) (LC 中)) (DEG 的)) (NP (NN 重熔作用)))))) (PU ，) (VP (ADVP (AD 则)) (PP (NP (NN 乙))) (VP (VV 为) (NP (NN 岩浆岩)))))) )
2014北京市丰台区高考文综地理二模试题,5-C,图5为某地理事象过程示意图，若***该图为人口迁移示意图，则此过程可缓解甲地人地矛盾,*若...则...,,解说、因果-假设？,,,21,,,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾,NN VC DT NN NN NN NN PU CS DT NN VC NN NN NN PU AD PN NN VV VV loc NN NN,( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 人口) (NN 迁移) (NN 示意图))))) (PU ，) (IP (ADVP (AD 则)) (NP (NP (PN 此)) (NP (NN 过程))) (VP (VV 可) (VP (VV 缓解) (NP (NP (NP (NR 甲地)) (NP (NN 人地))) (NP (NN 矛盾)))))))) )
2014北京市丰台区高考文综地理二模试题,5-D,图5为某地理事象过程示意图，若***该图为水循环示意图的局部，甲代表海洋，则f为降水,*若...则...,,解说、因果-假设？,,,,12,,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水,NN VC DT NN NN NN NN PU CS DT NN VC term NN DEG NN PU NN VV NN PU AD NN VV NN,( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (DNP (NP (NN 水循环) (NN 示意图)) (DEG 的)) (NP (NN 局部)))))) (PU ，) (IP (NP (NN 甲)) (VP (VV 代表) (NP (NN 海洋)))) (PU ，) (VP (ADVP (AD 则)) (PP (NP (NN f))) (VP (VV 为) (NP (NN 降水)))))) )
2014北京市丰台区高考文综地理二模试题,7-A,该地区***若布局合理，则主导风向为西南风,若...则...,,因果-假设？,,,,10,,该 地区 若 布局 合理 ， 则 主导 风向 为 西南风,该 地区 若 布局 合理 ， 则 主导 风向 为 西南风,DT NN CS NN VA PU AD NN NN VC term,( (IP (IP (NP (DP (DT 该)) (NP (NN 地区))) (ADVP (CS 若)) (NP (NN 布局)) (VP (VA 合理))) (PU ，) (ADVP (AD 则)) (NP (NN 主导) (NN 风向)) (VP (VC 为) (NP (NN 西南风)))) )
