编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
2-A,图2为南亚某岛示意图，图中	该岛的东、西岸各有一山脉纵贯,None,,2,,,图2 为 南亚 某 岛 示意图 ， 图 中 该 岛 的 东 、 西岸 各 有 一 山脉 纵贯,图2 为 南亚 某 岛 示意图 ， 图 中 该 岛 的 东 、 西岸 各 有 一 山脉 纵贯,NN VC loc DT NN NN PU NN LC DT NN DEG NN PU NN AD VE CD NN NN,,一般陈述_0（图中 该岛的东、西岸各有一山脉纵贯）,一般陈述_0（图中 该岛的东、西岸各有一山脉纵贯）,,,一般陈述,一般陈述,,2,图2 为 南亚 某 岛 示意图 ， 图 中 该 岛 的 东 、 西岸 各 有 一 山脉 纵贯,图2 为 南亚 某 岛 示意图 ， 图 中 该 岛 的 东 、 西岸 各 有 一 山脉 纵贯,NN VC loc DT NN NN PU NN LC VV NN DEG NN PU NN AD VE CD NN NN,( (IP (IP (NP (NN 图2)) (VP (VC 为) (NP (NP (NR 南亚)) (NP (DP (DT 某)) (NP (NN 岛))) (NP (NN 示意图))))) (PU ，) (IP (LCP (NP (NN 图)) (LC 中)) (NP (DNP (NP (DP (DT 该)) (NP (NN 岛))) (DEG 的)) (NP (NN 东) (PU 、) (NN 西岸))) (VP (ADVP (AD 各)) (VP (VE 有) (NP (QP (CD 一)) (NP (NN 山脉) (NN 纵贯))))))) )
2-B,图2为南亚某岛示意图，图中	甲地1月份降水量比7月份的多,None,10 13,2 9,,,图2 为 南亚 某 岛 示意图 ， 图 中 甲地 1月份 降水量 比 7月份 的 多,图2 为 南亚 某 岛 示意图 ， 图 中 甲地 1月份 降水量 比 7月份 的 多,NN VC loc DT NN NN PU NN LC loc time NN P time DEG VA,,比较_0（甲地1月份，7月份，降水量，多）,比较_0（甲地1月份，7月份，降水量，多）,0_12,0_12,比较,比较,10 13,2,图2 为 南亚 某 岛 示意图 ， 图 中 甲地 1月份 降水量 比 7月份 的 多,图2 为 南亚 某 岛 示意图 ， 图 中 甲地 1月份 降水量 比 7月份 的 多,NN VC loc DT NN NN PU NN LC loc time NN P time DEG NN,( (IP (IP (NP (NN 图2)) (VP (VC 为) (NP (NP (NR 南亚)) (NP (DP (DT 某)) (NP (NN 岛))) (NP (NN 示意图))))) (PU ，) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲地)) (NP (NT 1月份) (NN 降水量))) (VP (PP (P 比) (NP (DNP (NP (NT 7月份)) (DEG 的)))) (VP (VA 多))))) )
2-C,图2为南亚某岛示意图，图中	该岛的南北距离超过600千米,None,,2,,15,图2 为 南亚 某 岛 示意图 ， 图 中 该 岛 的 南北 距离 超过 600千米,图2 为 南亚 某 岛 示意图 ， 图 中 该 岛 的 南北 距离 超过 600 千米,NN VC loc DT NN NN PU NN LC DT NN DEG NN NN VV num,,实体信息陈述_0（该岛，南北距离，超过600千米）,实体信息陈述_0（该岛，南北距离，超过600千米）,0_11,0_11,实体信息陈述,实体信息陈述,,2,图2 为 南亚 某 岛 示意图 ， 图 中 该 岛 的 南北 距离 超过 600 千米,图2 为 南亚 某 岛 示意图 ， 图 中 该 岛 的 南北 距离 超过 600 千米,NN VC loc DT NN NN PU NN LC VV NN DEG NN NN VV num,( (IP (IP (NP (NN 图2)) (VP (VC 为) (NP (NP (NR 南亚)) (NP (DP (DT 某)) (NP (NN 岛))) (NP (NN 示意图))))) (PU ，) (IP (LCP (NP (NN 图)) (LC 中)) (NP (DNP (NP (DP (DT 该)) (NP (NN 岛))) (DEG 的)) (NP (NN 南北) (NN 距离))) (VP (VV 超过) (QP (CD 600千米))))) )
2-D,图2为南亚某岛示意图，图中	乙河水位季节变化小，水流平缓,y,,2 9,,,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水位 季节 变化 小 ， 水流 平缓,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水位 季节 变化 小 ， 水流 平缓,NN VC loc DT NN NN PU NN LC loc NN NN NN VA PU NN VA,,实体信息陈述_0（乙河，水位，季节变化小）实体信息陈述_1（乙河，水流，平缓）,实体信息陈述_0（乙河，水位，季节变化小）实体信息陈述_1（乙河，水流，平缓）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,2,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水位 季节 变化 小 ， 水流 平缓,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水位 季节 变化 小 ， 水流 平缓,NN VC loc DT NN NN PU NN LC loc NN NN NN VA PU NN NN,( (IP (IP (NP (NN 图2)) (VP (VC 为) (NP (NP (NR 南亚)) (NP (DP (DT 某)) (NP (NN 岛))) (NP (NN 示意图))))) (PU ，) (IP (LCP (NP (NN 图)) (LC 中)) (IP (IP (NP (NP (NR 乙河) (NN 水位)) (NP (NN 季节) (NN 变化))) (VP (VA 小))) (PU ，) (IP (NP (NN 水流)) (VP (VA 平缓)))))) )
2-D-0,图2为南亚某岛示意图，图中	乙河水位季节变化小,ed-ori,,2 9,,,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水位 季节 变化 小,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水位 季节 变化 小,NN VC loc DT NN NN PU NN LC loc NN NN NN VA,,实体信息陈述_0（乙河，水位，季节变化小）,实体信息陈述_0（乙河，水位，季节变化小）,,,实体信息陈述,实体信息陈述,,2,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水位 季节 变化 小,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水位 季节 变化 小,NN VC loc DT NN NN PU NN LC loc NN NN NN VA,( (IP (IP (NP (NN 图2)) (VP (VC 为) (NP (NP (NR 南亚)) (NP (DP (DT 某)) (NP (NN 岛))) (NP (NN 示意图))))) (PU ，) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NR 乙河)) (NP (NN 水位))) (NP (NN 季节) (NN 变化))) (VP (VA 小)))) )
2-D-1,图2为南亚某岛示意图，图中	乙河水流平缓,ed-mod,,2 9,,,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水流 平缓,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水流 平缓,NN VC loc DT NN NN PU NN LC loc NN VA,,实体信息陈述_0（乙河，水流，平缓）,实体信息陈述_0（乙河，水流，平缓）,,,实体信息陈述,实体信息陈述,,2,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水流 平缓,图2 为 南亚 某 岛 示意图 ， 图 中 乙河 水流 平缓,NN VC loc DT NN NN PU NN LC loc NN NN,( (IP (IP (NP (NN 图2)) (VP (VC 为) (NP (NP (NR 南亚)) (NP (DP (DT 某)) (NP (NN 岛))) (NP (NN 示意图))))) (PU ，) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 乙河)) (NP (NN 水流))) (VP (VA 平缓)))) )
3-A,我国江南某林场有一树桩，一群大雁正向树桩M侧方向长途飞行(图3)。此季节我国	华北沙尘暴天气频发,None,,1 24,25,,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧 方向 长途 飞行 ( 图3 ) 。 此 季节 我国 华北 沙尘暴 天气 频发,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧 方向 长途 飞行 ( 图3 ) 。 此 季节 我国 华北 沙尘暴 天气 频发,NN loc DT NN VE CD NN PU M NN JJ NN NN LC NN AD VV VV NN VV PU PN NN NR loc term NN VV,,一般陈述_0（此季节我国 华北沙尘暴天气频发）,一般陈述_0（此季节我国 华北沙尘暴天气频发）,,,一般陈述,一般陈述,,1 25,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧方 向 长途 飞行 ( 图3 ) 。 此 季节 我国 华北 沙尘暴 天气 频发,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧方 向 长途 飞行 ( 图3 ) 。 此 季节 我国 华北 沙尘暴 天气 频发,NR loc DT NN VE CD NN PU AD VV JJ NN NN LC AD P NN VV VV NN VV PU PN NN NR loc term NN VV,( (IP (NP (NN 我国)) (IP (IP (NP (NR 江南)) (NP (DP (DT 某)) (NP (NN 林场))) (VP (VE 有) (NP (QP (CD 一)) (NP (NN 树桩))))) (PU ，) (IP (LCP (NP (QP (CLP (M 一群))) (NP (NN 大雁)) (ADJP (JJ 正向)) (NP (NN 树桩) (NN M))) (LC 侧)) (NP (NN 方向)) (VP (ADVP (AD 长途)) (VP (VP (VCD (VV 飞行) (VV ()) (NP (NN 图3))) (VP (VV )))))) (PU 。) (IP (NP (NP (NP (PN 此)) (NP (NN 季节))) (NP (NR 我国) (NR 华北) (NN 沙尘暴))) (NP (NN 天气)) (VP (VV 频发))))) )
3-B,我国江南某林场有一树桩，一群大雁正向树桩M侧方向长途飞行(图3)。此季节我国	湖南省盛行西北季风,None,,1 24,26,,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧 方向 长途 飞行 ( 图3 ) 。 此 季节 我国 湖南省 盛行 西北季风,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧 方向 长途 飞行 ( 图3 ) 。 此 季节 我国 湖南省 盛行 西北 季风,NN loc DT NN VE CD NN PU M NN JJ NN NN LC NN AD VV VV NN VV PU PN NN NR loc VV term,,一般陈述_0（此季节我国 湖南省盛行西北季风）,一般陈述_0（此季节我国 湖南省盛行西北季风）,,,一般陈述,一般陈述,,1,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧方 向 长途 飞行 ( 图3 ) 。 此 季节 我国 湖南省 盛行 西北季风,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧方 向 长途 飞行 ( 图3 ) 。 此 季节 我国 湖南省 盛行 西北季风,NR loc DT NN VE CD NN PU AD VV JJ NN NN LC AD P NN VV VV NN VV PU PN NN NR loc VV term,( (IP (NP (NP (NN 我国)) (NP (NR 江南))) (IP (IP (NP (DP (DT 某)) (NP (NN 林场))) (VP (VE 有) (NP (QP (CD 一)) (NP (NN 树桩))))) (PU ，) (IP (LCP (NP (QP (CLP (M 一群))) (NP (NN 大雁)) (ADJP (JJ 正向)) (NP (NN 树桩) (NN M))) (LC 侧)) (NP (NN 方向)) (VP (ADVP (AD 长途)) (VP (VP (VCD (VV 飞行) (VV ()) (NP (NN 图3))) (VP (VV )))))) (PU 。) (IP (NP (NP (NP (PN 此)) (NP (NN 季节))) (NP (NR 我国))) (NP (NR 湖南省)) (VP (VV 盛行) (NP (NN 西北季风)))))) )
3-C,我国江南某林场有一树桩，一群大雁正向树桩M侧方向长途飞行(图3)。此季节我国	西北山地雪线逐渐降低,None,,1,25,,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧 方向 长途 飞行 ( 图3 ) 。 此 季节 我国 西北 山地 雪线 逐渐 降低,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧 方向 长途 飞行 ( 图3 ) 。 此 季节 我国 西北 山地 雪线 逐渐 降低,NN loc DT NN VE CD NN PU M NN JJ NN NN LC NN AD VV VV NN VV PU PN NN NR NN term NN AD VV,,趋势_0（西北山地，雪线，#，降低）,趋势_0（西北山地，雪线，#，降低）,0_27,0_27,趋势,趋势,,1,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧方 向 长途 飞行 ( 图3 ) 。 此 季节 我国 西北 山地 雪线 逐渐 降低,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧方 向 长途 飞行 ( 图3 ) 。 此 季节 我国 西北 山地 雪线 逐渐 降低,NR loc DT NN VE CD NN PU AD VV JJ NN NN LC AD P NN VV VV NN VV PU PN NN NR NN term NN AD VV,( (IP (IP (NP (NP (NN 我国)) (NP (NR 江南))) (IP (IP (NP (DP (DT 某)) (NP (NN 林场))) (VP (VE 有) (NP (QP (CD 一)) (NP (NN 树桩))))) (PU ，) (IP (LCP (NP (QP (CLP (M 一群))) (NP (NN 大雁)) (ADJP (JJ 正向)) (NP (NN 树桩) (NN M))) (LC 侧)) (NP (NN 方向)) (VP (ADVP (AD 长途)) (VP (VP (VP (VV 飞行)) (VP (VV () (NP (NN 图3)))) (VP (VV ))))))) (PU 。)) (NP (NP (PN 此)) (NP (NN 季节))) (NP (NP (NR 我国)) (NP (NN 西北) (NN 山地) (NN 雪线))) (VP (ADVP (AD 逐渐)) (VP (VV 降低)))) )
3-D,我国江南某林场有一树桩，一群大雁正向树桩M侧方向长途飞行(图3)。此季节我国	东北昼长夜短且昼渐短,None,,1,,,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧 方向 长途 飞行 ( 图3 ) 。 此 季节 我国 东北 昼 长 夜 短 且 昼 渐 短,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧 方向 长途 飞行 ( 图3 ) 。 此 季节 我国 东北 昼 长 夜 短 且 昼 渐 短,NN loc DT NN VE CD NN PU M NN JJ NN NN LC NN AD VV VV NN VV PU PN NN NR NN NN VA NN VA CC VV AD VA,,实体信息陈述_0（我国东北，#，昼长夜短）趋势_1（我国东北，昼，#，短）,实体信息陈述_0（我国东北，#，昼长夜短）趋势_1（我国东北，昼，#，短）,1_31,1_31,实体信息陈述 趋势,实体信息陈述 趋势,,1,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧方 向 长途 飞行 ( 图3 ) 。 此 季节 我国 东北 昼 长夜 短且 昼渐 短,我国 江南 某 林场 有 一 树桩 ， 一群 大雁 正向 树桩 M 侧方 向 长途 飞行 ( 图3 ) 。 此 季节 我国 东北 昼 长夜 短且 昼渐 短,NR loc DT NN VE CD NN PU AD VV JJ NN NN LC AD P NN VV VV NN VV PU PN NN NR NN VV JJ NN VA CC VV AD VA,( (IP (IP (NP (NP (NN 我国)) (NP (NR 江南))) (NP (DP (DT 某)) (NP (NN 林场))) (VP (VE 有) (NP (QP (CD 一)) (NP (NN 树桩))))) (PU ，) (IP (LCP (NP (QP (CLP (M 一群))) (NP (NN 大雁)) (ADJP (JJ 正向)) (NP (NN 树桩) (NN M))) (LC 侧)) (NP (NN 方向)) (VP (ADVP (AD 长途)) (VP (VP (VCD (VV 飞行) (VV ()) (NP (NN 图3))) (VP (VV )))))) (PU 。) (NP (NP (PN 此)) (NP (NN 季节))) (NP (NP (NR 我国)) (NP (NN 东北))) (IP (NP (NN 昼)) (VP (VA 长))) (IP (NP (NN 夜)) (VP (VA 短))) (CC 且) (IP (IP (VP (VV 昼))) (VP (ADVP (AD 渐)) (VP (VA 短))))) )
4-A,丹江口地区较北京	进入雨季晚,None,,0 2,4,,丹江口地区 较 北京 进入 雨季 晚,丹江口 地区 较 北京 进入 雨季 晚,loc P loc VV term VA,,比较_0（丹江口地区，北京，进入雨季，晚）,比较_0（丹江口地区，北京，进入雨季，晚）,0_1,0_1,比较,比较,,2,丹 江口 地区 较 北京 进入 雨季 晚,丹江口 地区 较 北京 进入 雨季 晚,loc AD loc VV term NN,( (IP (NP (NR 丹江口地区)) (VP (PP (P 较) (NP (NR 北京))) (VP (VP (VV 进入)) (VP (NP (NN 雨季)) (VP (VA 晚)))))) )
4-B,丹江口地区较北京	年降水量少,None,,0 2,,,丹江口地区 较 北京 年 降水量 少,丹江口 地区 较 北京 年 降水量 少,loc P loc JJ NN VA,,比较_0（丹江口地区，北京，年降水量，少）,比较_0（丹江口地区，北京，年降水量，少）,0_1,0_1,比较,比较,,2,丹 江口 地区 较 北京 年降水量 少,丹江口 地区 较 北京 年降水量 少,loc AD loc NN NN VA,( (IP (NP (NR 丹江口地区)) (VP (PP (P 较) (NP (NP (NR 北京)) (ADJP (JJ 年)) (NP (NN 降水量)))) (VP (VA 少)))) )
4-C,丹江口地区较北京	下渗作用弱,None,,0 2,3,,丹江口地区 较 北京 下渗作用 弱,丹江口 地区 较 北京 下渗 作用 弱,loc P loc term VA,,比较_0（丹江口地区，北京，下渗作用，弱）,比较_0（丹江口地区，北京，下渗作用，弱）,0_1,0_1,比较,比较,,2,丹 江口 地区 较 北京 下渗作用 弱,丹江口 地区 较 北京 下渗作用 弱,loc AD loc term VA,( (IP (NP (NR 丹江口地区)) (VP (PP (P 较) (NP (NR 北京) (NN 下渗作用))) (VP (VA 弱)))) )
4-D,丹江口地区较北京	水资源丰富,None,,0 2,,,丹江口地区 较 北京 水资源 丰富,丹江口 地区 较 北京 水资源 丰富,loc P loc NN VA,,比较_0（丹江口地区，北京，水资源，丰富）,比较_0（丹江口地区，北京，水资源，丰富）,0_1,0_1,比较,比较,,2,丹 江口 地区 较 北京 水资源 丰富,丹江口 地区 较 北京 水资源 丰富,loc AD loc NN VA,( (IP (NP (NR 丹江口地区)) (VP (PP (P 较) (NP (NR 北京) (NN 水资源))) (VP (VA 丰富)))) )
5-A,大量调水后，汉江的丹江口下游	水体污染减轻,None,,4 6,,,大量 调水 后 ， 汉江 的 丹江口 下游 水体 污染 减轻,大量 调水 后 ， 汉江 的 丹江口 下游 水体 污染 减轻,AD VV LC PU loc DEG loc NN NN NN VV,,趋势_0（汉江的丹江口下游，水体污染，大量调水，减轻）,趋势_0（汉江的丹江口下游，水体污染，大量调水，减轻）,0_2-10,0_2-10,趋势,趋势,,,大量 调水 后 ， 汉江 的 丹 江口 下游 水体 污染 减轻,大量 调水 后 ， 汉江 的 丹江口 下游 水体 污染 减轻,AD VV LC PU loc DEG loc NN NN NN VV,( (IP (LCP (IP (VP (ADVP (AD 大量)) (VP (VV 调水)))) (LC 后)) (PU ，) (NP (DNP (NP (NR 汉江)) (DEG 的)) (NP (NR 丹江口)) (NP (NN 下游) (NN 水体)) (NP (NN 污染))) (VP (VV 减轻))) )
