编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,据图判断，该地	北京时间16时地面吸收的太阳热量最大,None,7,,6,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京 时间 16时 地面 吸收 的 太阳 热量 最 大,P NN VV PU DT NN term time NN VV DEC NN NN AD VA,,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,0_6-7 1_13,0_6-7 1_13,时间限定 最值,时间限定 最值,7,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,P NN NN PU DT NN term time NN VV DEC NN NN AD VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 北京时间))) (CP (IP (NP (NT 16时)) (NP (NN 地面)) (VP (VV 吸收))) (DEC 的)) (NP (NN 太阳) (NN 热量))) (VP (ADVP (AD 最)) (VP (VA 大)))) )
2-C-0,该地	位于90°E,ed-ori,,,,3,该 地 位于 90°E,该 地 位于 90°E,DT NN VV num,,位于_0（该地，90°E）,位于_0（该地，90°E）,0_2,0_2,位于,位于,,,该 地位 于 90°E,该 地位 于 90°E,DT NN P num,( (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (QP (CD 90°E)))) )
2-C-1,该地	昼长15小时左右,ed-ori,4,,,,该 地 昼 长 15小时左右,该 地 昼 长 15 小时 左右,DT NN NN VA time,,实体信息陈述_0（该地，昼长，15小时左右）,实体信息陈述_0（该地，昼长，15小时左右）,0_0,0_0,位于 实体信息陈述,位于 实体信息陈述,3,,该 地 昼长 15小时 左右,该 地 昼长 15 小时 左右,DT NN VV time,( (IP (NP (DP (DT 该)) (NP (NN 地))) (IP (NP (NN 昼)) (VP (VA 长))) (VP (NP (NT 15小时左右)))) )
2-D,该地	位于150°E，昼长15小时左右,y,7,,,3,该 地 位于 150°E ， 昼 长 15小时左右,该 地 位于 150°E ， 昼 长 15 小时 左右,DT NN VV num PU NN VA time,,位于_0（该地，150°E）实体信息陈述_1（该地，昼长，15小时左右）,位于_0（该地，150°E）实体信息陈述_1（该地，昼长，15小时左右）,0_2 1_0,0_2 1_0,位于 实体信息陈述,位于 实体信息陈述,6,3,该 地 位于 150°E ， 昼长 15小时 左右,该 地 位于 150°E ， 昼长 15 小时 左右,DT NN VV num PU NN time,( (IP (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (QP (CD 150°E)))) (PU ，) (IP (NP (NN 昼)) (VP (VA 长))) (PRN (NP (NT 15小时左右)))) )
2-D-0,该地	位于150°E,ed-ori,,,,3,该 地 位于 150°E,该 地 位于 150°E,DT NN VV num,,位于_0（该地，150°E）,位于_0（该地，150°E）,0_2,0_2,位于,位于,,3,该 地 位于 150°E,该 地 位于 150°E,DT NN VV num,( (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (QP (CD 150°E)))) )
2-D-1,该地	昼长15小时左右,ed-ori,4,,,,该 地 昼 长 15小时左右,该 地 昼 长 15 小时 左右,DT NN NN VA time,,实体信息陈述_0（该地，昼长，15小时左右）,实体信息陈述_0（该地，昼长，15小时左右）,0_0,0_0,实体信息陈述,实体信息陈述,3,,该 地 昼长 15小时 左右,该 地 昼长 15 小时 左右,DT NN VV time,( (IP (NP (DP (DT 该)) (NP (NN 地))) (IP (NP (NN 昼)) (VP (VA 长))) (VP (NP (NT 15小时左右)))) )
3-A,2013年副高总体表现为面积偏大、位置偏北，这会导致	长江流域持续低温,None,0,14,,,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 长江流域 持续 低温,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 长江 流域 持续 低温,time NN NN NN VC NN VA PU NN VA PU PN VV VV loc VV VA,,时间限定_0（2013年）影响_1（副高总体表现为面积偏大、位置偏北，长江流域，持续低温）,时间限定_0（2013年）影响_1（实体信息陈述_2（副高，面积，偏大）实体信息陈述_3（副高，位置，偏北），长江流域，持续低温）,1_13,1_13 2_3-4 3_3-4,时间限定 影响,时间限定 影响 实体信息陈述,0,14,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 长江 流域 持续 低温,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 长江 流域 持续 低温,time NN NN NN VC NN VA PU NN NN PU PN VV VV loc VV VV,( (IP (IP (NP (NT 2013年) (NN 副高) (NN 总体) (NN 表现)) (VP (VC 为) (IP (IP (NP (NN 面积)) (VP (VA 偏大))) (PU 、) (IP (NP (NN 位置)) (VP (VA 偏北)))))) (PU ，) (NP (PN 这)) (VP (VV 会) (VP (VV 导致) (IP (NP (NR 长江流域)) (VP (VV 持续) (VP (VA 低温))))))) )
3-B,2013年副高总体表现为面积偏大、位置偏北，这会导致	东北洪涝灾害严重,None,0,14,15,,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 东北 洪涝 灾害 严重,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 东北 洪涝 灾害 严重,time NN NN NN VC NN VA PU NN VA PU PN VV VV loc term NN VA,,时间限定_0（2013年）影响_1（副高总体表现为面积偏大、位置偏北，东北，洪涝灾害严重）,时间限定_0（2013年）影响_1（实体信息陈述_2（副高，面积，偏大）实体信息陈述_3（副高，位置，偏北），东北，洪涝灾害严重）,1_13,1_13 2_3-4 3_3-4,时间限定 影响,时间限定 影响 实体信息陈述,0,,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 东北 洪涝 灾害 严重,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 东北 洪涝 灾害 严重,NT NN NN NN VC NN VA PU NN NN PU PN VV VV NN NN NN VA,( (IP (IP (NP (NT 2013年) (NN 副高) (NN 总体) (NN 表现)) (VP (VC 为) (IP (IP (NP (NN 面积)) (VP (VA 偏大))) (PU 、) (IP (NP (NN 位置)) (VP (VA 偏北)))))) (PU ，) (NP (PN 这)) (VP (VV 会) (VP (VV 导致) (IP (NP (NP (NR 东北)) (NP (NN 洪涝) (NN 灾害))) (VP (VA 严重)))))) )
3-C,2013年副高总体表现为面积偏大、位置偏北，这会导致	南方降水明显增多,None,0,14,,,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 南方 降水 明显 增多,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 南方 降水 明显 增多,time NN NN NN VC NN VA PU NN VA PU PN VV VV loc VV AD VV,,时间限定_0（2013年）影响_1（副高总体表现为面积偏大、位置偏北，南方，降水明显增多）,时间限定_0（2013年）影响_1（实体信息陈述_2（副高，面积，偏大）实体信息陈述_3（副高，位置，偏北），趋势_4（南方，降水，#，明显增多））,1_13,1_13 2_3-4 3_3-4 4_17,时间限定 影响,时间限定 影响 实体信息陈述 趋势,0,,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 南方 降水 明显 增多,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 南方 降水 明显 增多,NT NN NN NN VC NN VA PU NN NN PU PN VV VV NN VV AD VV,( (IP (IP (NP (NT 2013年) (NN 副高) (NN 总体) (NN 表现)) (VP (VC 为) (IP (IP (NP (NN 面积)) (VP (VA 偏大))) (PU 、) (IP (NP (NN 位置)) (VP (VA 偏北)))))) (PU ，) (NP (PN 这)) (VP (VV 会) (VP (VV 导致) (IP (NP (NR 南方)) (VP (VP (VV 降水)) (VP (ADVP (AD 明显)) (VP (VV 增多)))))))) )
3-D,2013年副高总体表现为面积偏大、位置偏北，这会导致	华北春旱灾情加剧,None,0,14,15,,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 华北 春旱 灾情 加剧,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 华北 春旱 灾情 加剧,time NN NN NN VC NN VA PU NN VA PU PN VV VV loc term NN VV,,时间限定_0（2013年）影响_1（副高总体表现为面积偏大、位置偏北，华北，春旱灾情加剧）,时间限定_0（2013年）影响_1（实体信息陈述_2（副高，面积，偏大）实体信息陈述_3（副高，位置，偏北），趋势_4（华北，春旱灾情，#，加剧））,1_13,1_13 2_3-4 3_3-4 4_17,时间限定 影响,时间限定 影响 实体信息陈述 趋势,0,14,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 华北 春旱 灾情 加剧,2013年 副高 总体 表现 为 面积 偏大 、 位置 偏北 ， 这 会 导致 华北 春旱 灾情 加剧,time NN NN NN VC NN VA PU NN NN PU PN VV VV loc term NN VV,( (IP (IP (NP (NT 2013年) (NN 副高) (NN 总体) (NN 表现)) (VP (VC 为) (IP (IP (NP (NN 面积)) (VP (VA 偏大))) (PU 、) (IP (NP (NN 位置)) (VP (VA 偏北)))))) (PU ，) (NP (PN 这)) (VP (VV 会) (VP (VV 导致) (IP (NP (NP (NR 华北)) (NP (NN 春旱) (NN 灾情))) (VP (VV 加剧)))))) )
4-A,该地区	地处南半球,None,,,3,,该 地区 地处 南半球,该 地区 地处 南半球,DT NN VV term,,位于_0（该地区，南半球）,位于_0（该地区，南半球）,0_2,0_2,位于,位于,,,该 地区 地处 南半球,该 地区 地处 南半球,DT NN VV term,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VV 地处) (NP (NN 南半球)))) )
4-B,该地区	沿岸有暖流流经,None,,,4,,该 地区 沿岸 有 暖流 流经,该 地区 沿岸 有 暖流 流经,DT NN NN VE term VV,,实体信息陈述_0（该地区，#，沿岸有暖流流经）,实体信息陈述_0（该地区，#，沿岸有暖流流经）,0_0,0_0,实体信息陈述,实体信息陈述,,,该 地区 沿岸 有 暖流 流经,该 地区 沿岸 有 暖流 流经,DT NN NN VE term VV,( (IP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 沿岸))) (VP (VE 有) (IP (NP (NN 暖流)) (VP (VV 流经))))) )
4-C,该地区	此时降水较多,None,2,,,,该 地区 此时 降水 较 多,该 地区 此时 降水 较 多,DT NN time NN AD VA,,时间限定_0（此时）实体信息陈述_1（该地区，降水，较多）,时间限定_0（此时）实体信息陈述_1（该地区，降水，较多）,0_2 1_0,0_2 1_0,时间限定 实体信息陈述,时间限定 实体信息陈述,2,,该 地区 此时 降水 较 多,该 地区 此时 降水 较 多,DT NN time NN AD VA,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NT 此时)) (NP (NN 降水)) (VP (ADVP (AD 较)) (VP (VA 多)))) )
4-D,该地区	此时受信风带影响,None,2,,4,,该 地区 此时 受 信风带 影响,该 地区 此时 受 信风 带 影响,DT NN time VV term NN,,时间限定_0（此时）影响_1（信风带，该地区，#）,时间限定_0（此时）影响_1（信风带，该地区，#）,0_2 1_3-5,0_2 1_3-5,时间限定 影响,时间限定 影响,2,,该 地区 此时 受 信风带 影响,该 地区 此时 受 信风带 影响,DT NN time VV term NN,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (NP (NT 此时)) (VP (VV 受) (NP (NN 信风带) (NN 影响))))) )
5-A,图示河流	大致从北向南流,None,,,,,图示 河流 大致 从 北 向 南 流,图示 河流 大致 从 北 向 南 流,VV NN AD P NN P NN VV,,实体信息陈述_0（图示河流，#，大致从北向南流）,实体信息陈述_0（图示河流，#，大致从北向南流）,0_1,0_1,实体信息陈述,实体信息陈述,,,图示 河流 大致 从 北向 南流,图示 河流 大致 从 北向 南流,NN NN AD P NN P NN VV,( (IP (IP (VP (VV 图示) (NP (NN 河流)))) (VP (ADVP (AD 大致)) (PP (PP (P 从) (NP (NN 北))) (PP (P 向) (NP (NN 南)))) (VP (VV 流)))) )
5-B,图示河流	此时接受湖水补给,None,2,,,,图示 河流 此时 接受 湖水 补给,图示 河流 此时 接受 湖水 补给,NN NN time VV NN NN,,时间限定_1（此时）实体信息陈述_0（图示河流，#，接受湖水补给）,时间限定_1（此时）实体信息陈述_0（图示河流，#，接受湖水补给）,0_1 1_2,0_1 1_2,实体信息陈述 时间限定,实体信息陈述 时间限定,2,,图示 河流 此时 接受 湖水 补给,图示 河流 此时 接受 湖水 补给,NN NN time VV NN NN,( (IP (NP (NN 图示) (NN 河流)) (VP (NP (NT 此时)) (VP (VV 接受) (NP (NN 湖水)) (NP (NN 补给))))) )
5-C,图示河流	流量季节变化小,None,,,,,图示 河流 流量 季节 变化 小,图示 河流 流量 季节 变化 小,VV NN NN NN NN VA,,实体信息陈述_0（图示河流，流量，季节变化小）,实体信息陈述_0（图示河流，流量，季节变化小）,0_1,0_1,实体信息陈述,实体信息陈述,,,图示 河流 流量 季节 变化 小,图示 河流 流量 季节 变化 小,NN NN NN NN NN VA,( (IP (NP (NP (CP (IP (VV 图示))) (NP (NN 河流))) (NP (NN 流量))) (NP (NN 季节) (NN 变化)) (VP (VA 小))) )
5-D,图示河流	秋冬出现凌汛现象,None,2 3,,5,,图示 河流 秋 冬 出现 凌汛 现象,图示 河流 秋 冬 出现 凌汛 现象,VV NN time time VV term NN,,时间限定_0（秋冬）实体信息陈述_1（图示河流 ，#，出现凌汛现象）,时间限定_0（秋冬）实体信息陈述_1（图示河流 ，#，出现凌汛现象）,0_2-3 1_1,0_2-3 1_1,时间限定 实体信息陈述,时间限定 实体信息陈述,,,图示 河流 秋冬 出现 凌汛 现象,图示 河流 秋冬 出现 凌汛 现象,NN NN time time VV term NN,( (IP (NP (CP (IP (VV 图示))) (NP (NN 河流))) (VP (NP (NT 秋) (NT 冬)) (VP (VV 出现) (NP (NN 凌汛) (NN 现象))))) )
6-A,对图中各地天气状况的描述可能正确的是	①地气流下沉,None,,13,,,对 图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ①地 气流 下沉,对 图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ①地 气流 下沉,P NN LC DT NN NN NN DEG NN VV VA DEC VC loc NN VV,,实体信息陈述_0（ ①地，气流，下沉）,实体信息陈述_0（ ①地，气流，下沉）,0_13,0_13,实体信息陈述,实体信息陈述,12,,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ①地 气流 下沉,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ①地 气流 下沉,NN LC DT NN NN NN DEG NN VV VA DEC VC loc NN NN,( (IP (VP (PP (P 对) (IP (LCP (NP (NN 图)) (LC 中)) (NP (DNP (NP (NP (DP (DT 各)) (NP (NN 地))) (NP (NN 天气) (NN 状况))) (DEG 的)) (NP (NN 描述))) (VP (VV 可能) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NR ①地) (NN 气流))))))) (VP (VV 下沉)))) )
6-B,对图中各地天气状况的描述可能正确的是	②地出现降雪,None,,13,,,对 图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ②地 出现 降雪,对 图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ②地 出现 降雪,P NN LC DT NN NN NN DEG NN VV VA DEC VC loc VV NN,,实体信息陈述_0（ ②地，#，出现降雪）,实体信息陈述_0（ ②地，#，出现降雪）,0_13,0_13,实体信息陈述,实体信息陈述,12,,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ②地 出现 降雪,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ②地 出现 降雪,NN LC DT NN NN NN DEG NN VV VA DEC VC loc VV NN,( (IP (NP (DNP (PP (P 对) (NP (LCP (NP (NN 图)) (LC 中)) (NP (DP (DT 各)) (NP (NN 地))) (NP (NN 天气) (NN 状况)))) (DEG 的)) (NP (NN 描述))) (VP (VV 可能) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR ②地)) (VP (VV 出现) (NP (NN 降雪)))))))) )
6-C,对图中各地天气状况的描述可能正确的是	③地晴朗高温,None,,13,,,对 图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ③地 晴朗 高温,对 图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ③地 晴朗 高温,P NN LC DT NN NN NN DEG NN VV VA DEC VC loc VA VA,,实体信息陈述_0（ ③地，#，晴朗高温）,实体信息陈述_0（ ③地，#，晴朗高温）,0_13,0_13,实体信息陈述,实体信息陈述,12,,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ③地 晴朗 高温,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ③地 晴朗 高温,NN LC DT NN NN NN DEG NN VV VA DEC VC loc VV NN,( (IP (NP (DNP (PP (P 对) (NP (LCP (NP (NN 图)) (LC 中)) (NP (DP (DT 各)) (NP (NN 地))) (NP (NN 天气) (NN 状况)))) (DEG 的)) (NP (NN 描述))) (VP (VV 可能) (VP (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NR ③地)))) (VP (VA 晴朗) (VA 高温))))) )
6-D,对图中各地天气状况的描述可能正确的是	④地吹偏南风,None,,12,14,,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ④地 吹 偏南风,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ④地 吹 偏南 风,NN LC DT NN NN NN DEG NN VV VA DEC VC loc VV term,,实体信息陈述_0（④地，#，吹偏南风 ）,实体信息陈述_0（④地，#，吹偏南风 ）,0_13,0_13,实体信息陈述,实体信息陈述,12,,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ④地 吹 偏南 风,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ④地 吹 偏南 风,NN LC DT NN NN NN DEG NN VV VA DEC VC loc VV term,( (IP (NP (CP (IP (LCP (NP (NN 对图)) (LC 中)) (NP (DNP (NP (NP (DP (DT 各)) (NP (NN 地))) (NP (NN 天气) (NN 状况))) (DEG 的)) (NP (NN 描述))) (VP (VV 可能) (VP (VA 正确)))) (DEC 的))) (VP (VC 是) (IP (NP (NR ④地)) (VP (VV 吹) (NP (NN 偏南风)))))) )
