编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,在7、8月份，伦敦比北京	气温高，日较差大,y,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,在 7 、 8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,P time PU loc P loc NN VA PU NN VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）比较_2（伦敦，北京，气温日较差，大）,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）比较_2（伦敦，北京，气温日较差，大）,1_4-7 2_4-10,1_4-7 2_4-10,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,在 7 、 8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,P time PU loc P loc NN VA PU NR JJ,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (IP (NP (NR 伦敦)) (VP (PP (P 比) (NP (NR 北京) (NN 气温))) (VP (VA 高)))) (PU ，) (IP (NP (NN 日较差)) (VP (VA 大)))) )
2-B,英国	西部海岸线曲折，珊瑚礁发育好,y,,0,,,英国西部 海岸线 曲折 ， 珊瑚礁 发育 好,英国 西部 海岸线 曲折 ， 珊瑚礁 发育 好,loc NN VA PU NN VV VA,,实体信息陈述_0（英国，西部海岸线，曲折）实体信息陈述_1（英国，西部海岸珊瑚礁发育，好）,实体信息陈述_0（英国，西部海岸线，曲折）实体信息陈述_1（英国，西部海岸珊瑚礁发育，好）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,英国 西部 海岸线 曲折 ， 珊瑚礁 发育 好,英国 西部 海岸线 曲折 ， 珊瑚礁 发育 好,loc NN VA PU NN VV VA,( (IP (IP (NP (NP (NR 英国西部)) (NP (NN 海岸线))) (VP (VA 曲折))) (PU ，) (IP (NP (NN 珊瑚礁)) (VP (VRD (VV 发育) (VA 好))))) )
2-B-0,英国	西部海岸线曲折,ed-ori,,0,,,英国西部 海岸线 曲折,英国 西部 海岸线 曲折,loc NN VA,,实体信息陈述_0（英国，西部海岸线，曲折）,实体信息陈述_0（英国，西部海岸线，曲折）,,,实体信息陈述,实体信息陈述,,,英国 西部 海岸线 曲折,英国 西部 海岸线 曲折,loc NN VA,( (IP (NP (NP (NR 英国西部)) (NP (NN 海岸线))) (VP (VA 曲折))) )
2-B-1,英国	西部海岸珊瑚礁发育好,ed-mod,,0,,,英国西部 海岸 珊瑚礁 发育 好,英国 西部 海岸 珊瑚礁 发育 好,loc NN NN VV VA,,实体信息陈述_0（英国，西部海岸珊瑚礁发育，好）,实体信息陈述_0（英国，西部海岸珊瑚礁发育，好）,,,实体信息陈述,实体信息陈述,,,英国 西部 海岸 珊瑚礁 发育 好,英国 西部 海岸 珊瑚礁 发育 好,loc NN NN VV VA,( (IP (NP (NP (NR 英国西部) (NN 海岸)) (NP (NN 珊瑚礁))) (VP (VRD (VV 发育) (VA 好)))) )
2-C,英国	地形以高原为主，地势西高东低,y,,0,3,,英国 地形 以 高原 为主 ， 地势 西 高 东 低,英国 地形 以 高原 为主 ， 地势 西 高 东 低,loc NN P term VV PU NN NN VA NN VA,,实体信息陈述_0（英国，地形，以高原为主）实体信息陈述_1（英国，地势，西高东低）,实体信息陈述_0（英国，地形，以高原为主）实体信息陈述_1（英国，地势，西高东低）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,0,英国 地形 以 高原 为主 ， 地势 西高东 低,英国 地形 以 高原 为主 ， 地势 西高东 低,loc NN P term VV PU NN NN JJ NN VA,( (IP (IP (NP (NR 英国)) (NP (NN 地形)) (VP (PP (P 以) (NP (NN 高原))) (VP (VV 为主)))) (PU ，) (IP (NP (NN 地势) (NN 西)) (VP (VA 高))) (IP (NP (NN 东)) (VP (VA 低)))) )
2-C-0,英国	地形以高原为主,ed-ori,,0,3,,英国 地形 以 高原 为主,英国 地形 以 高原 为主,loc NN P term VV,,实体信息陈述_0（英国，地形，以高原为主）,实体信息陈述_0（英国，地形，以高原为主）,,,实体信息陈述,实体信息陈述,,0,英国 地形 以 高原 为 主,英国 地形 以 高原 为 主,loc NN P term VV NN,( (IP (NP (NP (NR 英国)) (NP (NN 地形))) (VP (PP (P 以) (NP (NN 高原))) (VP (VV 为主)))) )
2-C-1,英国	地势西高东低,ed-ori,,0,,,英国 地势 西 高 东 低,英国 地势 西 高 东 低,loc NN NN VA NN VA,,实体信息陈述_0（英国，地势，西高东低）,实体信息陈述_0（英国，地势，西高东低）,,,实体信息陈述,实体信息陈述,,0,英国 地势 西高东 低,英国 地势 西高东 低,loc NN NN JJ NN VA,( (IP (NP (NP (NR 英国)) (NP (NN 地势))) (IP (IP (NP (NN 西)) (VP (VA 高))) (IP (NP (NN 东)) (VP (VA 低))))) )
2-D,英国	多数河流短，含沙少，无结冰期,y,,0,9,,英国 多数 河流 短 ， 含沙 少 ， 无 结冰期,英国 多数 河流 短 ， 含沙 少 ， 无 结冰期,loc CD NN VA PU NN VA PU VE term,,实体信息陈述_0（英国多数河流，#，短）实体信息陈述_1（英国多数河流，含沙，少）实体信息陈述_2（英国多数河流，结冰期，无）,实体信息陈述_0（英国多数河流，#，短）实体信息陈述_1（英国多数河流，含沙，少）实体信息陈述_2（英国多数河流，结冰期，无）,,,实体信息陈述 实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述 实体信息陈述,,0,英国 多数 河流 短 ， 含沙 少 ， 无 结冰期,英国 多数 河流 短 ， 含沙 少 ， 无 结冰期,loc CD NN VA PU VV VA PU VE term,( (IP (IP (NP (NP (NR 英国)) (QP (CD 多数)) (NP (NN 河流))) (VP (VA 短))) (PU ，) (IP (NP (NN 含沙)) (VP (VA 少))) (PU ，) (IP (VP (VE 无) (NP (NN 结冰期))))) )
2-D-0,英国	多数河流短,ed-ori,,0,,,英国 多数 河流 短,英国 多数 河流 短,loc CD NN VA,,实体信息陈述_0（英国多数河流，#，短）,实体信息陈述_0（英国多数河流，#，短）,,,实体信息陈述,实体信息陈述,,0,英国 多数 河流 短,英国 多数 河流 短,loc CD NN VA,( (IP (NP (NP (NR 英国)) (QP (CD 多数)) (NP (NN 河流))) (VP (VA 短))) )
2-D-1,英国	多数河流含沙少,ed-mod,,0,,,英国 多数 河流 含沙 少,英国 多数 河流 含沙 少,loc CD NN NN VA,,实体信息陈述_0（英国多数河流，含沙，少）,实体信息陈述_0（英国多数河流，含沙，少）,,,实体信息陈述,实体信息陈述,,0,英国 多数 河流 含沙 少,英国 多数 河流 含沙 少,loc CD NN VV VA,( (IP (NP (NP (NR 英国)) (QP (CD 多数)) (NP (NN 河流))) (NP (NN 含沙)) (VP (VA 少))) )
2-D-2,英国	多数河流无结冰期,ed-mod,,0,4,,英国 多数 河流 无 结冰期,英国 多数 河流 无 结冰期,loc CD NN VE term,,实体信息陈述_0（英国多数河流，结冰期，无）,实体信息陈述_0（英国多数河流，结冰期，无）,,,实体信息陈述,实体信息陈述,,0,英国 多数 河流 无 结冰期,英国 多数 河流 无 结冰期,loc CD NN VE term,( (IP (NP (NP (NR 英国)) (QP (CD 多数)) (NP (NN 河流))) (VP (VE 无) (NP (NN 结冰期)))) )
3-A,途经该区域的洋流	能使北美洲至欧洲的海轮航行速度加快,None,,7 9,4,,途经 该 区域 的 洋流 能 使 北美洲 至 欧洲 的 海轮 航行 速度 加快,途经 该 区域 的 洋流 能 使 北美洲 至 欧洲 的 海轮 航行 速度 加快,VV DT NN DEG term VV VV loc P loc DEG NN NN NN VV,,因果_0（途径该区域的洋流，能使北美洲至欧洲的海轮航行速度加快）,因果_0（途径该区域的洋流，趋势_1（北美洲至欧洲的海轮，航行速度，#，加快））,0_5-6,0_5-6 1_14,因果,因果 趋势,,7 9,途经 该 区域 的 洋流 能 使 北 美洲 至 欧洲 的 海轮 航行 速度 加快,途经 该 区域 的 洋流 能 使 北美洲 至 欧洲 的 海轮 航行 速度 加快,VV DT NN DEG term VV VV loc CC loc DEG NN NN NN VV,( (IP (VP (VV 途经) (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 区域))) (DEG 的)) (NP (NN 洋流))) (VP (VV 能) (VP (VV 使) (NP (NP (NR 北美洲)) (DNP (PP (P 至) (NP (NR 欧洲))) (DEG 的)) (NP (NN 海轮) (NN 航行) (NN 速度))) (IP (VP (VV 加快)))))))) )
3-B,途经该区域的洋流	造成欧洲西部地区气温升高、湿度降低,None,,6,4,,途经 该 区域 的 洋流 造成 欧洲西部地区 气温 升高 、 湿度 降低,途经 该 区域 的 洋流 造成 欧洲 西部 地区 气温 升高 、 湿度 降低,VV DT NN DEG term VV loc NN VV PU NN VV,,因果_0（途径该区域的洋流，造成欧洲西部地区气温升高、湿度降低）,因果_0（途径该区域的洋流，趋势_1（欧洲西部地区，气温，#，升高）趋势_2（欧洲西部地区，气温，#，降低））,0_5-6,0_5 1_8 2_11,因果,因果 趋势 趋势,,,途经 该 区域 的 洋流 造成 欧洲 西部 地区 气温 升高 、 湿度 降低,途经 该 区域 的 洋流 造成 欧洲 西部 地区 气温 升高 、 湿度 降低,VV DT NN DEG term VV loc NN VV PU NN VV,( (IP (VP (VV 途经) (NP (DNP (NP (DP (DT 该)) (NP (NN 区域))) (DEG 的)) (NP (NN 洋流))) (IP (VP (VV 造成) (IP (IP (NP (NR 欧洲西部地区) (NN 气温)) (VP (VV 升高))) (PU 、) (IP (NP (NN 湿度)) (VP (VV 降低)))))))) )
3-C,途经该区域的洋流	进入到北冰洋海域，使当地能见度变好,n,,7,,,途经 该 区域 的 洋流 进入 到 北冰洋海域 ， 使 当地 能见度 变好,途经 该 区域 的 洋流 进入 到 北冰洋 海域 ， 使 当地 能见度 变好,VV DT NN DEG NN VV VV loc PU VV NN NN VV,,因果_0（途径该区域的洋流，进入到北冰洋海域使当地能见度变好）,因果_0（途径该区域的洋流，趋势_1（北冰洋海域，能见度，#，变好））,0_9,0_9 1_12,因果,因果 趋势,,,途经 该 区域 的 洋流 进入 到 北冰洋 海域 ， 使 当地 能见度 变好,途经 该 区域 的 洋流 进入 到 北冰洋 海域 ， 使 当地 能见度 变好,VV DT NN DEG NN VV VV loc PU VV NN NN VV,( (IP (VP (VV 途经) (IP (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 区域))) (DEG 的)) (NP (NN 洋流))) (VP (VRD (VV 进入) (VV 到)) (NP (NR 北冰洋海域)))) (PU ，) (VP (VV 使) (NP (NN 当地) (NN 能见度)) (IP (VP (VV 变好))))))) )
3-D,途经该区域的洋流	在与其他洋流交汇的海域不易形成渔场,None,,,4 8,,途经 该 区域 的 洋流 在 与 其他 洋流 交汇 的 海域 不 易 形成 渔场,途经 该 区域 的 洋流 在 与 其他 洋流 交汇 的 海域 不 易 形成 渔场,VV DT NN DEG term P P DT term VV DEC NN AD VA VV NN,,实体信息陈述_0（途经该区域的洋流在与其他洋流交汇的海域，不易形成，渔场）,实体信息陈述_0（途经该区域的洋流在与其他洋流交汇的海域，不易形成，渔场）,,,实体信息陈述,实体信息陈述,,,途经 该 区域 的 洋流 在 与 其他 洋流 交汇 的 海域 不 易 形成 渔场,途经 该 区域 的 洋流 在 与 其他 洋流 交汇 的 海域 不 易 形成 渔场,VV DT NN DEG term P P DT term VV DEC NN AD VA VV NN,( (IP (IP (VP (VV 途经) (NP (DNP (NP (DP (DT 该)) (NP (NN 区域))) (DEG 的)) (NP (NN 洋流))))) (VP (PP (P 在) (NP (CP (IP (VP (PP (P 与) (NP (DP (DT 其他)) (NP (NN 洋流)))) (VP (VV 交汇)))) (DEC 的)) (NP (NN 海域)))) (ADVP (AD 不)) (VP (VA 易) (IP (VP (VV 形成) (NP (NN 渔场))))))) )
4-A,图中所示山地	各自然带的界线随季节变化而移动,None,,,5,,图 中 所示 山地 各 自然带 的 界线 随 季节 变化 而 移动,图 中 所示 山地 各 自然带 的 界线 随 季节 变化 而 移动,NN LC VV NN DT term DEG NN P NN VV MSP VV,,趋势_0（山地各自然带，界线，季节变化，移动）,趋势_0（山地各自然带，界线，季节变化，移动）,0_8-12,0_8-12,趋势,趋势,,,图 中 所示 山地 各 自然带 的 界线 随季节 变化 而 移动,图 中 所示 山地 各 自然带 的 界线 随季节 变化 而 移动,NN LC VV NN DT term DEG NN NN NN MSP VV,( (IP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (NP (NN 山地))))) (IP (NP (DNP (NP (DP (DT 各)) (NP (NN 自然带))) (DEG 的)) (NP (NN 界线))) (VP (VP (PP (P 随) (NP (NN 季节))) (VP (VV 变化))) (VP (MSP 而) (VP (VV 移动)))))) )
4-B,图中所示山地	北坡热量条件差，林带上界比南坡低,y,,,,,图 中 所示 山地 北坡 热量 条件 差 ， 林带 上界 比 南坡 低,图 中 所示 山地 北坡 热量 条件 差 ， 林带 上界 比 南坡 低,NN LC VV NN NN NN NN VA PU NN NN P NN VA,,实体信息陈述_0（山地北坡，热量条件，差）比较_1（山地北坡，山地南坡，林带上界，低）,实体信息陈述_0（山地北坡，热量条件，差）比较_1（山地北坡，山地南坡，林带上界，低）,1_11-13,1_11-13,实体信息陈述 比较,实体信息陈述 比较,,,图 中 所示 山地 北坡 热量 条件 差 ， 林带 上界 比 南坡 低,图 中 所示 山地 北坡 热量 条件 差 ， 林带 上界 比 南坡 低,NN LC VV NN NR NN NN VA PU NN NN P NN VA,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (NP (NN 山地) (NN 北坡))) (PRN (IP (IP (NP (NN 热量) (NN 条件)) (VP (VA 差))) (PU ，) (IP (NP (NN 林带) (NN 上界)) (VP (PP (P 比) (NP (NN 南坡))) (VP (VA 低))))))) )
4-B-0,图中所示山地	北坡热量条件差,ed-ori,,,,,图 中 所示 山地 北坡 热量 条件 差,图 中 所示 山地 北坡 热量 条件 差,NN LC VV NN NN NN NN VA,,实体信息陈述_0（山地北坡，热量条件，差）,实体信息陈述_0（山地北坡，热量条件，差）,,,实体信息陈述,实体信息陈述,,,图 中 所示 山地 北坡 热量 条件 差,图 中 所示 山地 北坡 热量 条件 差,NN LC VV NN NR NN NN VA,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (IP (VP (VV 所示) (NP (NN 山地)))) (NP (NN 北坡))) (NP (NN 热量) (NN 条件)) (VP (VA 差))) )
4-B-1,图中所示山地	北坡林带上界比南坡低,ed-mod,,,5,,图 中 所示 山地 北坡 林带 上界 比 南坡 低,图 中 所示 山地 北坡 林带 上界 比 南坡 低,NN LC VV NN NN term NN P NN VA,,比较_0（山地北坡，山地南坡，林带上界，低）,比较_0（山地北坡，山地南坡，林带上界，低）,0_7-9,0_7-9,比较,比较,,,图 中 所示 山地 北坡 林带 上界 比 南坡 低,图 中 所示 山地 北坡 林带 上界 比 南坡 低,NN LC VV NN NR term NN P NN VA,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (NP (NN 山地) (NN 北坡)))) (NP (NN 林带) (NN 上界)) (VP (PP (P 比) (NP (NN 南坡))) (VP (VA 低)))) )
4-C,图中所示山地	南坡冰雪带下界因降水量大而较低,None,,,5,,图 中 所示 山地 南坡 冰雪带 下界 因 降水量 大 而 较 低,图 中 所示 山地 南坡 冰雪带 下界 因 降水量 大 而 较 低,NN LC VV NN NN term NN P NN VA MSP AD VA,,因果_0（山地南坡降水量大，山地南坡冰雪带下界较低）,因果_0（山地南坡降水量大，实体信息陈述_1（山地南坡，冰雪带下界，较低））,0_7,0_7,因果,因果 实体信息陈述,,,图 中 所示 山地 南坡 冰雪带 下界 因 降水量 大 而 较 低,图 中 所示 山地 南坡 冰雪带 下界 因 降水量 大 而 较 低,NN LC VV NN NN term NN P NN VA MSP AD VA,( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (NP (NN 山地) (NN 南坡)))))) (NP (NN 冰雪带) (NN 下界))) (VP (PP (P 因) (IP (NP (NN 降水量)) (VP (VA 大)))) (VP (MSP 而) (VP (ADVP (AD 较)) (VP (VA 低)))))) )
4-D,图中所示山地	南北坡山麓水平距离造成基带差异大,None,,,,,图 中 所示 山地 南北坡 山麓 水平 距离 造成 基带 差异 大,图 中 所示 山地 南北坡 山麓 水平 距离 造成 基带 差异 大,NN LC VV NN NN NN NN NN VV NN NN VA,,影响_0（山地南北坡山麓水平距离，基带，差异大）,影响_0（山地南北坡山麓水平距离，基带，差异大）,0_8,0_8,影响,影响,,,图 中 所示 山地 南 北坡 山麓 水平 距离 造成 基带 差异 大,图 中 所示 山地 南 北坡 山麓 水平 距离 造成 基带 差异 大,NN LC VV NN NN NR NN NN VV VV NN NN JJ,( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (NP (NP (NN 山地) (NN 南北坡)) (NP (NN 山麓)))))) (NP (NN 水平))) (IP (IP (NP (NN 距离)) (VP (VV 造成) (NP (NN 基带)))) (IP (NP (NN 差异)) (VP (VA 大))))) )
5-A,该山地位于	喜马拉雅山脉,None,,3,,,该 山地 位于 喜马拉雅山脉,该 山地 位于 喜马拉雅 山脉,DT NN VV loc,,位于_0（该山地，喜马拉雅山脉）,位于_0（该山地，喜马拉雅山脉）,0_2,0_2,位于,位于,,3,该 山地 位于 喜马拉雅山脉,该 山地 位于 喜马拉雅山脉,DT NN VV loc,( (IP (NP (DP (DT 该)) (NP (NN 山地))) (VP (VV 位于) (NP (NR 喜马拉雅山脉)))) )
