编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
3-C,下图中能反映此日后20天时全球昼长分布的曲线是	③,None,7,,,,下图 中 能 反映 此 日 后 20天 时 全球 昼长 分布 的 曲线 是 ③,下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ③,NN LC VV VV DT NN LC time LC NN NN NN DEG NN VC NN,,时间限定_0（此日后20天时）匹配_1（全球昼长分布的曲线，③）,时间限定_0（此日后20天时）匹配_1（全球昼长分布的曲线，③）,0_8 1_14,0_8 1_14,时间限定 匹配,时间限定 匹配,,,下图 中能 反映 此 日后 20 天时 全球 昼长 分布 的 曲线 是 ③,下图 中能 反映 此 日后 20 天时 全球 昼长 分布 的 曲线 是 ③,NN LC VV VV DT M LC time LC NN NN VV DEC NN VC NN,( (IP (LCP (NP (NN 下图)) (LC 中)) (VP (VV 能) (VP (VV 反映) (IP (LCP (NP (DP (DT 此)) (NP (NN 日))) (LC 后)) (NP (LCP (NP (NT 20天)) (LC 时)) (DNP (NP (NN 全球) (NN 昼长) (NN 分布)) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ③))))))) )
3-D,下图中能反映此日后20天时全球昼长分布的曲线是	④,None,7,,,,下图 中 能 反映 此 日 后 20天 时 全球 昼长 分布 的 曲线 是 ④,下图 中 能 反映 此 日 后 20 天 时 全球 昼长 分布 的 曲线 是 ④,NN LC VV VV DT NN LC time LC NN NN NN DEG NN VC NN,,时间限定_0（此日后20天时）匹配_1（全球昼长分布的曲线，④）,时间限定_0（此日后20天时）匹配_1（全球昼长分布的曲线，④）,0_8 1_14,0_8 1_14,时间限定 匹配,时间限定 匹配,,,下图 中能 反映 此 日后 20 天时 全球 昼长 分布 的 曲线 是 ④,下图 中能 反映 此 日后 20 天时 全球 昼长 分布 的 曲线 是 ④,NN LC VV VV DT M LC time LC NN NN VV DEC NN VC NN,( (IP (LCP (NP (NN 下图)) (LC 中)) (VP (VV 能) (VP (VV 反映) (IP (LCP (NP (DP (DT 此)) (NP (NN 日))) (LC 后)) (NP (LCP (NP (NT 20天)) (LC 时)) (DNP (NP (NN 全球) (NN 昼长) (NN 分布)) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ④))))))) )
4-A,图中风带为	东南信风带,None,,,2 4,,图 中 风带 为 东南信风带,图 中 风带 为 东南 信风 带,NN LC term VV term,,匹配_0（图中风带，东南信风带）,匹配_0（图中风带，东南信风带）,0_3,0_3,匹配,匹配,,,图 中 风带 为 东南信风带,图 中 风带 为 东南信风带,NN LC term VV term,( (IP (LCP (NP (NN 图)) (LC 中)) (NP (NN 风带)) (VP (VV 为) (NP (NN 东南信风带)))) )
4-B,图中风带为	中纬西风带,None,,,2 4,,图 中 风带 为 中纬西风带,图 中 风带 为 中纬 西风 带,NN LC term VC term,,匹配_0（图中风带，中纬西风带）,匹配_0（图中风带，中纬西风带）,0_3,0_3,匹配,匹配,,,图 中 风带 为 中纬西风带,图 中 风带 为 中纬西风带,NN LC term VC term,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 风带))) (VP (VC 为) (NP (NN 中纬西风带)))) )
4-C,图中风带为	东北信风带,None,,,2 4,,图 中 风带 为 东北信风带,图 中 风带 为 东北 信风 带,NN LC term VV term,,匹配_0（图中风带，东北信风带）,匹配_0（图中风带，东北信风带）,0_3,0_3,匹配,匹配,,,图 中 风带 为 东北信风带,图 中 风带 为 东北信风带,NN LC term VV term,( (IP (LCP (NP (NN 图)) (LC 中)) (NP (NN 风带)) (VP (VV 为) (NP (NN 东北信风带)))) )
4-D,图中风带为	极地东风带,None,,,2 4,,图 中 风带 为 极地东风带,图 中 风带 为 极地 东风 带,NN LC term VV term,,匹配_0（图中风带，极地东风带）,匹配_0（图中风带，极地东风带）,0_3,0_3,匹配,匹配,,,图 中 风带 为 极地 东风带,图 中 风带 为 极地东风带,NN LC term VV term,( (IP (LCP (NP (NN 图)) (LC 中)) (NP (NN 风带)) (VP (VV 为) (NP (NN 极地东风带)))) )
5-A,图中所示沿海地区的气候类型是	温带海洋性气候,None,,,6 8,,图 中 所示 沿海 地区 的 气候类型 是 温带海洋性气候,图 中 所示 沿海 地区 的 气候 类型 是 温带 海洋性 气候,NN LC VV NN NN DEG term VC term,,实体信息陈述_0（图中所示沿海地区，气候类型，温带海洋性气候）,实体信息陈述_0（图中所示沿海地区，气候类型，温带海洋性气候）,0_7,0_7,实体信息陈述,实体信息陈述,,,图 中所 示沿 海地区 的 气候类型 是 温带 海洋性气候,图 中 所示 沿海 地区 的 气候类型 是 温带海洋性气候,NN LC VV NN NN DEG term VC term,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (VV 所示))) (NP (NN 沿海) (NN 地区))) (DEG 的)) (NP (NN 气候类型))) (VP (VC 是) (NP (NN 温带海洋性气候)))) )
5-B,图中所示沿海地区的气候类型是	热带沙漠气候,None,,,6 8,,图 中 所示 沿海 地区 的 气候类型 是 热带沙漠气候,图 中 所示 沿海 地区 的 气候 类型 是 热带 沙漠 气候,NN LC VV NN NN DEG term VC term,,实体信息陈述_0（图中所示沿海地区，气候类型，热带沙漠气候）,实体信息陈述_0（图中所示沿海地区，气候类型，热带沙漠气候）,0_7,0_7,实体信息陈述,实体信息陈述,,8,图 中所 示沿 海地区 的 气候类型 是 热带沙漠气候,图 中 所示 沿海 地区 的 气候类型 是 热带沙漠气候,NN LC VV NN NN DEG term VC term,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (VV 所示))) (NP (NN 沿海) (NN 地区))) (DEG 的)) (NP (NN 气候类型))) (VP (VC 是) (NP (NN 热带沙漠气候)))) )
5-C,图中所示沿海地区的气候类型是	地中海气候,None,,,6 8,,图 中 所示 沿海 地区 的 气候类型 是 地中海气候,图 中 所示 沿海 地区 的 气候 类型 是 地中海 气候,NN LC VV NN NN DEG term VC term,,实体信息陈述_0（图中所示沿海地区，气候类型，地中海气候）,实体信息陈述_0（图中所示沿海地区，气候类型，地中海气候）,0_7,0_7,实体信息陈述,实体信息陈述,,,图 中所 示沿 海地区 的 气候类型 是 地中海气候,图 中 所示 沿海 地区 的 气候类型 是 地中海气候,NN LC VV NN NN DEG term VC term,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (VV 所示))) (NP (NN 沿海) (NN 地区))) (DEG 的)) (NP (NN 气候类型))) (VP (VC 是) (NP (NN 地中海气候)))) )
5-D,图中所示沿海地区的气候类型是	温带大陆性气候,None,,,6 8,,图 中 所示 沿海 地区 的 气候类型 是 温带大陆性气候,图 中 所示 沿海 地区 的 气候 类型 是 温带 大陆性 气候,NN LC VV NN NN DEG term VC term,,实体信息陈述_0（图中所示沿海地区，气候类型，温带大陆性气候）,实体信息陈述_0（图中所示沿海地区，气候类型，温带大陆性气候）,0_7,0_7,实体信息陈述,实体信息陈述,,,图 中所 示沿 海地区 的 气候类型 是 温带大陆性气候,图 中 所示 沿海 地区 的 气候类型 是 温带大陆性气候,NN LC VV NN NN DEG term VC term,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (VV 所示))) (NP (NN 沿海) (NN 地区))) (DEG 的)) (NP (NN 气候类型))) (VP (VC 是) (NP (NN 温带大陆性气候)))) )
6-A,图中北极村	北邻俄罗斯,None,,5,,,图 中 北极村 北 邻 俄罗斯,图 中 北极村 北 邻 俄罗斯,NN LC NR NN VV loc,,实体信息陈述_0（图中北极村，北邻，俄罗斯）,实体信息陈述_0（图中北极村，北邻，俄罗斯）,,,实体信息陈述,实体信息陈述,,4,图 中 北极村 北邻 俄罗斯,图 中 北极村 北邻 俄罗斯,NN LC NR NR term,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 北极村)) (NP (NN 北))) (VP (VV 邻) (NP (NR 俄罗斯)))) )
6-B,图中北极村	属于松花江流域,None,,,4,,图 中 北极村 属于 松花江流域,图 中 北极村 属于 松花江 流域,NN LC NR VV term,,实体信息陈述_0（图中北极村，属于，松花江流域）,实体信息陈述_0（图中北极村，属于，松花江流域）,,,实体信息陈述,实体信息陈述,,,图 中 北极村 属于 松花江 流域,图 中 北极村 属于 松花江 流域,NN LC NR VV term,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 北极村))) (VP (VV 属于) (NP (NN 松花江流域)))) )
6-C,图中北极村	有极昼极夜现象,None,,,4 5,,图 中 北极村 有 极昼 极夜 现象,图 中 北极村 有 极昼 极夜 现象,NN LC NR VE term term NN,,实体信息陈述_0（图中北极村，有，极昼极夜现象）,实体信息陈述_0（图中北极村，有，极昼极夜现象）,,,实体信息陈述,实体信息陈述,,,图 中 北极村 有 极昼 极夜 现象,图 中 北极村 有 极昼 极夜 现象,NN LC NR VE term term NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 北极村))) (VP (VE 有) (NP (NP (NN 极昼) (NN 极夜)) (NP (NN 现象))))) )
6-D,图中北极村	自转线速度比大连大,None,,5,3,,图 中 北极村 自转线速度 比 大连 大,图 中 北极村 自转 线速度 比 大连 大,NN LC NR term P loc VA,,比较_0（图中北极村，大连，自转线速度，大）,比较_0（图中北极村，大连，自转线速度，大）,0_4,0_4,比较,比较,,5,图 中 北极村 自转线速度 比 大连 大,图 中 北极村 自转线速度 比 大连 大,NN LC NR term P loc VA,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 北极村) (NN 自转线速度))) (VP (PP (P 比) (NP (NR 大连))) (VP (VA 大)))) )
7-A,关于图中降雪分布规律的叙述，正确的是	最初日期由北向南越来越晚,None,,,,,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最初 日期 由 北 向 南 越 来 越 晚,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最初 日期 由 北 向 南 越 来 越 晚,P NN LC NN NN NN DEG NN PU VA DEC VC JJ NN P NN P NN AD VV AD VA,,趋势_0（降雪，最初日期，由北向南，越来越晚）,趋势_0（降雪，最初日期，由北向南，越来越晚）,0_4-5-18-19-20,0_4-5-18-19-20,趋势,趋势,,,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最初 日期 由 北向南 越来 越晚,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最初 日期 由 北向南 越来 越晚,P NN LC VV VV NN DEG NN PU VA DEC VC AD NN P NN P NN AD VV AD VA,( (IP (PP (P 关于) (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 降雪) (NN 分布) (NN 规律))) (DEG 的)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (ADJP (JJ 最初)) (NP (NN 日期))) (VP (PP (PP (P 由) (NP (NN 北))) (PP (P 向) (NP (NN 南)))) (ADVP (AD 越)) (VP (VP (VV 来)) (VP (ADVP (AD 越)) (VP (VA 晚)))))))) )
7-B,关于图中降雪分布规律的叙述，正确的是	最终日期由北向南越来越晚,None,,,,,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最终 日期 由 北 向 南 越 来 越 晚,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最终 日期 由 北 向 南 越 来 越 晚,P NN LC NN NN NN DEG NN PU VA DEC VC JJ NN P NN P NN AD VV AD VA,,趋势_0（降雪，最终日期，由北向南，越来越晚）,趋势_0（降雪，最终日期，由北向南，越来越晚）,0_4-5-18-19-20,0_4-5-18-19-20,趋势,趋势,,,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最终 日期 由 北向南 越来越 晚,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最终 日期 由 北向南 越来越 晚,P NN LC VV VV NN DEG NN PU VA DEC VC JJ NN P NN P NN AD VV AD VA,( (IP (PP (P 关于) (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 降雪) (NN 分布) (NN 规律))) (DEG 的)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (ADJP (JJ 最终)) (NP (NN 日期))) (VP (PP (PP (P 由) (NP (NN 北))) (PP (P 向) (NP (NN 南)))) (ADVP (AD 越)) (VP (VP (VV 来)) (VP (ADVP (AD 越)) (VP (VA 晚)))))))) )
7-C,关于图中降雪分布规律的叙述，正确的是	最初日期由东向西越来越晚,None,,,,,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最初 日期 由 东 向 西 越 来 越 晚,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最初 日期 由 东 向 西 越 来 越 晚,P NN LC NN NN NN DEG NN PU VA DEC VC JJ NN P NN P NN AD VV AD VA,,趋势_0（降雪，最初日期，由东向西，越来越晚）,趋势_0（降雪，最初日期，由东向西，越来越晚）,0_4-5-18-19-20,0_4-5-18-19-20,趋势,趋势,,,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最初 日期 由 东向西 越来越 晚,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最初 日期 由 东向西 越来越 晚,P NN LC VV VV NN DEG NN PU VA DEC VC AD NN P NN P NN AD VV AD VA,( (IP (PP (P 关于) (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 降雪) (NN 分布) (NN 规律))) (DEG 的)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (ADJP (JJ 最初)) (NP (NN 日期))) (VP (PP (PP (P 由) (NP (NN 东))) (PP (P 向) (NP (NN 西)))) (ADVP (AD 越)) (VP (VP (VV 来)) (VP (ADVP (AD 越)) (VP (VA 晚)))))))) )
7-D,关于图中降雪分布规律的叙述，正确的是	最终日期由西向东越来越早,None,,,,,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最终 日期 由 西 向 东 越 来 越 早,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最终 日期 由 西 向 东 越 来 越 早,P NN LC NN NN NN DEG NN PU VA DEC VC JJ NN P NN P NN AD VV AD VA,,趋势_0（降雪，最终日期，由西向东，越来越早）,趋势_0（降雪，最终日期，由西向东，越来越早）,0_4-5-18-19-20,0_4-5-18-19-20,趋势,趋势,,,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最终 日期 由 西向东 越来越 早,关于 图 中 降雪 分布 规律 的 叙述 ， 正确 的 是 最终 日期 由 西向东 越来越 早,P NN LC VV VV NN DEG NN PU VA DEC VC JJ NN P NN P NN AD VV AD VA,( (IP (PP (P 关于) (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 降雪) (NN 分布) (NN 规律))) (DEG 的)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (ADJP (JJ 最终)) (NP (NN 日期))) (VP (PP (PP (P 由) (NP (NN 西))) (PP (P 向) (NP (NN 东)))) (ADVP (AD 越)) (VP (VP (VV 来)) (VP (ADVP (AD 越)) (VP (VA 早)))))))) )
8-A,图中积雪厚度最大值出现在延吉，主要原因是	纬度位置低,None,,9,14,,图 中 积雪 厚度 最 大 值 出现 在 延吉 ， 主要 原因 是 纬度 位置 低,图 中 积雪 厚度 最 大 值 出现 在 延吉 ， 主要 原因 是 纬度 位置 低,NN LC NN NN AD JJ NN VV P loc PU JJ NN VC term NN VA,,因果_0（延吉纬度位置低，图中积雪厚度最大值出现在延吉）,因果_0（实体信息陈述_1（延吉，纬度位置，低），最值_2（延吉，积雪厚度，大，图中））,0_11-12,0_11-12 2_4-5-6,因果,因果 实体信息陈述 最值,,,图 中 积雪 厚度 最 大值 出现 在 延吉 ， 主要 原因 是 纬度 位置 低,图 中 积雪 厚度 最 大值 出现 在 延吉 ， 主要 原因 是 纬度 位置 低,NN LC NN NN AD JJ NN VV P loc PU JJ NN VC term NN VA,( (IP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 积雪) (NN 厚度)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 值))) (VP (VV 出现) (PP (P 在) (NP (NR 延吉))))) (PU ，) (IP (NP (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 纬度) (NN 位置)) (VP (VA 低)))))) )
