编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月5日13时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )
3-D,好奇号探测车用于研究火星上是否存在适合生物生存的环境，主要目标是探测火星上是否存在	液态水和有机物,None,,4 18,,,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 液态水 和 有机物,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 液态水 和 有机物,NN NN VV VV NN LC AD VV VV NN NN DEG NN PU JJ NN VC VV NN LC AD VV NN CC NN,,实体信息陈述_0（好奇号探测车，目标，探测火星上是否存在液态水和有机物）,实体信息陈述_0（好奇号探测车，目标，探测火星上是否存在太阳辐射和火星引力）,,,实体信息陈述,实体信息陈述,,,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 液态水 和 有 机物,好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 液态水 和 有 机物,NN NN VV NN NN LC AD VV VV NN NN DEG NN PU JJ NN VC VV NN LC AD VV NN CC NN,( (IP (IP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VP (VV 用于) (LCP (IP (VP (VV 研究) (NP (NN 火星)))) (LC 上))) (VP (ADVP (AD 是否)) (VP (VV 存在))))) (VP (VV 适合) (NP (DNP (NP (NN 生物) (NN 生存)) (DEG 的)) (NP (NN 环境))))) (PU ，) (NP (ADJP (JJ 主要)) (NP (NN 目标))) (VP (VC 是) (NP (CP (IP (VP (LCP (IP (VP (VV 探测) (NP (NN 火星)))) (LC 上)) (ADVP (AD 是否)) (VP (VV 存在))))) (NP (NN 液态水) (CC 和) (NN 有机物))))) )
4-A,图示区域的最大高差约为	4843米,None,,,,8,图示 区域 的 最 大 高差 约 为 4843米,图示 区域 的 最 大 高差 约 为 4843 米,VA NN DEG AD JJ NN AD VC num,,实体信息陈述_0（图示区域，最大高差，约 4843米）,实体信息陈述_0（图示区域，最大高差，约 4843米）,,,实体信息陈述,实体信息陈述,,,图示 区域 的 最 大 高差 约 为 4843 米,图示 区域 的 最 大 高差 约 为 4843 米,VV NN DEG AD JJ NN AD VC num,( (IP (NP (DNP (NP (CP (VP (VA 图示))) (NP (NN 区域))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 高差))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 4843米))))) )
4-B,图示区域的最大高差约为	2843米,None,,,,8,图示 区域 的 最 大 高差 约 为 2843米,图示 区域 的 最 大 高差 约 为 2843 米,VA NN DEG AD JJ NN AD VC num,,实体信息陈述_0（图示区域，最大高差，约 2843米）,实体信息陈述_0（图示区域，最大高差，约 2843米）,,,实体信息陈述,实体信息陈述,,,图示 区域 的 最 大 高差 约 为 2843米,图示 区域 的 最 大 高差 约 为 2843米,VV NN DEG AD JJ NN AD VC num,( (IP (NP (DNP (NP (CP (VP (VA 图示))) (NP (NN 区域))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 高差))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 2843米))))) )
4-C,图示区域的最大高差约为	3840米,None,,,,8,图示 区域 的 最 大 高差 约 为 3840米,图示 区域 的 最 大 高差 约 为 3840 米,VA NN DEG AD JJ NN AD VC num,,实体信息陈述_0（图示区域，最大高差，约 3840米）,实体信息陈述_0（图示区域，最大高差，约 3840米）,,,实体信息陈述,实体信息陈述,,,图示 区域 的 最 大 高差 约 为 3840 米,图示 区域 的 最 大 高差 约 为 3840 米,VV NN DEG AD JJ NN AD VC num,( (IP (NP (DNP (NP (CP (VP (VA 图示))) (NP (NN 区域))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 高差))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 3840米))))) )
4-D,图示区域的最大高差约为	4000米,None,,,,8,图示 区域 的 最 大 高差 约 为 4000米,图示 区域 的 最 大 高差 约 为 4000 米,VA NN DEG AD JJ NN AD VC num,,实体信息陈述_0（图示区域，最大高差，约 4000米）,实体信息陈述_0（图示区域，最大高差，约 4000米）,,,实体信息陈述,实体信息陈述,,,图示 区域 的 最 大 高差 约 为 4000 米,图示 区域 的 最 大 高差 约 为 4000 米,VV NN DEG AD JJ NN AD VC num,( (IP (NP (DNP (NP (CP (VP (VA 图示))) (NP (NN 区域))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 高差))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 4000米))))) )
5-A,图中河流	补给类型均为降水补给,None,,,,,图 中 河流 补给 类型 均 为 降水 补给,图 中 河流 补给 类型 均 为 降水 补给,NN LC NN NN NN AD VC NN NN,,实体信息陈述_0（图中河流，补给类型，降水补给）,实体信息陈述_0（图中河流，补给类型，降水补给）,,,实体信息陈述,实体信息陈述,,,图 中河 流 补给 类型 均 为 降水 补给,图 中 河流 补给 类型 均 为 降水 补给,NN LC NN VV NN AD VC VV VV,( (IP (NP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NN 补给))) (NP (NN 类型))) (VP (ADVP (AD 均)) (VP (VC 为) (NP (NN 降水) (NN 补给))))) )
5-B,图中河流	a河流落差大于b河流,None,,,,,图 中 河流 a 河流 落差 大于 b 河流,图 中 河流 a 河流 落差 大于 b 河流,NN LC NN NN NN NN VV NN NN,,比较_0（河流 a，河流 b，河流落差，大）,比较_0（河流 a，河流 b，河流落差，大）,0_6,0_6,比较,比较,,,图 中河 流 a 河流 落差 大于 b 河流,图 中 河流 a 河流 落差 大于 b 河流,NN LC NR VV NN VV VV VV NN,( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流) (NN a) (NN 河流))) (NP (NN 落差))) (VP (VV 大于) (NP (NN b) (NN 河流)))) )
5-C,图中河流	a为内流河，b为外流河,y,,,5 9,,图 中 河流 a 为 内流河 ， b 为 外流河,图 中 河流 a 为 内流河 ， b 为 外流河,NN LC NN NN VC term PU NN VV term,,实体信息陈述_0（河流 a，内流河）实体信息陈述_1（河流b，外流河）,实体信息陈述_0（河流 a，内流河）实体信息陈述_1（河流b，外流河）,,,实体信息陈述,实体信息陈述,,,图 中河 流 a 为 内 流河 ， b 为 外流 河,图 中 河流 a 为 内 流河 ， b 为 外流 河,NN LC NN NN VC term PU VV VV term,( (IP (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NN a))) (VP (VC 为) (NP (NN 内流河)))) (PU ，) (IP (NP (NN b)) (VP (VV 为) (NP (NN 外流河))))) )
5-C-0,图中河流	a为内流河,ed-ori,,,5,,图 中 河流 a 为 内流河,图 中 河流 a 为 内流河,NN LC NN NN VC term,,实体信息陈述_0（河流 a，内流河）,实体信息陈述_0（河流 a，内流河）,,,实体信息陈述,实体信息陈述,,,图 中河 流 a 为 内流 河,图 中 河流 a 为 内流 河,NN LC NN NN VC term,( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NN a))) (VP (VC 为) (NP (NN 内流河)))) )
5-C-1,图中河流	b为外流河,ed-ori,,,5,,图 中 河流 b 为 外流河,图 中 河流 b 为 外流河,NN LC NN NN VC term,,实体信息陈述_0（河流 b，外流河）,实体信息陈述_0（河流 b，外流河）,,,实体信息陈述,实体信息陈述,,,图 中河 流 b 为 外流 河,图 中 河流 b 为 外流 河,NN LC NN NN VC term,( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NN b))) (VP (VC 为) (NP (NN 外流河)))) )
5-D,图中河流	b河流总体流向为自西南向东北,None,,,,,图 中 河流 b 河流 总体 流向 为 自 西南 向 东北,图 中 河流 b 河流 总体 流向 为 自 西南 向 东北,NN LC NN NN NN NN NN VC P NN P NN,,实体信息陈述_0（河流 b，河流总体流向，自西南向东北）,实体信息陈述_0（河流 b，河流总体流向，自西南向东北）,,,实体信息陈述,实体信息陈述,,,图 中河 流 b 河流 总体 流向 为 自 西南 向 东北,图 中 河流 b 河流 总体 流向 为 自 西南 向东 北,NN LC NN NN NN NN NN VC P NN P NN,( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流) (NN b) (NN 河流))) (NP (NN 总体) (NN 流向))) (VP (VC 为) (IP (VP (PP (PP (P 自) (NP (NN 西南))) (PP (P 向) (NP (NN 东北)))))))) )
6-A,该区域农业可持续发展的主要措施是	扩大农业灌溉面积,None,,,,,该 区域 农业 可 持续 发展 的 主要 措施 是 扩大 农业 灌溉 面积,该 区域 农业 可 持续 发展 的 主要 措施 是 扩大 农业 灌溉 面积,DT NN NN VV VV VV DEC JJ NN VC VV NN NN NN,,措施_0（该区域农业可持续发展，扩大农业灌溉面积）,措施_0（该区域农业可持续发展，扩大农业灌溉面积）,0_8,0_8,措施,措施,,,该 区域 农业 可持续 发展 的 主要 措施 是 扩大 农业 灌溉 面积,该 区域 农业 可持续 发展 的 主要 措施 是 扩大 农业 灌溉 面积,DT NN NN VV VV VV DEC JJ NN VC VV NN NN NN,( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (IP (VP (VV 扩大) (NP (NN 农业) (NN 灌溉) (NN 面积)))))) )
6-B,该区域农业可持续发展的主要措施是	大力开发地下水资源,None,,,,,该 区域 农业 可 持续 发展 的 主要 措施 是 大力 开发 地下水 资源,该 区域 农业 可 持续 发展 的 主要 措施 是 大力 开发 地下水 资源,DT NN NN VV VV VV DEC JJ NN VC AD VV NN NN,,措施_0（该区域农业可持续发展，大力开发地下水资源）,措施_0（该区域农业可持续发展，大力开发地下水资源）,0_8,0_8,措施,措施,,,该 区域 农业 可持续 发展 的 主要 措施 是 大力 开发 地下水 资源,该 区域 农业 可持续 发展 的 主要 措施 是 大力 开发 地下水 资源,DT NN NN VV VV VV DEC JJ NN VC AD VV NN NN,( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (ADVP (AD 大力)) (VP (VV 开发) (NP (NN 地下水) (NN 资源)))))) )
6-C,该区域农业可持续发展的主要措施是	调整农业结构，合理分配水资源,y,,,,,该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构 ， 合理 分配 水资源,该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构 ， 合理 分配 水资源,DT NN NN VV VV VV DEC JJ NN VC VV NN NN PU AD VV NN,,措施_0（该区域农业可持续发展，调整农业结构）措施_1（该区域农业可持续发展，合理分配水资源）,措施_0（该区域农业可持续发展，调整农业结构）措施_1（该区域农业可持续发展，合理分配水资源）,0_8,0_8,措施,措施,,,该 区域 农业 可持续 发展 的 主要 措施 是 调整 农业 结构 ， 合理 分配 水 资源,该 区域 农业 可持续 发展 的 主要 措施 是 调整 农业 结构 ， 合理 分配 水 资源,DT NN NN VV VV VV DEC JJ NN VC VV NN NN PU AD VV NN,( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (VP (VV 调整) (NP (NN 农业) (NN 结构))) (PU ，) (VP (ADVP (AD 合理)) (VP (VV 分配) (NP (NN 水资源))))))) )
6-C-0,该区域农业可持续发展的主要措施是	调整农业结构,ed-ori,,,,,该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构,该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构,DT NN NN VV VV VV DEC JJ NN VC VV NN NN,,措施_0（该区域农业可持续发展，调整农业结构）,措施_0（该区域农业可持续发展，调整农业结构）,0_8,0_8,措施,措施,,,该 区域 农业 可持续 发展 的 主要 措施 是 调整 农业 结构,该 区域 农业 可持续 发展 的 主要 措施 是 调整 农业 结构,DT NN NN VV VV VV DEC JJ NN VC VV NN NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (NP (CP (IP (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (IP (VP (VV 调整) (NP (NN 农业) (NN 结构)))))) )
6-C-1,该区域农业可持续发展的主要措施是	合理分配水资源,ed-ori,,,,,该 区域 农业 可 持续 发展 的 主要 措施 是 合理 分配 水资源,该 区域 农业 可 持续 发展 的 主要 措施 是 合理 分配 水资源,DT NN NN VV VV VV DEC JJ NN VC AD VV NN,,措施_0（该区域农业可持续发展，合理分配水资源）,措施_0（该区域农业可持续发展，合理分配水资源）,0_8,0_8,措施,措施,,,该 区域 农业 可持续 发展 的 主要 措施 是 合理 分配 水 资源,该 区域 农业 可持续 发展 的 主要 措施 是 合理 分配 水 资源,DT NN NN VV VV VV DEC JJ NN VC AD VV NN,( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (ADVP (AD 合理)) (VP (VV 分配) (NP (NN 水资源)))))) )
6-D,该区域农业可持续发展的主要措施是	植树造林，治理水土流失,y,,,14,,该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林 ， 治理 水土流失,该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林 ， 治理 水土 流失,DT NN NN VV VV VV DEC JJ NN VC NN NN PU VV NN,,措施_0（该区域农业可持续发展，植树造林）措施_1（该区域农业可持续发展，治理水土流失）,措施_0（该区域农业可持续发展，植树造林）措施_1（该区域农业可持续发展，治理水土流失）,0_8,0_8,措施,措施,,,该 区域 农业 可持续 发展 的 主要 措施 是 植树 造林 ， 治理 水土流失,该 区域 农业 可持续 发展 的 主要 措施 是 植树 造林 ， 治理 水土流失,DT NN NN VV VV VV DEC JJ NN VC NN NN PU VV NN,( (IP (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (NP (NN 植树) (NN 造林)))) (PU ，) (IP (VP (VV 治理) (NP (NN 水土流失))))) )
6-D-0,该区域农业可持续发展的主要措施是	植树造林,ed-ori,,,,,该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林,该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林,DT NN NN VV VV VV DEC JJ NN VC NN NN,,措施_0（该区域农业可持续发展，植树造林）,措施_0（该区域农业可持续发展，植树造林）,0_8,0_8,措施,措施,,,该 区域 农业 可持续 发展 的 主要 措施 是 植树 造林,该 区域 农业 可持续 发展 的 主要 措施 是 植树 造林,DT NN NN VV VV VV DEC JJ NN VC NN NN,( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (NP (NN 植树) (NN 造林)))) )
6-D-1,该区域农业可持续发展的主要措施是	治理水土流失,ed-ori,,,11,,该 区域 农业 可 持续 发展 的 主要 措施 是 治理 水土流失,该 区域 农业 可 持续 发展 的 主要 措施 是 治理 水土 流失,DT NN NN VV VV VV DEC JJ NN VC VV NN,,措施_0（该区域农业可持续发展，治理水土流失）,措施_0（该区域农业可持续发展，治理水土流失）,0_8,0_8,措施,措施,,,该 区域 农业 可持续 发展 的 主要 措施 是 治理 水土流失,该 区域 农业 可持续 发展 的 主要 措施 是 治理 水土流失,DT NN NN VV VV VV DEC JJ NN VC NN NN,( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (VV 治理) (NP (NN 水土流失))))) )
7-①,若在该区域发展旅游业，可供观赏的有	山地冰川景观,None,,,12 13,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 山地 冰川 景观,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 山地 冰川 景观,CS P DT NN VV NN PU VV VV VV DEC VE term term NN,,实体信息陈述_0（旅游业，可供观赏的景观，山地）实体信息陈述_1（旅游业，可供观赏的景观，冰川）,实体信息陈述_0（旅游业，可供观赏的景观，山地）实体信息陈述_1（旅游业，可供观赏的景观，冰川）,,,实体信息陈述,实体信息陈述,,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 山地 冰川 景观,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 山地 冰川 景观,CS P DT NN VV NN PU VV VV VV DEC VE term term NN,( (IP (IP (VP (ADVP (CS 若)) (VP (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))))) (PU ，) (NP (CP (IP (VP (VV 可) (VP (VV 供) (VP (VV 观赏))))) (DEC 的))) (VP (VE 有) (NP (NN 山地) (NN 冰川) (NN 景观)))) )
7-②,若在该区域发展旅游业，可供观赏的有	沙漠景观,None,,,12,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 沙漠 景观,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 沙漠 景观,CS P DT NN VV NN PU VV VV VV DEC VE term NN,,实体信息陈述_0（旅游业，可供观赏的景观，沙漠景观）,实体信息陈述_0（旅游业，可供观赏的景观，沙漠景观）,,,实体信息陈述,实体信息陈述,,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 沙漠 景观,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 沙漠 景观,CS P DT NN VV NN PU VV VV VV DEC VE term NN,( (NP (CP (IP (VP (VP (ADVP (CS 若)) (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))) (PU ，) (VP (VV 可) (VP (VV 供) (VP (VV 观赏)))))) (DEC 的)) (CP (IP (VP (VE 有) (NP (NN 沙漠))))) (NP (NN 景观))) )
7-③,若在该区域发展旅游业，可供观赏的有	喀斯特地貌景观,None,,,12,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 喀斯特地貌 景观,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 喀斯特 地貌 景观,CS P DT NN VV NN PU VV VV VV DEC VE term NN,,实体信息陈述_0（旅游业，可供观赏的景观，喀斯特地貌景观）,实体信息陈述_0（旅游业，可供观赏的景观，喀斯特地貌景观）,,,实体信息陈述,实体信息陈述,,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 喀斯特地貌 景观,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 喀斯特地貌 景观,CS P DT NN VV NN PU VV VV VV DEC VE term NN,( (IP (IP (VP (ADVP (CS 若)) (VP (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))))) (PU ，) (NP (CP (IP (VP (VV 可) (VP (VV 供) (VP (VV 观赏))))) (DEC 的))) (VP (VE 有) (NP (NN 喀斯特地貌) (NN 景观)))) )
7-④,若在该区域发展旅游业，可供观赏的有	草原牧场,None,,,12,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 草原 牧场,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 草原 牧场,CS P DT NN VV NN PU VV VV VV DEC VE term NN,,实体信息陈述_0（旅游业，可供观赏的景观，草原牧场）,实体信息陈述_0（旅游业，可供观赏的景观，草原牧场）,,,实体信息陈述,实体信息陈述,,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 草原 牧场,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 草原 牧场,CS P DT NN VV NN PU VV VV VV DEC VE term NN,( (NP (CP (IP (VP (VP (ADVP (CS 若)) (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))) (PU ，) (VP (VV 可) (VP (VV 供) (VP (VV 观赏)))))) (DEC 的)) (CP (IP (VP (VE 有) (NP (NN 草原))))) (NP (NN 牧场))) )
7-⑤,若在该区域发展旅游业，可供观赏的有	壮族风情,None,,,,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 壮族 风情,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 壮族 风情,CS P DT NN VV NN PU VV VV VV DEC VE NN NN,,实体信息陈述_0（旅游业，可供观赏的景观，壮族风情）,实体信息陈述_0（旅游业，可供观赏的景观，壮族风情）,,,实体信息陈述,实体信息陈述,,,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 壮族 风情,若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 壮族 风情,CS P DT NN VV NN PU VV VV VV DEC VE NN NN,( (IP (IP (VP (ADVP (CS 若)) (VP (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))))) (PU ，) (NP (CP (IP (VP (VV 可) (VP (VV 供) (VP (VV 观赏))))) (DEC 的))) (VP (VE 有) (NP (NN 壮族) (NN 风情)))) )
8-A,关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	冷锋过境，锋前暖气团湿度较大,n,,2,15,,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 冷锋 过境 ， 锋前 暖气团 湿度 较 大,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 冷锋 过境 ， 锋前 暖气团 湿度 较 大,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC term VV PU JJ NN NN AD VA,,一般陈述_0（冷锋过境）实体信息陈述_2（锋前暖气团，湿度，较大）,一般陈述_0（冷锋过境）实体信息陈述_2（锋前暖气团，湿度，较大）,,,一般陈述 实体信息陈述,一般陈述 实体信息陈述,,2,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 冷锋 过境 ， 锋前 暖气团 湿度 较 大,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 冷锋 过境 ， 锋前 暖气团 湿度 较 大,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC term VV PU VV NN NN AD VA,( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (IP (NP (NN 冷锋)) (VP (VV 过境))) (PU ，) (IP (NP (ADJP (JJ 锋前)) (NP (NN 暖气团))) (NP (NN 湿度)) (VP (ADVP (AD 较)) (VP (VA 大))))))) )
8-B,关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受准静止锋影响，形成持续降水,n,,2,16,,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 准静止锋 影响 ， 形成 持续 降水,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 准 静止锋 影响 ， 形成 持续 降水,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV term NN PU VV JJ NN,,影响_0（准静止锋，北京，形成持续降水）,影响_0（准静止锋，北京，形成持续降水）,0_17,0_17,影响,影响,,2,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 准静止锋 影响 ， 形成 持续 降水,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 准静止锋 影响 ， 形成 持续 降水,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV term NN PU VV VV VV,( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (VP (VP (VV 受) (NP (NN 准静止锋) (NN 影响))) (PU ，) (VP (VV 形成) (NP (ADJP (JJ 持续)) (NP (NN 降水))))))) )
