编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
3-C,当火炬传递到	④地时，当地正值多雨季节,n,,4,,,当 火炬 传递 到 ④地 时 ， 当地 正值 多雨 季节,当 火炬 传递 到 ④地 时 ， 当地 正值 多雨 季节,P NN VV VV loc LC PU NN VV JJ NN,,时间限定_0（当火炬传递到 ④地）匹配_1（当地，多雨季节）,时间限定_0（当火炬传递到 ④地）匹配_1（当地，多雨季节）,0_0-5 1_8,0_0-5 1_8,时间限定 匹配,时间限定 匹配,,,当 火炬 传递 到 ④地 时 ， 当地 正值 多 雨季 节,当 火炬 传递 到 ④地 时 ， 当地 正值 多 雨季 节,P NN VV VV loc LC PU NN AD VV NN,( (IP (PP (P 当) (LCP (IP (NP (NN 火炬)) (VP (VV 传递) (VP (VV 到) (NP (NR ④地))))) (LC 时))) (PU ，) (IP (NP (NN 当地)) (VP (VV 正值) (NP (ADJP (JJ 多雨)) (NP (NN 季节)))))) )
3-D,当火炬传递到	⑤地时，当地正值春暖花开季节,n,,4,,,当 火炬 传递 到 ⑤地 时 ， 当地 正值 春暖 花开 季节,当 火炬 传递 到 ⑤地 时 ， 当地 正值 春暖 花开 季节,P NN VV VV loc LC PU NN VV JJ JJ NN,,时间限定_0（当火炬传递到 ⑤地）匹配_1（当地，春暖花开季节）,时间限定_0（当火炬传递到 ⑤地）匹配_1（当地，春暖花开季节）,0_0-5 1_8,0_0-5 1_8,时间限定 匹配,时间限定 匹配,,,当 火炬 传递 到 ⑤地 时 ， 当地 正值 春暖 花开 季节,当 火炬 传递 到 ⑤地 时 ， 当地 正值 春暖 花开 季节,P NN VV VV loc LC PU NN AD VV VV NN,( (IP (PP (P 当) (LCP (IP (NP (NN 火炬)) (VP (VV 传递) (VP (VV 到) (NP (NR ⑤地))))) (LC 时))) (PU ，) (IP (NP (NN 当地)) (VP (VV 正值) (NP (ADJP (JJ 春暖)) (ADJP (JJ 花开)) (NP (NN 季节)))))) )
4-A,北京时间2008年8月8日20时奥运会开幕，此时②地所在时区的区时为	7日4时,None,1 5 12,6,0 8 10,,北京时间 2008年8月8日20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 7日4时,北京 时间 2008年 8月 8日 20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 7日 4时,term time NR VV PU time loc VV term DEG term VC time,,时间限定_0（北京时间2008年8月8日20时）实体信息陈述_1（②地，所在时区区时，7日4时）,时间限定_0（北京时间2008年8月8日20时）实体信息陈述_1（②地，所在时区区时，7日4时）,0_0 1_8-10,0_0 1_8-10,时间限定 实体信息陈述,时间限定 实体信息陈述,,,北京时间 2008年8月8日20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 7日4时,北京时间 2008年 8月 8日 20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 7日 4时,term time NR VV PU time NN VV term DEG term VC time,( (IP (NP (NN 北京时间)) (IP (IP (NP (NT 2008年8月8日20时)) (NP (NR 奥运会)) (VP (VV 开幕))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (CP (IP (NP (NR ②地)) (VP (VV 所在)))) (NP (NN 时区))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 7日4时)))))) )
4-B,北京时间2008年8月8日20时奥运会开幕，此时②地所在时区的区时为	7日12时,None,1 5 12,,0 8 10,,北京时间 2008年8月8日20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 7日12时,北京 时间 2008年 8月 8日 20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 7日 12时,term time NR VV PU time NN VV term DEG term VC time,,时间限定_0（北京时间2008年8月8日20时）实体信息陈述_1（②地，所在时区区时，7日12时）,时间限定_0（北京时间2008年8月8日20时）实体信息陈述_1（②地，所在时区区时，7日12时）,0_0 1_8-10,0_0 1_8-10,时间限定 实体信息陈述,时间限定 实体信息陈述,,,北京时间 2008年8月8日20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 7日12时,北京时间 2008年 8月 8日 20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 7日 12时,term time NR VV PU time NN VV term DEG term VC time,( (IP (IP (NP (NN 北京时间)) (VP (NP (NP (NT 2008年8月8日20时)) (NP (NR 奥运会))) (VP (VV 开幕)))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (CP (IP (NP (NN ②地)) (VP (VV 所在)))) (NP (NN 时区))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 7日12时))))) )
4-C,北京时间2008年8月8日20时奥运会开幕，此时②地所在时区的区时为	8日4时,None,1 5 12,,0 8 10,,北京时间 2008年8月8日20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 8日4时,北京 时间 2008年 8月 8日 20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 8日 4时,term time NR VV PU time NN VV term DEG term VC time,,时间限定_0（北京时间2008年8月8日20时）实体信息陈述_1（②地，所在时区区时，8日4时）,时间限定_0（北京时间2008年8月8日20时）实体信息陈述_1（②地，所在时区区时，8日4时）,0_0-1 1_9-11,0_0-1 1_9-11,时间限定 实体信息陈述,时间限定 实体信息陈述,,,北京时间 2008年8月8日20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 8日4时,北京时间 2008年 8月 8日 20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 8日 4时,term time NR VV PU time NN VV term DEG term VC time,( (IP (IP (NP (NN 北京时间)) (VP (NP (NP (NT 2008年8月8日20时)) (NP (NR 奥运会))) (VP (VV 开幕)))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (CP (IP (NP (NN ②地)) (VP (VV 所在)))) (NP (NN 时区))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 8日4时))))) )
4-D,北京时间2008年8月8日20时奥运会开幕，此时②地所在时区的区时为	9日12时,None,1 5 12,,0 8 10,,北京时间 2008年8月8日20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 9日12时,北京 时间 2008年 8月 8日 20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 9日 12时,term time NR VV PU time NN VV term DEG term VC time,,时间限定_0（北京时间2008年8月8日20时）实体信息陈述_1（②地，所在时区区时，9日12时）,时间限定_0（北京时间2008年8月8日20时）实体信息陈述_1（②地，所在时区区时，9日12时）,0_0-1 1_9-11,0_0-1 1_9-11,时间限定 实体信息陈述,时间限定 实体信息陈述,,,北京时间 2008年8月8日20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 9日12时,北京时间 2008年 8月 8日 20时 奥运会 开幕 ， 此时 ②地 所在 时区 的 区时 为 9日 12时,term time NR VV PU time NN VV term DEG term VC time,( (IP (IP (NP (NN 北京时间)) (VP (NP (NP (NT 2008年8月8日20时)) (NP (NR 奥运会))) (VP (VV 开幕)))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (CP (IP (NP (NN ②地)) (VP (VV 所在)))) (NP (NN 时区))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 9日12时))))) )
5-A,良好的储油构造一般是	盆地,None,,,6,,良好 的 储油 构造 一般 是 盆地,良好 的 储油 构造 一般 是 盆地,VA DEC NN NN AD VC term,,匹配_0（良好的储油构造，盆地）,匹配_0（良好的储油构造，盆地）,0_4-5,0_4-5,匹配,匹配,,,良好 的 储油 构造 一般 是 盆地,良好 的 储油 构造 一般 是 盆地,VA DEC NN NN AD VC term,( (IP (NP (CP (IP (VP (VA 良好))) (DEC 的)) (NP (NN 储油) (NN 构造))) (VP (ADVP (AD 一般)) (VP (VC 是) (NP (NN 盆地))))) )
5-B,良好的储油构造一般是	断层,None,,,6,,良好 的 储油 构造 一般 是 断层,良好 的 储油 构造 一般 是 断层,VA DEC NN NN AD VC term,,匹配_0（良好的储油构造，断层）,匹配_0（良好的储油构造，断层）,0_4-5,0_4-5,匹配,匹配,,,良好 的 储油 构造 一般 是 断层,良好 的 储油 构造 一般 是 断层,VA DEC NN NN AD VC term,( (IP (NP (CP (IP (VP (VA 良好))) (DEC 的)) (NP (NN 储油) (NN 构造))) (VP (ADVP (AD 一般)) (VP (VC 是) (NP (NN 断层))))) )
5-C,良好的储油构造一般是	向斜,None,,,6,,良好 的 储油 构造 一般 是 向斜,良好 的 储油 构造 一般 是 向斜,VA DEC NN NN AD VC term,,匹配_0（良好的储油构造，向斜）,匹配_0（良好的储油构造，向斜）,0_4-5,0_4-5,匹配,匹配,,,良好 的 储油 构造 一般 是 向斜,良好 的 储油 构造 一般 是 向斜,VA DEC NN NN AD VC term,( (IP (NP (CP (IP (VP (VA 良好))) (DEC 的)) (NP (NN 储油) (NN 构造))) (VP (ADVP (AD 一般)) (VP (VC 是) (NP (NN 向斜))))) )
5-D,良好的储油构造一般是	背斜,None,,,6,,良好 的 储油 构造 一般 是 背斜,良好 的 储油 构造 一般 是 背斜,VA DEC NN NN AD VC term,,匹配_0（良好的储油构造，北斜）,匹配_0（良好的储油构造，北斜）,0_4-5,0_4-5,匹配,匹配,,,良好 的 储油 构造 一般 是 背斜,良好 的 储油 构造 一般 是 背斜,VA DEC NN NN AD VC term,( (IP (NP (CP (IP (VP (VA 良好))) (DEC 的)) (NP (NN 储油) (NN 构造))) (VP (ADVP (AD 一般)) (VP (VC 是) (NP (NN 背斜))))) )
6-A,图中箭头	①表示秸秆、沼渣和沼液供给养殖业,None,,,,,图 中 箭头 ① 表示 秸秆 、 沼渣 和 沼液 供给 养殖业,图 中 箭头 ① 表示 秸秆 、 沼渣 和 沼液 供给 养殖业,NN LC NN NN VV NN PU NN CC NN NN NN,,匹配_0（箭头 ①，秸秆、沼渣和沼液供给养殖业）,匹配_0（箭头 ①，秸秆、沼渣和沼液供给养殖业）,0_4,0_4,匹配,匹配,,,图 中 箭头 ① 表示 秸秆 、 沼渣 和 沼液 供给 养殖业,图 中 箭头 ① 表示 秸秆 、 沼渣 和 沼液 供给 养殖业,NN LC NN AD VV NN PU NN CC NN NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 箭头) (NN ①))) (VP (VV 表示) (NP (NP (NN 秸秆) (PU 、) (NN 沼渣) (CC 和) (NN 沼液)) (NP (NN 供给) (NN 养殖业))))) )
6-B,图中箭头	②表示粮食、蔬菜和棉花等供给农户,None,,,,,图 中 箭头 ② 表示 粮食 、 蔬菜 和 棉花 等 供给 农户,图 中 箭头 ② 表示 粮食 、 蔬菜 和 棉花 等 供给 农户,NN LC NN NN VV NN PU NN CC NN ETC NN NN,,匹配_0（箭头 ②，粮食、蔬菜和棉花等供给农户）,匹配_0（箭头 ②，粮食、蔬菜和棉花等供给农户）,0_4,0_4,匹配,匹配,,,图 中 箭头 ② 表示 粮食 、 蔬菜 和 棉花 等 供给 农户,图 中 箭头 ② 表示 粮食 、 蔬菜 和 棉花 等 供给 农户,NN LC NN AD VV NN PU NN CC NN ETC NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 箭头) (NN ②))) (VP (VV 表示) (NP (NP (NN 粮食) (PU 、) (NN 蔬菜) (CC 和) (NN 棉花) (ETC 等)) (NP (NN 供给) (NN 农户))))) )
6-C,图中箭头	③表示果品、肉和蛋等供给食品加工,None,,,,,图 中 箭头 ③ 表示 果品 、 肉 和 蛋 等 供给 食品 加工,图 中 箭头 ③ 表示 果品 、 肉 和 蛋 等 供给 食品 加工,NN LC NN NN VV NN PU NN CC NN ETC NN NN NN,,匹配_0（箭头 ③，果品、肉和蛋等供给食品加工）,匹配_0（箭头 ③，果品、肉和蛋等供给食品加工）,0_4,0_4,匹配,匹配,,,图 中 箭头 ③ 表示 果品 、 肉和蛋 等 供给 食品 加工,图 中 箭头 ③ 表示 果品 、 肉和蛋 等 供给 食品 加工,NN LC NN AD VV NN PU NN ETC NN NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 箭头) (NN ③))) (VP (VV 表示) (NP (NP (NN 果品) (PU 、) (NN 肉) (CC 和) (NN 蛋) (ETC 等)) (NP (NN 供给) (NN 食品) (NN 加工))))) )
6-D,图中箭头	④表示饲料、花卉和油料等供给市场,None,,,,,图 中 箭头 ④ 表示 饲料 、 花卉 和 油料 等 供给 市场,图 中 箭头 ④ 表示 饲料 、 花卉 和 油料 等 供给 市场,NN LC NN NN VV NN PU NN CC NN ETC NN NN,,匹配_0（箭头 ④，饲料、花卉和油料等供给市场）,匹配_0（箭头 ④，饲料、花卉和油料等供给市场）,0_4,0_4,匹配,匹配,,,图 中 箭头 ④ 表示 饲料 、 花卉 和 油料 等 供给 市场,图 中 箭头 ④ 表示 饲料 、 花卉 和 油料 等 供给 市场,NN LC NN AD VV NN PU NN CC NN ETC NN NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 箭头) (NN ④))) (VP (VV 表示) (NP (NP (NN 饲料) (PU 、) (NN 花卉) (CC 和) (NN 油料) (ETC 等)) (NP (NN 供给) (NN 市场))))) )
7-A,该图所示的农业属于	原始农业,None,,,6,,该 图 所示 的 农业 属于 原始农业,该 图 所示 的 农业 属于 原始 农业,DT NN VV DEC NN VV term,,匹配_0（该图所示的浓业，原始农业）,匹配_0（该图所示的浓业，原始农业）,0_5,0_5,匹配,匹配,,,该 图 所示 的 浓业 属于 原始 农业,该 图 所示 的 浓业 属于 原始 农业,DT NN VV DEC NN VV term,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VV 所示))) (DEC 的)) (NP (NN 农业))) (VP (VV 属于) (NP (NN 原始农业)))) )
7-B,该图所示的农业属于	自给农业,None,,,6,,该 图 所示 的 农业 属于 自给农业,该 图 所示 的 农业 属于 自给 农业,DT NN VV DEC NN VV term,,匹配_0（该图所示的浓业，自给农业）,匹配_0（该图所示的浓业，自给农业）,0_5,0_5,匹配,匹配,,,该 图 所示 的 浓业 属于 自给 农业,该 图 所示 的 浓业 属于 自给 农业,DT NN VV DEC NN VV term,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VV 所示))) (DEC 的)) (NP (NN 农业))) (VP (VV 属于) (NP (NN 自给农业)))) )
7-C,该图所示的农业属于	粗放农业,None,,,6,,该 图 所示 的 农业 属于 粗放农业,该 图 所示 的 农业 属于 粗放 农业,DT NN VV DEC NN VV term,,匹配_0（该图所示的农业，粗放农业）,匹配_0（该图所示的农业，粗放农业）,0_5,0_5,匹配,匹配,,,该 图 所示 的 浓业 属于 粗放 农业,该 图 所示 的 浓业 属于 粗放 农业,DT NN VV DEC NN VV term,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VV 所示))) (DEC 的)) (NP (NN 农业))) (VP (VV 属于) (NP (NN 粗放农业)))) )
7-D,该图所示的农业属于	混合农业,None,,,6,,该 图 所示 的 农业 属于 混合农业,该 图 所示 的 农业 属于 混合 农业,DT NN VV DEC NN VV term,,匹配_0（该图所示的农业，混合农业）,匹配_0（该图所示的农业，混合农业）,0_5,0_5,匹配,匹配,,,该 图 所示 的 浓业 属于 混合农业,该 图 所示 的 浓业 属于 混合农业,DT NN VV DEC NN VV term,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VV 所示))) (DEC 的)) (NP (NN 农业))) (VP (VV 属于) (NP (NN 混合农业)))) )
8-A,图中表示住宅区的商业区的曲线分别是	①和②,None,,,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ②,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ②,NN LC VV NN DEG NN DEG NN AD VC NN CC NN,,匹配_0（图中表示住宅区的曲线，①）匹配_1（图中表示商业区的曲线，②）,匹配_0（图中表示住宅区的曲线，①）匹配_1（图中表示商业区的曲线，②）,0_8-9 1_8-9,0_8-9 1_8-9,匹配,匹配,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ②,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ②,NN LC VV NN DEG NN DEG NN AD VC NN CC NN,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 表示) (IP (NP (DNP (NP (DNP (NP (NN 住宅区)) (DEG 的)) (NP (NN 商业区))) (DEG 的)) (NP (NN 曲线))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ①) (CC 和) (NN ②))))))) )
8-B,图中表示住宅区的商业区的曲线分别是	①和④,None,,,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ④,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ④,NN LC VV NN DEG NN DEG NN AD VC NN CC NN,,匹配_0（图中表示住宅区的曲线，①）匹配_1（图中表示商业区的曲线，④）,匹配_0（图中表示住宅区的曲线，①）匹配_1（图中表示商业区的曲线，④）,0_8-9 1_8-9,0_8-9 1_8-9,匹配,匹配,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ④,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ④,NN LC VV NN DEG NN DEG NN AD VC NN CC NN,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 表示) (IP (NP (DNP (NP (DNP (NP (NN 住宅区)) (DEG 的)) (NP (NN 商业区))) (DEG 的)) (NP (NN 曲线))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ①) (CC 和) (NN ④))))))) )
8-C,图中表示住宅区的商业区的曲线分别是	②和③,None,,,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ② 和 ③,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ② 和 ③,NN LC VV NN DEG NN DEG NN AD VC NN CC NN,,匹配_0（图中表示住宅区的曲线，②）匹配_1（图中表示商业区的曲线，③）,匹配_0（图中表示住宅区的曲线，②）匹配_1（图中表示商业区的曲线，③）,0_8-9 1_8-9,0_8-9 1_8-9,匹配,匹配,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ② 和 ③,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ② 和 ③,NN LC VV NN DEG NN DEG NN AD VC NN CC NN,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 表示) (IP (NP (DNP (NP (DNP (NP (NN 住宅区)) (DEG 的)) (NP (NN 商业区))) (DEG 的)) (NP (NN 曲线))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ②) (CC 和) (NN ③))))))) )
