编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,图中热液区	不会发生地震,None,,,2 6,,图 中 热液区 不 会 发生 地震,图 中 热液 区 不 会 发生 地震,NN LC term AD VV VV term,,,,,,,,,,图 中 热液 区 不 会 发生 地震,图 中 热液 区 不 会 发生 地震,NN LC term AD VV VV term,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 热液区))) (VP (ADVP (AD 不)) (VP (VV 会) (VP (VV 发生) (NP (NN 地震)))))) )
3-C-0,绿水	吸收地面辐射,ed-ori,,,2,,绿水 吸收 地面辐射,绿水 吸收 地面 辐射,NN VV term,,,,,,,,,,绿水 吸收 地面辐射,绿水 吸收 地面辐射,NN VV term,( (IP (NP (NN 绿水)) (VP (VV 吸收) (NP (NN 地面辐射)))) )
3-C-1,绿水	具有保温作用,ed-ori,,,,,绿水 具有 保温 作用,绿水 具有 保温 作用,NN VV NN NN,,,,,,,,,,绿水 具有 保温 作用,绿水 具有 保温 作用,NN VV NN NN,( (IP (NP (NN 绿水)) (VP (VV 具有) (NP (NN 保温) (NN 作用)))) )
3-D,绿水	对湿润地区农业发展至关重要,None,,,,,绿水 对 湿润 地区 农业 发展 至关 重要,绿水 对 湿润 地区 农业 发展 至关 重要,NN P JJ NN NN NN AD VA,,,,,,,,,,绿水 对 湿润 地区 农业 发展 至关 重要,绿水 对 湿润 地区 农业 发展 至关 重要,NN P NR NN NN NN AD VA,( (IP (NP (NN 绿水)) (VP (PP (P 对) (NP (NP (ADJP (JJ 湿润)) (NP (NN 地区))) (NP (NN 农业) (NN 发展)))) (ADVP (AD 至关)) (VP (VA 重要)))) )
4-A,此时，昆明	降水量较大,None,,2,,,此时 ， 昆明 降水量 较 大,此时 ， 昆明 降水量 较 大,NT PU loc NN AD VA,,,,,,,,,,此时 ， 昆明 降水量 较 大,此时 ， 昆明 降水量 较 大,NT PU loc NN AD VA,( (IP (NP (NT 此时)) (PU ，) (NP (NR 昆明)) (NP (NN 降水量)) (VP (ADVP (AD 较)) (VP (VA 大)))) )
4-B,此时，昆明	气压较贵阳高,None,,2 5,,,此时 ， 昆明 气压 较 贵阳 高,此时 ， 昆明 气压 较 贵阳 高,NT PU loc NN P loc VA,,,,,,,,,2,此时 ， 昆明 气压 较 贵阳 高,此时 ， 昆明 气压 较 贵阳 高,NT PU loc NN AD loc VA,( (IP (NP (NT 此时)) (PU ，) (NP (NR 昆明) (NN 气压)) (VP (PP (P 较) (NP (NR 贵阳))) (VP (VA 高)))) )
4-C,此时，昆明	以晴天为主,None,,2,,,此时 ， 昆明 以 晴天 为 主,此时 ， 昆明 以 晴天 为 主,NT PU loc P NN VV NN,,,,,,,,,2,此时 ， 昆明 以 晴天 为 主,此时 ， 昆明 以 晴天 为 主,NT PU loc P NN VV NN,( (IP (NP (NT 此时)) (PU ，) (NP (NR 昆明)) (VP (PP (P 以) (NP (NN 晴天))) (VP (VV 为) (NP (NN 主))))) )
4-D,此时，昆明	气温日较差小,None,,2,3,,此时 ， 昆明 气温日较差 小,此时 ， 昆明 气温 日较差 小,NT PU loc term VA,,,,,,,,,2,此时 ， 昆明 气温日较差 小,此时 ， 昆明 气温日较差 小,NT PU loc term JJ,( (IP (NP (NT 此时)) (PU ，) (NP (NP (NR 昆明)) (NP (NN 气温日较差))) (VP (VA 小))) )
5-A,与云南省相比，贵州省	冬季低温危害较大,None,5,1 4,,,与 云南省 相比 ， 贵州省 冬季 低温 危害 较 大,与 云南省 相比 ， 贵州省 冬季 低温 危害 较 大,P loc VV PU loc time NN NN AD VA,,,,,,,,5,4,与 云南省 相比 ， 贵州省 冬季 低温 危害 较 大,与 云南省 相比 ， 贵州省 冬季 低温 危害 较 大,P loc VV PU loc time VV NN AD VA,( (IP (IP (VP (PP (P 与) (NP (NR 云南省))) (VP (VV 相比)))) (PU ，) (IP (NP (NR 贵州省)) (NP (NT 冬季) (NN 低温) (NN 危害)) (VP (ADVP (AD 较)) (VP (VA 大))))) )
5-B,与云南省相比，贵州省	全年太阳辐射充足,None,,1 4,6,,与 云南省 相比 ， 贵州省 全年 太阳辐射 充足,与 云南省 相比 ， 贵州省 全年 太阳 辐射 充足,P loc VV PU loc NT term VA,,,,,,,,,4,与 云南省 相比 ， 贵州省 全年 太阳辐射 充足,与 云南省 相比 ， 贵州省 全年 太阳辐射 充足,P loc VV PU loc NT term VA,( (IP (IP (VP (PP (P 与) (NP (NR 云南省))) (VP (VV 相比)))) (PU ，) (NP (NR 贵州省)) (NP (NT 全年)) (NP (NN 太阳辐射)) (VP (VA 充足))) )
5-C,与云南省相比，贵州省	洪涝灾害多在冬季,None,9,1 4,,,与 云南省 相比 ， 贵州省 洪涝 灾害 多 在 冬季,与 云南省 相比 ， 贵州省 洪涝 灾害 多 在 冬季,P loc VV PU loc NN NN AD P time,,,,,,,,9,,与 云南省 相比 ， 贵州省 洪涝 灾害 多 在 冬季,与 云南省 相比 ， 贵州省 洪涝 灾害 多 在 冬季,P loc VV PU loc NN NN AD P time,( (IP (IP (VP (PP (P 与) (NP (NR 云南省))) (VP (VV 相比)))) (PU ，) (NP (NP (NR 贵州省)) (NP (NN 洪涝) (NN 灾害))) (VP (ADVP (AD 多)) (VP (PP (P 在) (NP (NT 冬季)))))) )
5-D,与云南省相比，贵州省	生物种类更加丰富,None,,1 4,,,与 云南省 相比 ， 贵州省 生物 种类 更加 丰富,与 云南省 相比 ， 贵州省 生物 种类 更加 丰富,P loc VV PU loc NN NN AD VA,,,,,,,,,4,与 云南省 相比 ， 贵州省 生物 种类 更加 丰富,与 云南省 相比 ， 贵州省 生物 种类 更加 丰富,P loc VV PU loc NN NN AD VA,( (IP (IP (VP (PP (P 与) (NP (NR 云南省))) (VP (VV 相比)))) (PU ，) (NP (NP (NR 贵州省)) (NP (NN 生物) (NN 种类))) (VP (ADVP (AD 更加)) (VP (VA 丰富)))) )
6-A,我国主要入海河流年总输沙量变化可能是由于	水土流失现象加剧,None,,,11,,我国 主要 入海 河流 年 总 输沙量 变化 可能 是 由于 水土流失 现象 加剧,我国 主要 入海 河流 年 总 输沙量 变化 可能 是 由于 水土 流失 现象 加剧,NR AD NN NN JJ JJ NN NN VV VC P term NN VV,,,,,,,,,,我国 主要 入 海河 流年 总 输沙量 变化 可能 是 由于 水土流失 现象 加剧,我国 主要 入 海河 流年 总 输沙量 变化 可能 是 由于 水土流失 现象 加剧,NR AD VV NN JJ JJ NN NN VV VC P term NN VV,( (IP (NP (NR 我国)) (ADVP (AD 主要)) (NP (NN 入海) (NN 河流)) (NP (NP (ADJP (JJ 年)) (ADJP (JJ 总)) (NP (NN 输沙量))) (NP (NN 变化))) (VP (VV 可能) (VP (VC 是) (PP (P 由于) (IP (NP (NN 水土流失) (NN 现象)) (VP (VV 加剧))))))) )
6-B,我国主要入海河流年总输沙量变化可能是由于	河流沿岸大规模挖砂,None,,,,,我国 主要 入海 河流 年 总 输沙量 变化 可能 是 由于 河流 沿岸 大规模 挖砂,我国 主要 入海 河流 年 总 输沙量 变化 可能 是 由于 河流 沿岸 大规模 挖砂,NR AD NN NN JJ JJ NN NN VV VC P NN NN AD VV,,,,,,,,,,我国 主要 入 海河 流年 总 输沙量 变化 可能 是 由于 河流 沿岸 大规模 挖砂,我国 主要 入 海河 流年 总 输沙量 变化 可能 是 由于 河流 沿岸 大规模 挖砂,NR AD VV NN JJ JJ NN NN VV VC P NN NN JJ NN,( (IP (NP (NR 我国)) (NP (ADVP (AD 主要)) (NP (NN 入海) (NN 河流))) (NP (NP (ADJP (JJ 年)) (ADJP (JJ 总)) (NP (NN 输沙量))) (NP (NN 变化))) (VP (VV 可能) (VP (VC 是) (PP (P 由于) (IP (NP (NP (NN 河流)) (NP (NN 沿岸))) (VP (ADVP (AD 大规模)) (VP (VV 挖砂)))))))) )
6-C,我国主要入海河流年总输沙量变化可能是由于	修建水库数量增多,None,,,,,我国 主要 入海 河流 年 总 输沙量 变化 可能 是 由于 修建 水库 数量 增多,我国 主要 入海 河流 年 总 输沙量 变化 可能 是 由于 修建 水库 数量 增多,NR AD NN NN JJ JJ NN NN VV VC P VV NN NN VV,,,,,,,,,,我国 主要 入 海河 流年 总 输沙量 变化 可能 是 由于 修建 水库 数量 增多,我国 主要 入 海河 流年 总 输沙量 变化 可能 是 由于 修建 水库 数量 增多,NR AD VV NN JJ JJ NN NN VV VC P VV NN NN VV,( (IP (NP (NR 我国)) (NP (ADVP (AD 主要)) (NP (NN 入海) (NN 河流))) (NP (NP (ADJP (JJ 年)) (ADJP (JJ 总)) (NP (NN 输沙量))) (NP (NN 变化))) (VP (VV 可能) (VP (VC 是) (PP (P 由于) (IP (NP (IP (VP (VV 修建) (NP (NN 水库)))) (NP (NN 数量))) (VP (VV 增多))))))) )
6-D,我国主要入海河流年总输沙量变化可能是由于	近十年降水持续偏多,None,11,,,,我国 主要 入海 河流 年 总 输沙量 变化 可能 是 由于 近十年 降水 持续 偏多,我国 主要 入海 河流 年 总 输沙量 变化 可能 是 由于 近十年 降水 持续 偏多,NR AD NN NN JJ JJ NN NN VV VC P time NN AD VA,,,,,,,,,,我国 主要 入 海河 流年 总 输沙量 变化 可能 是 由于 近十年 降水 持续 偏多,我国 主要 入 海河 流年 总 输沙量 变化 可能 是 由于 近十年 降水 持续 偏多,NR AD VV NN JJ JJ NN NN VV VC P time VV VV VV,( (IP (NP (NR 我国)) (NP (ADVP (AD 主要)) (NP (NN 入海) (NN 河流))) (NP (NP (ADJP (JJ 年)) (ADJP (JJ 总)) (NP (NN 输沙量))) (NP (NN 变化))) (VP (VV 可能) (VP (VC 是) (PP (P 由于) (IP (NP (NT 近十年)) (NP (NN 降水)) (VP (ADVP (AD 持续)) (VP (VA 偏多)))))))) )
7-A,据图推断，近年我国	滨海盐碱化趋势减弱,None,4,,7,,据 图 推断 ， 近年 我国 滨海 盐碱化 趋势 减弱,据 图 推断 ， 近年 我国 滨海 盐碱化 趋势 减弱,P NN VV PU time NR NN term NN VV,,,,,,,,4,,据 图 推断 ， 近年 我国 滨海 盐碱化 趋势 减弱,据 图 推断 ， 近年 我国 滨海 盐碱化 趋势 减弱,P NN VV PU time NR NR term NN VV,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 推断)))) (PU ，) (NP (NT 近年)) (NP (NP (NR 我国)) (NP (NN 滨海) (NN 盐碱化) (NN 趋势))) (VP (VV 减弱))) )
7-B,据图推断，近年我国	台风破坏程度明显降低,None,4,,,,据 图 推断 ， 近年 我国 台风 破坏 程度 明显 降低,据 图 推断 ， 近年 我国 台风 破坏 程度 明显 降低,P NN VV PU time NR NN NN NN AD VV,,,,,,,,4,,据 图 推断 ， 近年 我国 台风 破坏 程度 明显 降低,据 图 推断 ， 近年 我国 台风 破坏 程度 明显 降低,P NN VV PU time NR NN VV NN AD VV,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 推断)))) (PU ，) (NP (NT 近年)) (NP (NR 我国) (NN 台风)) (NP (NN 破坏) (NN 程度)) (VP (ADVP (AD 明显)) (VP (VV 降低)))) )
7-C,据图推断，近年我国	沿岸湿地的面积缩小,None,4,,,,据 图 推断 ， 近年 我国 沿岸 湿地 的 面积 缩小,据 图 推断 ， 近年 我国 沿岸 湿地 的 面积 缩小,P NN VV PU time NR NN NN DEG NN VV,,,,,,,,4,,据 图 推断 ， 近年 我国 沿岸 湿地 的 面积 缩小,据 图 推断 ， 近年 我国 沿岸 湿地 的 面积 缩小,P NN VV PU time NR NN NN DEG NN VV,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 推断)))) (PU ，) (NP (NT 近年)) (NP (DNP (NP (NP (NR 我国)) (NP (NN 沿岸) (NN 湿地))) (DEG 的)) (NP (NN 面积))) (VP (VV 缩小))) )
7-D,据图推断，近年我国	河口附近海岸侵蚀后退,None,4,,,,据 图 推断 ， 近年 我国 河口 附近 海岸 侵蚀 后退,据 图 推断 ， 近年 我国 河口 附近 海岸 侵蚀 后退,P NN VV PU time NR NN NN NN NN VV,,,,,,,,4,,据 图 推断 ， 近年 我国 河口 附近 海岸 侵蚀 后 退,据 图 推断 ， 近年 我国 河口 附近 海岸 侵蚀 后 退,P NN VV PU time NR NR NN NN VV NN,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 推断)))) (PU ，) (NP (NT 近年)) (NP (NR 我国)) (NP (NP (NN 河口) (NN 附近)) (NP (NN 海岸))) (NP (NN 侵蚀)) (VP (VV 后退))) )
8-A,该图数据来源最有可能是	卫星遥感资料,None,,,,,该 图 数据 来源 最 有 可能 是 卫星 遥感 资料,该 图 数据 来源 最 有 可能 是 卫星 遥感 资料,DT NN NN NN AD VE NN VC NN NN NN,,,,,,,,,,该 图 数据 来源 最 有 可能 是 卫星 遥感 资料,该 图 数据 来源 最 有 可能 是 卫星 遥感 资料,DT NN NN NN AD VE NN VC NN NN NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 图))) (NP (NN 数据) (NN 来源))) (VP (ADVP (AD 最)) (VP (VE 有) (IP (NP (NN 可能)) (VP (VC 是) (NP (NP (NN 卫星) (NN 遥感)) (NP (NN 资料)))))))) )
8-B,该图数据来源最有可能是	GIS获取的气象资料,None,,,,,该 图 数据 来源 最 有 可能 是 GIS 获取 的 气象 资料,该 图 数据 来源 最 有 可能 是 GIS 获取 的 气象 资料,DT NN NN NN AD VE NN VC NN VV DEC NN NN,,,,,,,,,,该 图 数据 来源 最 有 可能 是 GIS 获取 的 气象 资料,该 图 数据 来源 最 有 可能 是 GIS 获取 的 气象 资料,DT NN NN NN AD VE NN VC NN VV DEC NN NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 图) (NN 数据))) (NP (NN 来源))) (VP (ADVP (AD 最)) (VP (VE 有) (IP (NP (NN 可能)) (VP (VC 是) (NP (CP (IP (NP (NN GIS)) (VP (VV 获取))) (DEC 的)) (NP (NN 气象) (NN 资料)))))))) )
8-C,该图数据来源最有可能是	GPS地面监测,None,,,,,该 图 数据 来源 最 有 可能 是 GPS 地面 监测,该 图 数据 来源 最 有 可能 是 GPS 地面 监测,DT NN NN NN AD VE NN VC NN NN NN,,,,,,,,,,该 图 数据 来源 最 有 可能 是 GP S地面 监测,该 图 数据 来源 最 有 可能 是 GP S地面 监测,DT NN NN NN AD VE NN VC NN NN NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 图))) (NP (NN 数据) (NN 来源))) (VP (ADVP (AD 最)) (VP (VE 有) (IP (NP (NN 可能)) (VP (VC 是) (NP (NN GPS) (NN 地面) (NN 监测))))))) )
8-D,该图数据来源最有可能是	根据历史资料推算,None,,,,,该 图 数据 来源 最 有 可能 是 根据 历史 资料 推算,该 图 数据 来源 最 有 可能 是 根据 历史 资料 推算,DT NN NN NN AD VE NN VC P NN NN VV,,,,,,,,,,该 图 数据 来源 最 有 可能 是 根据 历史 资料 推算,该 图 数据 来源 最 有 可能 是 根据 历史 资料 推算,DT NN NN NN AD VE NN VC P NN NN VV,( (IP (NP (NP (DP (DT 该)) (NP (NN 图) (NN 数据))) (NP (NN 来源))) (VP (ADVP (AD 最)) (VP (VE 有) (IP (NP (NN 可能)) (VP (VC 是) (VP (PP (P 根据) (NP (NN 历史) (NN 资料))) (VP (VV 推算)))))))) )
9-A,北京市	春季因升温快，热岛效应最强,n,1,0,6,,北京市 春季 因 升温 快 ， 热岛效应 最 强,北京市 春季 因 升温 快 ， 热岛 效应 最 强,loc time P VV VA PU term AD VA,,,,,,,,1,,北京市 春季 因 升温快 ， 热岛效应 最 强,北京市 春季 因 升温快 ， 热岛效应 最 强,loc time P NN PU term AD VA,( (IP (NP (NR 北京市)) (NP (NT 春季)) (PP (P 因) (IP (VP (IP (VP (VV 升温))) (VP (VA 快))))) (PU ，) (NP (NN 热岛效应)) (VP (ADVP (AD 最)) (VP (VA 强)))) )
9-B,北京市	夏季城郊间热力环流最为明显,None,1,0,4,,北京市 夏季 城郊 间 热力环流 最为 明显,北京市 夏季 城郊 间 热力 环流 最为 明显,loc time NN LC term AD VA,,,,,,,,1,,北京市 夏季 城郊 间 热力环流 最为 明显,北京市 夏季 城郊 间 热力环流 最为 明显,loc time NN LC term AD VA,( (IP (LCP (NP (NP (NR 北京市)) (NP (NT 夏季) (NN 城郊))) (LC 间)) (NP (NN 热力环流)) (VP (ADVP (AD 最为)) (VP (VA 明显)))) )
9-C,北京市	秋季城区和郊区温差达到最大,None,1,0,,,北京市 秋季 城区 和 郊区 温差 达到 最 大,北京市 秋季 城区 和 郊区 温差 达到 最 大,loc time NN CC NN NN VV AD VA,,,,,,,,1,0,北京市 秋季 城区 和 郊区 温差 达到 最 大,北京市 秋季 城区 和 郊区 温差 达到 最 大,loc time NN CC NN NN VV AD VA,( (IP (NP (NP (NR 北京市)) (NP (NP (NP (NT 秋季)) (NP (NN 城区))) (CC 和) (NP (NN 郊区) (NN 温差)))) (VP (VP (VV 达到)) (VP (ADVP (AD 最)) (VP (VA 大))))) )
9-D,北京市	冬季盛行西北风降低热岛强度,None,1,0,3 5,,北京市 冬季 盛行 西北风 降低 热岛 强度,北京市 冬季 盛行 西北风 降低 热岛 强度,loc time NN term VV term NN,,,,,,,,1,0,北京市 冬季 盛行 西北风 降低 热岛 强度,北京市 冬季 盛行 西北风 降低 热岛 强度,loc time VV term VV term NN,( (IP (NP (NP (NR 北京市)) (NP (NT 冬季) (NN 盛行) (NN 西北风))) (VP (VV 降低) (NP (NN 热岛) (NN 强度)))) )
10-A,该生产模式	主要是依靠降水发展种植业,None,,,,,该 生产 模式 主要 是 依靠 降水 发展 种植业,该 生产 模式 主要 是 依靠 降水 发展 种植业,DT NN NN AD VC VV NN VV NN,,,,,,,,,,该 生产 模式 主要 是 依靠 降水 发展 种 植业,该 生产 模式 主要 是 依靠 降水 发展 种 植业,DT NN NN AD VC VV NN VV M NN,( (IP (NP (DP (DT 该)) (NP (NN 生产) (NN 模式))) (VP (ADVP (AD 主要)) (VP (VC 是) (VP (VP (VV 依靠) (NP (NN 降水))) (VP (VV 发展) (NP (NN 种植业))))))) )
10-B,该生产模式	既发展种植业也发展畜牧业,None,,,,,该 生产 模式 既 发展 种植业 也 发展 畜牧业,该 生产 模式 既 发展 种植业 也 发展 畜牧业,DT NN NN CC VV NN AD VV NN,,,,,,,,,,该 生产 模式 既 发展 种植业 也 发展 畜牧 业,该 生产 模式 既 发展 种植业 也 发展 畜牧 业,DT NN NN CC VV NN AD VV NN NN,( (IP (NP (DP (DT 该)) (NP (NN 生产) (NN 模式))) (VP (CC 既) (VP (VV 发展) (NP (NN 种植业))) (ADVP (AD 也)) (VP (VV 发展) (NP (NN 畜牧业))))) )
10-C,该生产模式	农业区夏季向牧区提供牧草,None,4,,,,该 生产 模式 农业区 夏季 向 牧区 提供 牧草,该 生产 模式 农业区 夏季 向 牧区 提供 牧草,DT NN NN NN time P NN VV NN,,,,,,,,4,,该 生产 模式 农业区 夏季 向 牧区 提供 牧草,该 生产 模式 农业区 夏季 向 牧区 提供 牧草,DT NN NN NN time P NN VV NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 生产) (NN 模式))) (NP (NN 农业区)) (NP (NT 夏季))) (VP (PP (P 向) (NP (NN 牧区))) (VP (VV 提供) (NP (NN 牧草))))) )
10-D,该生产模式	畜产品由牧区直接进入市场,None,,,,,该 生产 模式 畜产品 由 牧区 直接 进入 市场,该 生产 模式 畜产品 由 牧区 直接 进入 市场,DT NN NN NN P NN AD VV NN,,,,,,,,,,该 生产 模式 畜产品 由 牧区 直接 进入 市场,该 生产 模式 畜产品 由 牧区 直接 进入 市场,DT NN NN NN P NN AD VV NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 生产) (NN 模式))) (NP (NN 畜产品))) (VP (PP (P 由) (NP (NN 牧区))) (ADVP (AD 直接)) (VP (VV 进入) (NP (NN 市场))))) )
11-①,随着该模式的推广	农牧业形成良性发展,None,,,,,随着 该 模式 的 推广 农牧业 形成 良性 发展,随着 该 模式 的 推广 农牧业 形成 良性 发展,P DT NN DEG NN NN VV JJ NN,,,,,,,,,,随着 该 模式 的 推广 农牧业 形成 良性 发展,随着 该 模式 的 推广 农牧业 形成 良性 发展,P DT NN DEG NN NN VV JJ NN,( (IP (VP (PP (P 随着) (NP (DNP (NP (DP (DT 该)) (NP (NN 模式))) (DEG 的)) (NP (NN 推广) (NN 农牧业)))) (VP (VV 形成) (NP (ADJP (JJ 良性)) (NP (NN 发展)))))) )
11-②,随着该模式的推广	草原载畜量极大提高,None,,,,,随着 该 模式 的 推广 草原 载畜量 极大 提高,随着 该 模式 的 推广 草原 载畜量 极大 提高,P DT NN DEG NN NN NN AD VV,,,,,,,,,,随着 该 模式 的 推广 草原 载畜量 极大 提高,随着 该 模式 的 推广 草原 载畜量 极大 提高,P DT NN DEG NN NN NN JJ NN,( (IP (PP (P 随着) (NP (DNP (NP (DP (DT 该)) (NP (NN 模式))) (DEG 的)) (NP (NN 推广) (NN 草原)))) (NP (NN 载畜量)) (VP (ADVP (AD 极大)) (VP (VV 提高)))) )
11-③,随着该模式的推广	城市人口大量迁入,None,,,,,随着 该 模式 的 推广 城市 人口 大量 迁入,随着 该 模式 的 推广 城市 人口 大量 迁入,P DT NN DEG NN NN NN AD VV,,,,,,,,,,随着 该 模式 的 推广 城市 人口 大量 迁入,随着 该 模式 的 推广 城市 人口 大量 迁入,P DT NN DEG NN NN NN AD VV,( (IP (PP (P 随着) (NP (DNP (NP (DP (DT 该)) (NP (NN 模式))) (DEG 的)) (NP (NN 推广) (NN 城市)))) (NP (NN 人口)) (VP (ADVP (AD 大量)) (VP (VV 迁入)))) )
