编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,该日，荷兰比北京	自转线速度快,None,,3 5,6,,该 日 ， 荷兰 比 北京 自转线速度 快,该 日 ， 荷兰 比 北京 自转 线速度 快,DT NN PU loc P loc term VA,,比较_0（荷兰，北京，自转线速度，快）,比较_0（荷兰，北京，自转线速度，快）,0_4,0_4,比较,比较,,3 5 6,该 日 ， 荷兰 比 北京 自转线速度 快,该 日 ， 荷兰 比 北京 自转线速度 快,DT M PU loc P loc term VA,( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 自转线速度))) (VP (VA 快)))) )
2-B-1,荷兰	珊瑚礁发育好,ed-ori,,0,,,荷兰 珊瑚礁 发育 好,荷兰 珊瑚礁 发育 好,loc NN VV VA,,实体信息陈述_0（荷兰，珊瑚礁，发育好）,实体信息陈述_0（荷兰，珊瑚礁，发育好）,,,实体信息陈述,实体信息陈述,,0,荷兰 珊瑚礁 发育 好,荷兰 珊瑚礁 发育 好,loc NN VV VA,( (IP (NP (NP (NR 荷兰)) (NP (NN 珊瑚礁))) (VP (VRD (VV 发育) (VA 好)))) )
2-C,荷兰	风力大，降水丰富,y,,0,,,荷兰 风力 大 ， 降水 丰富,荷兰 风力 大 ， 降水 丰富,loc NN VA PU VV VA,,实体信息陈述_0（荷兰，风力，大）实体信息陈述_1（荷兰，降水，丰富）,实体信息陈述_0（荷兰，风力，大）实体信息陈述_1（荷兰，降水，丰富）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,0,荷兰 风力 大 ， 降水 丰富,荷兰 风力 大 ， 降水 丰富,loc NN VA PU VV VA,( (IP (NP (NR 荷兰) (NN 风力)) (VP (DVP (VP (VA 大) (PU ，) (VV 降水))) (VP (VA 丰富)))) )
2-C-0,荷兰	风力大,ed-ori,,0,,,荷兰 风力 大,荷兰 风力 大,loc NN VA,,实体信息陈述_0（荷兰，风力，大）,实体信息陈述_0（荷兰，风力，大）,,,实体信息陈述,实体信息陈述,,0,荷兰 风力 大,荷兰 风力 大,loc NN JJ,( (IP (NP (NP (NR 荷兰)) (NP (NN 风力))) (VP (VA 大))) )
2-C-1,荷兰	降水丰富,ed-ori,,0,,,荷兰 降水 丰富,荷兰 降水 丰富,loc VV VA,,实体信息陈述_0（荷兰，降水，丰富）,实体信息陈述_0（荷兰，降水，丰富）,,,实体信息陈述,实体信息陈述,,0,荷兰 降水 丰富,荷兰 降水 丰富,loc VV VA,( (IP (NP (NR 荷兰)) (VP (VP (VV 降水)) (VP (VA 丰富)))) )
2-D,荷兰	南北相距500千米,None,,0,,3,荷兰 南北 相距 500千米,荷兰 南北 相距 500 千米,loc NN VV num,,实体信息陈述_0（荷兰，南北相距，500千米）,实体信息陈述_0（荷兰，南北相距，500千米）,,,实体信息陈述,实体信息陈述,,0,荷兰 南北 相距 500 千米,荷兰 南北 相距 500 千米,loc NN VV num,( (IP (NP (NP (NR 荷兰)) (NP (NN 南北))) (VP (VV 相距) (QP (CD 500千米)))) )
3-A,与火电相比，核电	安全性好，原料方便运输,y,,,,,与 火电 相比 ， 核电 安全性 好 ， 原料 方便 运输,与 火电 相比 ， 核电 安全性 好 ， 原料 方便 运输,P NN VV PU NN NN VA PU NN VV VV,,比较_0（核电，火电，安全性，好）比较_1（核电，火电，原料运输，方便）,比较_0（核电，火电，安全性，好）比较_1（核电，火电，原料运输，方便）,0_2 1_2,0_2 1_2,比较,比较,,,与 火电 相比 ， 核电 安全性 好 ， 原料 方便 运输,与 火电 相比 ， 核电 安全性 好 ， 原料 方便 运输,P NN VV PU NN NN VA PU NN VV NN,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电) (NN 安全性)) (VP (VA 好))) (PU ，) (IP (NP (NN 原料)) (VP (VV 方便) (IP (VP (VV 运输)))))) )
3-A-0,与火电相比，核电	安全性好,ed-ori,,,,,与 火电 相比 ， 核电 安全性 好,与 火电 相比 ， 核电 安全性 好,P NN VV PU NN NN VA,,比较_0（火电，核电，安全性，好）,比较_0（火电，核电，安全性，好）,0_2,0_2,比较,比较,,,与 火电 相比 ， 核电 安全性 好,与 火电 相比 ， 核电 安全性 好,P NN VV PU NN NN VA,( (IP (IP (VP (PP (P 与) (NP (NN 火电))) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电) (NN 安全性)) (VP (VA 好)))) )
3-A-1,与火电相比，核电	原料方便运输,ed-ori,,,,,与 火电 相比 ， 核电 原料 方便 运输,与 火电 相比 ， 核电 原料 方便 运输,P NN VV PU NN NN VV VV,,比较_0（核电，火电，原料运输，方便）,比较_0（核电，火电，原料运输，方便）,0_2,0_2,比较,比较,,,与 火电 相比 ， 核电 原料 方便 运输,与 火电 相比 ， 核电 原料 方便 运输,P NN VV PU NN NN VV NN,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电) (NN 原料)) (VP (VV 方便) (IP (VP (VV 运输)))))) )
3-B,与火电相比，核电	发电量不稳定，受气候影响大,y,,,,,与 火电 相比 ， 核电 发电量 不 稳定 ， 受 气候 影响 大,与 火电 相比 ， 核电 发电量 不 稳定 ， 受 气候 影响 大,P NN VV PU NN NN AD VA PU VV NN NN VA,,比较_0（核电，火电，发电量，不稳定）比较_1（核电，火电，受气候影响大）,比较_0（核电，火电，发电量，不稳定）比较_1（核电，火电，受气候影响大）,0_2 1_2,0_2 1_2,比较,比较,,,与 火电 相比 ， 核电 发电量 不 稳定 ， 受 气候 影响 大,与 火电 相比 ， 核电 发电量 不 稳定 ， 受 气候 影响 大,P NN VV PU NN NN AD VA PU VV NN NN VA,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电) (NN 发电量)) (VP (ADVP (AD 不)) (VP (VA 稳定)))) (PU ，) (IP (IP (VP (VV 受) (NP (NN 气候)))) (IP (NP (NN 影响)) (VP (VA 大))))) )
3-B-0,与火电相比，核电	发电量不稳定,ed-ori,,,,,与 火电 相比 ， 核电 发电量 不 稳定,与 火电 相比 ， 核电 发电量 不 稳定,P NN VV PU NN NN AD VA,,比较_0（核电，火电，发电量，不稳定）,比较_0（核电，火电，发电量，不稳定）,0_2,0_2,比较,比较,,,与 火电 相比 ， 核电 发电量 不 稳定,与 火电 相比 ， 核电 发电量 不 稳定,P NN VV PU NN NN AD VA,( (IP (IP (VP (PP (P 与) (NP (NN 火电))) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电) (NN 发电量)) (VP (ADVP (AD 不)) (VP (VA 稳定))))) )
3-B-1,与火电相比，核电	受气候影响大,ed-ori,,,,,与 火电 相比 ， 核电 受 气候 影响 大,与 火电 相比 ， 核电 受 气候 影响 大,P NN VV PU NN VV NN NN VA,,比较_0（核电，火电，受气候影响大）,比较_0（核电，火电，受气候影响大）,0_2,0_2,比较,比较,,,与 火电 相比 ， 核电 受 气候 影响 大,与 火电 相比 ， 核电 受 气候 影响 大,P NN VV PU NN VV NN NN VA,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电)) (VP (VV 受) (NP (NN 气候)))) (IP (NP (NN 影响)) (VP (VA 大)))) )
3-C,与火电相比，核电	开发成本低，建设周期短,y,,,,,与 火电 相比 ， 核电 开发 成本 低 ， 建设 周期 短,与 火电 相比 ， 核电 开发 成本 低 ， 建设 周期 短,P NN VV PU NN NN NN VA PU VV NN VA,,比较_0（核电，火电，开发成本低）比较_1（核电，火电，建设周期短）,比较_0（核电，火电，开发成本，低）比较_1（核电，火电，建设周期，短）,0_2 1_2,0_2 1_2,比较,比较,,,与 火电 相比 ， 核电 开发 成本低 ， 建设 周期 短,与 火电 相比 ， 核电 开发 成本低 ， 建设 周期 短,P NN VV PU NN NN NN PU VV NN VA,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电) (NN 开发) (NN 成本)) (VP (VA 低))) (PU ，) (IP (NP (CP (IP (VV 建设))) (NP (NN 周期))) (VP (VA 短)))) )
3-C-0,与火电相比，核电	开发成本低,ed-ori,,,,,与 火电 相比 ， 核电 开发 成本 低,与 火电 相比 ， 核电 开发 成本 低,P NN VV PU NN VV NN VA,,比较_0（核电，火电，开发成本低）,比较_0（核电，火电，开发成本，低）,0_2,0_2,比较,比较,,,与 火电 相比 ， 核电 开发 成本 低,与 火电 相比 ， 核电 开发 成本 低,P NN VV PU NN VV NN VA,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电)) (VP (VV 开发))) (IP (NP (NN 成本)) (VP (VA 低)))) )
3-C-1,与火电相比，核电	建设周期短,ed-ori,,,,,与 火电 相比 ， 核电 建设 周期 短,与 火电 相比 ， 核电 建设 周期 短,P NN VV PU NN VV NN VA,,比较_0（核电，火电，建设周期短）,比较_0（核电，火电，建设周期，短）,0_2,0_2,比较,比较,,,与 火电 相比 ， 核电 建设 周期 短,与 火电 相比 ， 核电 建设 周期 短,P NN VV PU NN VV NN VA,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电)) (VP (VV 建设))) (IP (NP (NN 周期)) (VP (VA 短)))) )
3-D,与火电相比，核电	有放射性，易造成空气污染,y,,,,,与 火电 相比 ， 核电 有 放射性 ， 易 造成 空气 污染,与 火电 相比 ， 核电 有 放射性 ， 易 造成 空气 污染,P NN VV PU NN VE NN PU AD VV NN NN,,比较_0（核电，火电，有放射性）比较_1（核电，火电，易造成空气污染）,比较_0（核电，火电，有放射性）比较_1（核电，火电，易造成空气污染）,0_2 1_2,0_2 1_2,比较,比较,,,与 火电 相比 ， 核电 有 放射性 ， 易 造成 空气 污染,与 火电 相比 ， 核电 有 放射性 ， 易 造成 空气 污染,P NN VV PU NN VE NN PU AD VV NN NN,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (IP (NP (NN 核电)) (VP (VE 有) (NP (NN 放射性)))) (PU ，) (IP (VP (ADVP (AD 易)) (VP (VV 造成) (NP (NN 空气) (NN 污染)))))) )
3-D-0,与火电相比，核电	有放射性,ed-ori,,,,,与 火电 相比 ， 核电 有 放射性,与 火电 相比 ， 核电 有 放射性,P NN VV PU NN VE NN,,比较_0（核电，火电，有放射性,比较_0（核电，火电，有放射性,0_2,0_2,比较,比较,,,与 火电 相比 ， 核电 有 放射 性,与 火电 相比 ， 核电 有 放射 性,P NN VV PU NN VE VV NN,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (NP (NN 核电)) (VP (VE 有) (NP (NN 放射性)))) )
3-D-1,与火电相比，核电	易造成空气污染,ed-ori,,,,,与 火电 相比 ， 核电 易 造成 空气 污染,与 火电 相比 ， 核电 易 造成 空气 污染,P NN VV PU NN AD VV NN NN,,比较_0（核电，火电，易造成空气污染）,比较_0（核电，火电，易造成空气污染）,0_2,0_2,比较,比较,,,与 火电 相比 ， 核电 易 造成 空气 污染,与 火电 相比 ， 核电 易 造成 空气 污染,P NN VV PU NN AD VV NN NN,( (IP (IP (VP (PP (P 与) (NN 火电)) (VP (VV 相比)))) (PU ，) (NP (NN 核电)) (VP (ADVP (AD 易)) (VP (VV 造成) (NP (NN 空气) (NN 污染))))) )
4-A,修建中巴铁路难度比较大的原因是沿线地区	连接内陆与太平洋，工程量大,n,,1 13,,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 连接 内陆 与 太平洋 ， 工程量 大,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 连接 内陆 与 太平洋 ， 工程量 大,VV NN NN AD VA DEC NN VC NN NN VV NN CC NN PU NN VA,,因果_0（修建中巴铁路难度比较大，沿线地区连接内陆与太平洋）因果_1（修建中巴铁路难度比较大，工程量大）,因果_0（实体信息陈述_4（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，连接内陆与太平洋））因果_1（实体信息陈述_5（修建中巴铁路，难度，比较大），实体信息陈述_6（工程量，大））,0_6 1_6,0_6 1_6,因果 因果,因果 因果 实体信息陈述 实体信息陈述 实体信息陈述 实体信息陈述,,15,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 连接 内陆 与 太平洋 ， 工程量 大,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 连接 内陆 与 太平洋 ， 工程量 大,VV NR NN AD VA DEC NN VC NN NN VV NN CC NR PU NN JJ,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NP (NN 沿线)) (NP (NN 地区))) (VP (VV 连接) (NP (NN 内陆) (CC 与) (NN 太平洋)))) (PU ，) (IP (NP (NN 工程量)) (VP (VA 大)))))) )
4-B,修建中巴铁路难度比较大的原因是沿线地区	地势起伏大，地质条件复杂,y,,1,14,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 地势 起伏 大 ， 地质 条件 复杂,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 地势 起伏 大 ， 地质 条件 复杂,VV NN NN AD VA DEC NN VC NN NN NN AD VA PU NN NN VA,,因果_0（修建中巴铁路难度比较大，沿线地区地势起伏大）因果_1（修建中巴铁路难度比较大，沿线地区地质条件复杂）,因果_0（实体信息陈述_4（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，地势，起伏大））因果_1（实体信息陈述_5（修建中巴铁路，难度，比较大），实体信息陈述_6（沿线地区，地质条件，复杂））,0_6 1_6,0_6 1_6,因果 因果,因果 因果 实体信息陈述 实体信息陈述 实体信息陈述 实体信息陈述,,,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 地势 起伏 大 ， 地质 条件 复杂,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 地势 起伏 大 ， 地质 条件 复杂,VV NR NN AD VA DEC NN VC NN NN NN AD VA PU NN NN VA,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 沿线) (NN 地区) (NN 地势)) (VP (ADVP (AD 起伏)) (VP (VA 大)))) (PU ，) (IP (NP (NN 地质) (NN 条件)) (VP (VA 复杂)))))) )
4-B-0,修建中巴铁路难度比较大的原因是沿线地区	地势起伏大,ed-ori,,1,,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 地势 起伏 大,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 地势 起伏 大,VV NN NN AD VA DEC NN VC NN NN NN VV VA,,因果_0（修建中巴铁路难度比较大，沿线地区地势起伏大）,因果_0（实体信息陈述_4（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，地势，起伏大））,0_6,0_6,因果,因果 实体信息陈述 实体信息陈述,,,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 地势 起伏 大,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 地势 起伏 大,VV NR NN AD VA DEC NN VC NN NN NN VV JJ,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (VP (IP (NP (NN 沿线) (NN 地区) (NN 地势)) (VP (VV 起伏))) (VP (VA 大))))) )
4-B-1,修建中巴铁路难度比较大的原因是沿线地区	地质条件复杂,ed-ori,,1,10,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 地质 条件 复杂,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 地质 条件 复杂,VV NN NN AD VA DEC NN VC NN NN NN NN VA,,因果_0（修建中巴铁路难度比较大，沿线地区地质条件复杂）,因果_0（实体信息陈述_4（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，地质条件，复杂））,0_6,0_6,因果,因果 实体信息陈述 实体信息陈述,,,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 地质 条件 复杂,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 地质 条件 复杂,VV NR NN AD VA DEC NN VC NN NN NN NN VA,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NP (NN 沿线)) (NP (NN 地区))) (NP (NN 地质) (NN 条件)) (VP (VA 复杂))))) )
4-C,修建中巴铁路难度比较大的原因是沿线地区	有印度河流经，洪涝灾害频发,y,,1 11,14,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 有 印度河 流经 ， 洪涝 灾害 频发,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 有 印度河 流经 ， 洪涝 灾害 频发,VV NN NN AD VA DEC NN VC NN NN VE NN VV PU NN NN VV,,因果_0（修建中巴铁路难度比较大，沿线地区有印度河流经）因果_1（修建中巴铁路难度比较大，沿线地区洪涝灾害频发）,因果_0（实体信息陈述_4（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，印度河流经））因果_1（实体信息陈述_5（修建中巴铁路，难度，比较大），实体信息陈述_6（沿线地区，洪涝灾害，频发））,0_6 1_6,0_6 1_6,因果 因果,因果 因果 实体信息陈述 实体信息陈述 实体信息陈述 实体信息陈述,,,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 有 印度河 流经 ， 洪涝 灾害 频发,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 有 印度河 流经 ， 洪涝 灾害 频发,VV NR NN AD VA DEC NN VC NN NN VE NR VV PU NN NN VV,( (IP (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NP (NN 沿线)) (NP (NN 地区))) (VP (VE 有) (IP (NP (NN 印度河)) (VP (VV 流经))))))) (PU ，) (IP (NP (NN 洪涝) (NN 灾害)) (VP (VV 频发)))) )
4-C-0,修建中巴铁路难度比较大的原因是沿线地区	有印度河流经,ed-ori,,1 11,,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 有 印度河 流经,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 有 印度河 流经,VV NN NN AD VA DEC NN VC NN NN VE NR VV,,因果_0（修建中巴铁路难度比较大，沿线地区有印度河流经）,因果_0（实体信息陈述_4（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，印度河流经））,0_6,0_6,因果,因果 实体信息陈述 实体信息陈述,,,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 有 印度河 流经,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 有 印度河 流经,VV NR NN AD VA DEC NN VC NN NN VE NR VV,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NP (NN 沿线)) (NP (NN 地区))) (VP (VE 有) (IP (NP (NR 印度河)) (VP (VV 流经))))))) )
