编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,2002年11月20日9时（北京时间），中国第19次南极科学考察队乘“雪龙号”自上海出发，此时长城站所在地的区时为	19日19时,None,0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日19时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，19日19时）,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，19日19时）,0_0-2 1_21-22-23,0_0-2 1_21-22-23,时间限定 实体信息陈述,时间限定 实体信息陈述,,,2002年11月20日9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,2002年 11月 20日 9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,( (IP (NP (NT 2002年11月20日9时)) (NP (PU （) (NN 北京时间) (PU ）)) (PU ，) (IP (NP (NP (NR 中国)) (QP (CD 第19次)) (NP (NP (NR 南极)) (NP (NN 科学) (NN 考察队)))) (VP (VP (VV 乘) (NP (PU “) (NN 雪龙号) (PU ”))) (VP (PP (P 自) (NP (NR 上海))) (VP (VV 出发))))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (NP (NR 长城站)) (NP (NN 所在地))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 19日19时))))) )
3-D,与中山站相比，长城站所在地	正午太阳高度大,None,,1 4,6,,与 中山站 相比 ， 长城站 所在地 正午太阳高度 大,与 中山站 相比 ， 长城站 所在地 正午 太阳 高度 大,P loc VV PU loc NN term VA,,比较_0（长城站所在地，中山站，正午太阳高度，大）,比较_0（长城站所在地，中山站，正午太阳高度，大）,0_0-2,0_0-2,比较,比较,,,与 中山站 相比 ， 长城站 所在地 正午太阳高度 大,与 中山站 相比 ， 长城站 所在地 正午太阳高度 大,P loc VV PU loc NN term JJ,( (IP (IP (VP (PP (P 与) (NP (NR 中山站))) (VP (VV 相比)))) (PU ，) (NP (NP (NR 长城站)) (NP (NN 所在地))) (NP (NN 正午太阳高度)) (VP (VA 大))) )
4-A,中山站出现极昼期间，下列河流最有可能处于枯水期的是	湄公河,None,,0 14,2 11,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 湄公河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 湄公河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc,,时间限定_0（中山站出现极昼期间）实体信息陈述_1（湄公河，处于，枯水期）,时间限定_0（中山站出现极昼期间）实体信息陈述_1（湄公河，处于，枯水期）,0_3 1_7-8-9-12-13,0_3 1_7-8-9-12-13,时间限定 实体信息陈述,时间限定 实体信息陈述,,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 湄公河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 湄 公河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc,( (IP (IP (NP (NR 中山站)) (VP (VV 出现) (NP (NN 极昼) (NN 期间)))) (PU ，) (NP (CP (IP (NP (ADJP (JJ 下列)) (NP (NN 河流))) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 处于) (NP (NN 枯水期)))))) (DEC 的))) (VP (VC 是) (NP (NR 湄公河)))) )
4-B,中山站出现极昼期间，下列河流最有可能处于枯水期的是	莱茵河,None,,0 14,2 11,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 莱茵河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 莱茵河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc,,时间限定_0（中山站出现极昼期间）实体信息陈述_1（莱茵河，处于，枯水期）,时间限定_0（中山站出现极昼期间）实体信息陈述_1（莱茵河，处于，枯水期）,0_3 1_7-8-9-12-13,0_3 1_7-8-9-12-13,时间限定 实体信息陈述,时间限定 实体信息陈述,,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 莱茵河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 莱茵 河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc,( (IP (IP (NP (NR 中山站)) (VP (VV 出现) (NP (NN 极昼) (NN 期间)))) (PU ，) (NP (CP (IP (NP (ADJP (JJ 下列)) (NP (NN 河流))) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 处于) (NP (NN 枯水期)))))) (DEC 的))) (VP (VC 是) (NP (NR 莱茵河)))) )
4-C,中山站出现极昼期间，下列河流最有可能处于枯水期的是	亚马孙河,None,,0 14,2 11,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 亚马孙河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 亚马孙河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc,,时间限定_0（中山站出现极昼期间）实体信息陈述_1（亚马孙河，处于，枯水期）,时间限定_0（中山站出现极昼期间）实体信息陈述_1（亚马孙河，处于，枯水期）,0_3 1_7-8-9-12-13,0_3 1_7-8-9-12-13,时间限定 实体信息陈述,时间限定 实体信息陈述,,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 亚马孙河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 亚马 孙河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc,( (IP (IP (NP (NR 中山站)) (VP (VV 出现) (NP (NN 极昼) (NN 期间)))) (PU ，) (NP (CP (IP (NP (ADJP (JJ 下列)) (NP (NN 河流))) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 处于) (NP (NN 枯水期)))))) (DEC 的))) (VP (VC 是) (NP (NR 亚马孙河)))) )
4-D,中山站出现极昼期间，下列河流最有可能处于枯水期的是	赞比西河,None,,0 14,2 11,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 赞比西河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 赞比西河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc,,时间限定_0（中山站出现极昼期间）实体信息陈述_1（赞比西河，处于，枯水期）,时间限定_0（中山站出现极昼期间）实体信息陈述_1（赞比西河，处于，枯水期）,0_3 1_7-8-9-12-13,0_3 1_7-8-9-12-13,时间限定 实体信息陈述,时间限定 实体信息陈述,,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 赞比 西河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 赞比 西河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc,( (IP (IP (NP (NR 中山站)) (VP (VV 出现) (NP (NN 极昼) (NN 期间)))) (PU ，) (NP (CP (IP (NP (ADJP (JJ 下列)) (NP (NN 河流))) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 处于) (NP (NN 枯水期)))))) (DEC 的))) (VP (VC 是) (NP (NR 赞比西河)))) )
5-A,大理石	因变质作用而形成,None,,,2,,大理石 因 变质作用 而 形成,大理石 因 变质 作用 而 形成,NN P term MSP VV,,影响_0（变质作用，大理石，形成）,影响_0（变质作用，大理石，形成）,0_1-3,0_1-3,影响,影响,,,大理石 因 变质作用 而 形成,大理石 因 变质作用 而 形成,NN P term MSP VV,( (IP (VP (NP (NN 大理石)) (PP (P 因) (NP (NN 变质作用))) (VP (MSP 而) (VP (VV 形成))))) )
5-B,大理石	按成因属于岩浆岩,None,,,4,,大理石 按 成因 属于 岩浆岩,大理石 按 成因 属于 岩浆岩,NN P NN VV term,,实体信息陈述_0（大理石，按成因属于，岩浆岩）,实体信息陈述_0（大理石，按成因属于，岩浆岩）,,,实体信息陈述,实体信息陈述,,,大理石 按 成因 属于 岩浆岩,大理石 按 成因 属于 岩浆岩,NR P NN VV term,( (IP (NP (NN 大理石)) (VP (PP (P 按) (NP (NN 成因))) (VP (VV 属于) (NP (NN 岩浆岩))))) )
5-C,大理石	因外力作用而形成,None,,,2,,大理石 因 外力作用 而 形成,大理石 因 外力 作用 而 形成,NN P term MSP VV,,影响_0（外力作用，大理石，形成）,影响_0（外力作用，大理石，形成）,0_1-3,0_1-3,影响,影响,,,大理石 因 外力作用 而 形成,大理石 因 外力作用 而 形成,NN P term MSP VV,( (IP (VP (NP (NN 大理石)) (PP (P 因) (NP (NN 外力作用))) (VP (MSP 而) (VP (VV 形成))))) )
5-D,大理石	形成于地壳硅镁层,None,,,3,,大理石 形成 于 地壳 硅镁层,大理石 形成 于 地壳 硅镁层,NN VV P term NR,,实体信息陈述_0（大理石，形成于，地壳硅镁层）,实体信息陈述_0（大理石，形成于，地壳硅镁层）,,,实体信息陈述,实体信息陈述,,,大理石 形成 于 地壳 硅镁层,大理石 形成 于 地壳 硅镁层,NR VV P term NR,( (IP (NP (NN 大理石)) (VP (VV 形成) (NP (PP (P 于) (NP (NN 地壳))) (NP (NR 硅镁层))))) )
6-A,该建筑位于图3中的	①,None,,,,,该 建筑 位于 图3 中 的 ①,该 建筑 位于 图3 中 的 ①,DT NN VV NN LC DEG NN,,位于_0（该建筑，①）,位于_0（该建筑，①）,0_2,0_2,位于,位于,,,该 建筑 位于 图3 中 的 ①,该 建筑 位于 图3 中 的 ①,DT NN VV NN LC DEG NN,( (IP (NP (DP (DT 该)) (NP (NN 建筑))) (VP (VV 位于) (NP (DNP (LCP (NP (NN 图3)) (LC 中)) (DEG 的)) (NP (NN ①))))) )
6-B,该建筑位于图3中的	②,None,,,,,该 建筑 位于 图3 中 的 ②,该 建筑 位于 图3 中 的 ②,DT NN VV NN LC DEG NN,,位于_0（该建筑，②）,位于_0（该建筑，②）,0_2,0_2,位于,位于,,,该 建筑 位于 图3 中 的 ②,该 建筑 位于 图3 中 的 ②,DT NN VV NN LC DEG NN,( (IP (NP (DP (DT 该)) (NP (NN 建筑))) (VP (VV 位于) (NP (DNP (LCP (NP (NN 图3)) (LC 中)) (DEG 的)) (NP (NN ②))))) )
6-C,该建筑位于图3中的	③,None,,,,,该 建筑 位于 图3 中 的 ③,该 建筑 位于 图3 中 的 ③,DT NN VV NN LC DEG NN,,位于_0（该建筑，③）,位于_0（该建筑，③）,0_2,0_2,位于,位于,,,该 建筑 位于 图3 中 的 ③,该 建筑 位于 图3 中 的 ③,DT NN VV NN LC DEG NN,( (IP (NP (DP (DT 该)) (NP (NN 建筑))) (VP (VV 位于) (NP (DNP (LCP (NP (NN 图3)) (LC 中)) (DEG 的)) (NP (NN ③))))) )
6-D,该建筑位于图3中的	④,None,,,,,该 建筑 位于 图3 中 的 ④,该 建筑 位于 图3 中 的 ④,DT NN VV NN LC DEG NN,,位于_0（该建筑，④）,位于_0（该建筑，④）,0_2,0_2,位于,位于,,,该 建筑 位于 图3 中 的 ④,该 建筑 位于 图3 中 的 ④,DT NN VV NN LC DEG NN,( (IP (NP (DP (DT 该)) (NP (NN 建筑))) (VP (VV 位于) (NP (DNP (LCP (NP (NN 图3)) (LC 中)) (DEG 的)) (NP (NN ④))))) )
7-A,图3中①、②、③、④四地自然条件相比	①、②两地均为荒漠,None,,2 6,,,图3 中 ①、②、③、④四地 自然 条件 相比 ①、②两地 均 为 荒漠,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ① 、 ② 两地 均 为 荒漠,NN LC loc NN NN VV loc AD VC NN,,匹配_0（①、②两地，荒漠）,匹配_0（集合_1（①，②），荒漠）,0_7-8,0_7-8,匹配,匹配,,,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ① 、 ② 两地 均 为 荒漠,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ① 、 ② 两地 均 为 荒漠,NN LC loc NN NN VV loc AD VC NN,( (IP (NP (CP (IP (LCP (NP (NN 图3)) (LC 中)) (NP (NP (NR ①、②、③、④四地)) (NP (NN 自然) (NN 条件))) (VP (VV 相比)))) (NP (NR ①、②两地))) (VP (ADVP (AD 均)) (VP (VC 为) (NP (NN 荒漠))))) )
7-B,图3中①、②、③、④四地自然条件相比	②地年降水量最少,None,,2 6,7,,图3 中 ①、②、③、④四地 自然 条件 相比 ②地 年降水量 最少,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ②地 年降水量 最少,NN LC loc NN NN VV loc term AD,,最值_0（②地，年降水量，少，①、②、③、④四地）,最值_0（②地，年降水量，少，集合（①，②，③，④））,0_8,0_8,最值,最值,,,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ②地 年降水量 最少,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ②地 年降水量 最少,NN LC loc NN NN VV loc term AD,( (IP (NP (CP (IP (LCP (NP (NN 图3)) (LC 中)) (NP (NP (NR ①、②、③、④四地)) (NP (NN 自然) (NN 条件))) (VP (VV 相比)))) (NP (NR ②地) (NN 年降水量))) (VP (ADVP (AD 最少)))) )
