编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,图中指示山脊和山谷的分别是	①和②,None,,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,NN LC VV term CC term DEG AD VC NN CC NN,,匹配_0（山脊，①）匹配_1（山谷，②）,匹配_0（山脊，①）匹配_1（山谷，②）,0_7-8 1_7-8,0_7-8 1_7-8,匹配 匹配,匹配 匹配,,,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,NN LC VV term CC term DEG AD VC NN CC NN,( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ①) (CC 和) (NN ②))))) )
3-D,经纬网的纬线间距为	10°,None,,,0 2,5,经纬网 的 纬线 间距 为 10°,经纬网 的 纬线 间距 为 10°,term DEG term NN VC num,,实体信息陈述_0（经纬网，纬线间距，10°）,实体信息陈述_0（经纬网，纬线间距，10°）,0_1-4,0_1-4,实体信息陈述,实体信息陈述,,,经纬网 的 纬线 间距 为 10°,经纬网 的 纬线 间距 为 10°,term DEG term NN VC num,( (IP (NP (DNP (NP (NN 经纬网)) (DEG 的)) (NP (NN 纬线) (NN 间距))) (VP (VC 为) (QP (CD 10°)))) )
4-A,图上标出的经纬网格区中	②与③都处于暖温带,None,,,4 12,,图 上 标出 的 经纬网 格区 中 ② 与 ③ 都 处于 暖温带,图 上 标出 的 经纬网 格区 中 ② 与 ③ 都 处于 暖温带,NN LC VV DEC term NN LC NN CC NN AD VV term,,位于_0（②与③，暖温带）,位于_0（集合_1（②，③），暖温带）,0_11,0_11,位于,位于,,,图 上 标出 的 经纬网 格区 中 ② 与 ③ 都 处于 暖温带,图 上 标出 的 经纬网 格区 中 ② 与 ③ 都 处于 暖温带,NN LC VV DEC term NN LC VV CC NN AD VV term,( (IP (LCP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 上)) (VP (VV 标出)))) (DEC 的)) (NP (NN 经纬网) (NN 格区))) (LC 中)) (NP (NN ②) (CC 与) (NN ③)) (VP (ADVP (AD 都)) (VP (VV 处于) (NP (NN 暖温带))))) )
4-B,图上标出的经纬网格区中	随地球自转，③的角速度比④小,n,,,4 9,,图 上 标出 的 经纬网 格区 中 随 地球 自转 ， ③ 的 角速度 比 ④ 小,图 上 标出 的 经纬网 格区 中 随 地球 自转 ， ③ 的 角速度 比 ④ 小,NN LC VV DEC term NN LC P NN term PU NN DEG NN P NN VA,,比较_0（③，④，角速度，小）,比较_0（③，④，角速度，小）,0_14,0_14,比较,比较,,,图 上 标出 的 经纬网 格区 中 随地 球 自转 ， ③ 的 角速度 比 ④ 小,图 上 标出 的 经纬网 格区 中 随地 球 自转 ， ③ 的 角速度 比 ④ 小,NN LC VV DEC term NN LC VV NN term PU NR DEG NN P NN VA,( (IP (LCP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 上)) (VP (VV 标出)))) (DEC 的)) (NP (NN 经纬网) (NN 格区))) (LC 中)) (PP (P 随) (NP (NN 地球) (NN 自转))) (PU ，) (NP (DNP (NP (NN ③)) (DEG 的)) (NP (NN 角速度))) (VP (PP (P 比) (NP (NN ④))) (VP (VA 小)))) )
4-C,图上标出的经纬网格区中	从春分到夏至，①比④的昼长变化幅度大,n,7,,4 13,,图 上 标出 的 经纬网 格区 中 从春分到夏至 ， ① 比 ④ 的 昼长 变化 幅度 大,图 上 标出 的 经纬网 格区 中 从 春分 到 夏至 ， ① 比 ④ 的 昼长 变化 幅度 大,NN LC VV DEC term NN LC time PU NN P NN DEG term NN NN VA,,时间限定_0（从春分到夏至）比较_1（①，④，昼长变化幅度，大）,时间限定_0（从春分到夏至）比较_1（①，④，昼长变化幅度，大）,0_7 1_10,0_7 1_10,时间限定 比较,时间限定 比较,7,,图 上 标出 的 经纬网 格区 中 从春分到夏至 ， ① 比 ④ 的 昼长 变化 幅度 大,图 上 标出 的 经纬网 格区 中 从 春分 到 夏至 ， ① 比 ④ 的 昼长 变化 幅度 大,NN LC VV DEC term NN LC time PU AD P NR DEG term NN NN JJ,( (IP (LCP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 上)) (VP (VV 标出)))) (DEC 的)) (NP (NN 经纬网) (NN 格区))) (LC 中)) (NP (NT 从春分到夏至)) (PU ，) (NP (NN ①)) (VP (PP (P 比) (NP (DNP (NP (NN ④)) (DEG 的)) (NP (NN 昼长) (NN 变化) (NN 幅度)))) (VP (VA 大)))) )
4-D,图上标出的经纬网格区中	从夏至到秋分，②比⑤的正午太阳高度角变化幅度大,n,7,,4 13,,图 上 标出 的 经纬网 格区 中 从夏至到秋分 ， ② 比 ⑤ 的 正午太阳高度角 变化 幅度 大,图 上 标出 的 经纬网 格区 中 从 夏至 到 秋分 ， ② 比 ⑤ 的 正午 太阳 高度 角 变化 幅度 大,NN LC VV DEC term NN LC time PU NN P NN DEG term NN NN VA,,时间限定_0（从夏至到秋分）比较_1（②，⑤，正午太阳高度角变化幅度，大）,时间限定_0（从夏至到秋分）比较_1（②，⑤，正午太阳高度角变化幅度，大）,0_7 1_10,0_7 1_10,时间限定 比较,时间限定 比较,7,,图 上 标出 的 经纬网 格区 中 从夏至到秋分 ， ② 比 ⑤ 的 正午太阳高度角 变化 幅度 大,图 上 标出 的 经纬网 格区 中 从 夏至 到 秋分 ， ② 比 ⑤ 的 正午太阳高度角 变化 幅度 大,NN LC VV DEC term NN LC time PU AD P NR DEG JJ NN NN JJ,( (IP (LCP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 上)) (VP (VV 标出)))) (DEC 的)) (NP (NN 经纬网) (NN 格区))) (LC 中)) (NP (NT 从夏至到秋分)) (PU ，) (NP (NN ②)) (VP (PP (P 比) (NP (DNP (NP (NN ⑤)) (DEG 的)) (NP (NN 正午太阳高度角) (NN 变化) (NN 幅度)))) (VP (VA 大)))) )
5-A,人口密度差值最大的两个网格区是	①和④,None,,,,,人口 密度 差值 最 大 的 两 个 网格区 是 ① 和 ④,人口 密度 差值 最 大 的 两 个 网格区 是 ① 和 ④,NN NN NN AD VA DEC CD M NN VC NN CC NN,,最值_0（①和④，人口密度差值，大）,最值_0（集合_1（①，④），人口密度差值，大）,0_3,0_3,最值,最值,,,人口 密度 差值 最 大 的 两 个 网格区 是 ① 和 ④,人口 密度 差值 最 大 的 两 个 网格区 是 ① 和 ④,NN NN NN AD VA DEC CD M NN VC NN CC NN,( (IP (NP (CP (IP (NP (NN 人口) (NN 密度)) (NP (NN 差值)) (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (QP (CD 两) (CLP (M 个))) (NP (NN 网格区))) (VP (VC 是) (NP (NN ①) (CC 和) (NN ④)))) )
5-B,人口密度差值最大的两个网格区是	②和③,None,,,,,人口 密度 差值 最 大 的 两 个 网格区 是 ② 和 ③,人口 密度 差值 最 大 的 两 个 网格区 是 ② 和 ③,NN NN NN AD VA DEC CD M NN VC NN CC NN,,最值_0（②和③，人口密度差值，大）,最值_0（集合_1（②，③），人口密度差值，大）,0_3,0_3,最值,最值,,,人口 密度 差值 最 大 的 两 个 网格区 是 ② 和 ③,人口 密度 差值 最 大 的 两 个 网格区 是 ② 和 ③,NN NN NN AD VA DEC CD M NN VC NN CC NN,( (IP (NP (CP (IP (NP (NN 人口) (NN 密度)) (NP (NN 差值)) (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (QP (CD 两) (CLP (M 个))) (NP (NN 网格区))) (VP (VC 是) (NP (NN ②) (CC 和) (NN ③)))) )
5-C,人口密度差值最大的两个网格区是	③和⑤,None,,,,,人口 密度 差值 最 大 的 两 个 网格区 是 ③ 和 ⑤,人口 密度 差值 最 大 的 两 个 网格区 是 ③ 和 ⑤,NN NN NN AD VA DEC CD M NN VC NN CC NN,,最值_0（③和⑤，人口密度差值，大）,最值_0（集合_1（③，⑤），人口密度差值，大）,0_3,0_3,最值,最值,,,人口 密度 差值 最 大 的 两 个 网格区 是 ③ 和 ⑤,人口 密度 差值 最 大 的 两 个 网格区 是 ③ 和 ⑤,NN NN NN AD VA DEC CD M NN VC NN CC NN,( (IP (NP (CP (IP (NP (NN 人口) (NN 密度)) (NP (NN 差值)) (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (QP (CD 两) (CLP (M 个))) (NP (NN 网格区))) (VP (VC 是) (NP (NN ③) (CC 和) (NN ⑤)))) )
5-D,人口密度差值最大的两个网格区是	④和⑤,None,,,,,人口 密度 差值 最 大 的 两 个 网格区 是 ④ 和 ⑤,人口 密度 差值 最 大 的 两 个 网格区 是 ④ 和 ⑤,NN NN NN AD VA DEC CD M NN VC NN CC NN,,最值_0（④和⑤，人口密度差值，大）,最值_0（集合_1（④，⑤），人口密度差值，大）,0_3,0_3,最值,最值,,,人口 密度 差值 最 大 的 两 个 网格区 是 ④ 和 ⑤,人口 密度 差值 最 大 的 两 个 网格区 是 ④ 和 ⑤,NN NN NN AD VA DEC CD M NN VC NN CC NN,( (IP (NP (CP (IP (NP (NN 人口) (NN 密度)) (NP (NN 差值)) (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (QP (CD 两) (CLP (M 个))) (NP (NN 网格区))) (VP (VC 是) (NP (NN ④) (CC 和) (NN ⑤)))) )
6-A,从地形和降水条件分析，最易发生泥石流的网格区是	①,None,,,10,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ①,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ①,P NN CC NN NN VV PU AD VA VV term DEC NN VC NN,,最值_0（①，发生泥石流，易）,最值_0（①，发生泥石流，易）,0_7,0_7,最值,最值,,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ①,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ①,P NN CC NN NN VV PU AD VA VV term DEG NN VC NN,( (IP (VP (PP (P 从) (NP (NN 地形) (CC 和) (NN 降水) (NN 条件))) (VP (VV 分析) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 最)) (VP (VA 易) (IP (VP (VV 发生) (NP (NN 泥石流))))))) (DEC 的)) (NP (NN 网格区))) (VP (VC 是) (NP (NN ①))))))) )
6-B,从地形和降水条件分析，最易发生泥石流的网格区是	②,None,,,10,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ②,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ②,P NN CC NN NN VV PU AD VA VV term DEC NN VC NN,,最值_0（②，发生泥石流，易）,最值_0（②，发生泥石流，易）,0_7,0_7,最值,最值,,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ②,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ②,P NN CC NN NN VV PU AD VA VV term DEG NN VC NN,( (IP (VP (PP (P 从) (NP (NN 地形) (CC 和) (NN 降水) (NN 条件))) (VP (VV 分析) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 最)) (VP (VA 易) (IP (VP (VV 发生) (NP (NN 泥石流))))))) (DEC 的)) (NP (NN 网格区))) (VP (VC 是) (NP (NN ②))))))) )
6-C,从地形和降水条件分析，最易发生泥石流的网格区是	④,None,,,10,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ④,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ④,P NN CC NN NN VV PU AD VA VV term DEC NN VC NN,,最值_0（④，发生泥石流，易）,最值_0（④，发生泥石流，易）,0_7,0_7,最值,最值,,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ④,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ④,P NN CC NN NN VV PU AD VA VV term DEG NN VC NN,( (IP (VP (PP (P 从) (NP (NN 地形) (CC 和) (NN 降水) (NN 条件))) (VP (VV 分析) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 最)) (VP (VA 易) (IP (VP (VV 发生) (NP (NN 泥石流))))))) (DEC 的)) (NP (NN 网格区))) (VP (VC 是) (NP (NN ④))))))) )
6-D,从地形和降水条件分析，最易发生泥石流的网格区是	⑤,None,,,10,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ⑤,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ⑤,P NN CC NN NN VV PU AD VA VV term DEC NN VC NN,,最值_0（⑤，发生泥石流，易）,最值_0（⑤，发生泥石流，易）,0_7,0_7,最值,最值,,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ⑤,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ⑤,P NN CC NN NN VV PU AD VA VV term DEG NN VC NN,( (IP (VP (PP (P 从) (NP (NN 地形) (CC 和) (NN 降水) (NN 条件))) (VP (VV 分析) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 最)) (VP (VA 易) (IP (VP (VV 发生) (NP (NN 泥石流))))))) (DEC 的)) (NP (NN 网格区))) (VP (VC 是) (NP (NN ⑤))))))) )
7-A,由08时到20时，图中	①地风向偏北，风力逐渐减弱,y,0,4,5,,由08时到20时 ， 图 中 ①地 风向 偏北 ， 风力 逐渐 减弱,由 08时 到 20时 ， 图 中 ①地 风向 偏北 ， 风力 逐渐 减弱,time PU NN LC loc term VA PU NN AD VV,,时间限定_0（由08时到20时）实体信息陈述_1（①地，风向，偏北）趋势_2（①地，风力，#，逐渐减弱）,时间限定_0（由08时到20时）实体信息陈述_1（①地，风向，偏北）趋势_2（①地，风力，#，逐渐减弱）,0_0 2_10,0_0 2_10,时间限定 实体信息陈述 趋势,时间限定 实体信息陈述 趋势,0 4,,由 08时到20时 ， 图 中 ①地 风向 偏北 ， 风力 逐渐 减弱,由 08时 到 20时 ， 图 中 ①地 风向 偏北 ， 风力 逐渐 减弱,time PU NN LC loc term NN PU NN AD VV,( (IP (IP (NP (NT 由08时到20时)) (PU ，) (LCP (NP (NN 图)) (LC 中)) (NP (NR ①地)) (NP (NN 风向)) (VP (VA 偏北))) (PU ，) (IP (NP (NN 风力)) (VP (ADVP (AD 逐渐)) (VP (VV 减弱))))) )
