编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,2010年10月1日18时59分57秒，我国“嫦娥二号”卫星在西昌点火升空，准确入轨。该卫星	到达了河外星系,None,0,9,20,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河外星系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外 星系,time PU NN PU NN NN PU NN P loc VV VV PU AD VV PU DT NN VV AS term,,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,0,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,time PU NR PU VV NN PU NN P loc NN VV PU AD VV PU DT NN VV AS term,( (IP (IP (NP (NT 2010年10月1日18时59分57秒)) (PU ，) (NP (NP (NP (NN 我国)) (NP (PU “) (NN 嫦娥) (NN 二号) (PU ”))) (NP (NN 卫星))) (VP (PP (P 在) (NP (NR 西昌))) (VP (VSB (VV 点火) (VV 升空))))) (PU ，) (IP (VP (ADVP (AD 准确)) (VP (VV 入轨)))) (PU 。) (IP (NP (DP (DT 该)) (NP (NN 卫星))) (VP (VV 到达) (AS 了) (NP (NN 河外星系))))) )
3-D,如图所示，地球	自转线速度②地大于④地,None,,7 9,5 6,,如 图 所 示 ， 地球 自转线速度 ②地 大于 ④地,如 图 所 示 ， 地球 自转 线速度 ②地 大于 ④地,P NN MSP VV PU term term loc VV loc,,比较_0（②地，④地，地球自转线速度，大）,比较_0（②地，④地，地球自转线速度，大）,0_8,0_8,比较,比较,5 7,,如图所示 ， 地球 自转线速度 ②地 大于 ④地,如图所示 ， 地球 自转线速度 ②地 大于 ④地,VV PU term term loc VV loc,( (IP (PP (P 如) (IP (NP (NN 图)) (VP (MSP 所) (VP (VV 示))))) (PU ，) (NP (NP (NN 地球)) (NP (NN 自转线速度)) (NP (NR ②地))) (VP (VV 大于) (NP (NR ④地)))) )
4-A,图中①②③④四地	白昼由长到短依次是①④③②,None,,2,,,图 中 ①②③④四地 白昼 由 长 到 短 依次 是 ① ④ ③ ②,图 中 ① ② ③ ④ 四 地 白昼 由 长 到 短 依次 是 ① ④ ③ ②,NN LC loc NN P NN P NN AD VC NN NN NN NN,,排序_0（白昼，由长到短，列表_1（①，④，③，②））,排序_0（白昼，由长到短，列表_1（①，④，③，②））,0_4-5-6-7 1_8-9,0_4-5-6-7 1_8-9,排序 列表,排序 列表,,,图 中 ① ② ③ ④ 四 地 白昼 由 长到 短 依次 是 ① ④ ③ ②,图 中 ① ② ③ ④ 四 地 白昼 由 长到 短 依次 是 ① ④ ③ ②,NN LC loc NN P VV JJ AD VC NN AD VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NR ①②③④四地)) (NP (NN 白昼)))) (VP (PP (PP (P 由) (NP (NN 长))) (PP (P 到) (NP (NN 短)))) (ADVP (AD 依次)) (VP (VC 是) (NP (NP (NN ①) (NN ④)) (NP (NN ③) (NN ②)))))) )
4-B,图中①②③④四地	正午太阳高度由高到低依次是②③①④,None,,2,3,,图 中 ①②③④四地 正午太阳高度 由 高 到 低 依次 是 ② ③ ① ④,图 中 ① ② ③ ④ 四 地 正午 太阳 高度 由 高 到 低 依次 是 ② ③ ① ④,NN LC loc term P NN P NN AD VC NN NN NN NN,,排序_0（正午太阳高度，由高到低，列表_1（②，③，①，④））,排序_0（正午太阳高度，由高到低，列表_1（②，③，①，④））,0_4-5-6-7 1_8-9,0_4-5-6-7 1_8-9,排序 列表,排序 列表,,,图 中 ① ② ③ ④ 四地 正午太阳高度 由 高 到 低 依次 是 ② ③ ① ④,图 中 ① ② ③ ④ 四地 正午太阳高度 由 高 到 低 依次 是 ② ③ ① ④,NN LC loc term P VA VV JJ AD VC NN AD VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NR ①②③④四地)) (NP (NN 正午太阳高度)))) (VP (PP (PP (P 由) (NP (NN 高))) (PP (P 到) (NP (NN 低)))) (ADVP (AD 依次)) (VP (VC 是) (NP (NP (NN ②) (NN ③)) (NP (NN ①) (NN ④)))))) )
4-C,图中①②③④四地	该日后三个月内白昼逐渐变长的有①②,None,5,2,,,图 中 ①②③④四地 该日 后 三个月内 白昼 逐渐 变长 的 有 ① ②,图 中 ① ② ③ ④ 四 地 该日 后 三 个 月 内 白昼 逐渐 变长 的 有 ① ②,NN LC loc NN LC time NN AD VV DEC VE NN NN,,时间限定_0（该日后三个月内）趋势_1（①，白昼，#，变长）趋势_2（②，白昼，#，变长）,时间限定_0（该日后三个月内）趋势_1（①，白昼，#，变长）趋势_2（②，白昼，#，变长）,1_8 2_8,1_8 2_8,时间限定 趋势,时间限定 趋势,,,图 中 ① ② ③ ④ 四地 该 日后 三 个 月 内 白昼 逐渐 变长 的 有 ① ②,图 中 ① ② ③ ④ 四地 该 日后 三 个 月 内 白昼 逐渐 变长 的 有 ① ②,NN LC loc NN LC time NN AD VA DEC VE NN NN,( (IP (LCP (NP (NN 图)) (LC 中)) (LCP (NP (NR ①②③④四地) (NN 该日)) (LC 后)) (NP (CP (IP (NP (NT 三个月内)) (NP (NN 白昼)) (VP (ADVP (AD 逐渐)) (VP (VV 变长)))) (DEC 的))) (VP (VE 有) (NP (NN ①) (NN ②)))) )
4-D,图中①②③④四地	该日后三个月内正午太阳高度增大的有③④,None,5,2,6,,图 中 ①②③④四地 该日 后 三个月内 正午太阳高度 增大 的 有 ③ ④,图 中 ① ② ③ ④ 四 地 该日 后 三 个 月 内 正午 太阳 高度 增大 的 有 ③ ④,NN LC loc NN LC time term VV DEC VE NN NN,,时间限定_0（该日后三个月内）趋势_1（③，正午太阳高度，#，增大）趋势_2（④，正午太阳高度，#，增大）,时间限定_0（该日后三个月内）趋势_1（③，正午太阳高度，#，增大）趋势_2（④，正午太阳高度，#，增大）,1_7 2_7,1_7 2_7,时间限定 趋势,时间限定 趋势,,,图 中 ① ② ③ ④ 四地 该 日后 三 个 月 内 正午太阳高度 增大 的 有 ③ ④,图 中 ① ② ③ ④ 四地 该 日后 三 个 月 内 正午太阳高度 增大 的 有 ③ ④,NN LC loc NN LC time term VV DEC VE NN NN,( (IP (LCP (NP (NN 图)) (LC 中)) (LCP (NP (NR ①②③④四地) (NN 该日)) (LC 后)) (NP (CP (IP (NP (NT 三个月内)) (NP (NN 正午太阳高度)) (VP (VV 增大))) (DEC 的))) (VP (VE 有) (NP (NN ③) (NN ④)))) )
5-A,该日	印度半岛盛行东北季风,None,,2,4,,该 日 印度半岛 盛行 东北季风,该 日 印度 半岛 盛行 东北 季风,DT M loc VV term,,时间限定_0（该日）实体信息陈述_1（印度半岛，盛行，东北季风）,时间限定_0（该日）实体信息陈述_1（印度半岛，盛行，东北季风）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,,该 日 印度半岛 盛行 东北季风,该 日 印度半岛 盛行 东北季风,DT M loc VV term,( (IP (NP (DP (DT 该) (CLP (M 日))) (NP (NR 印度半岛))) (VP (VV 盛行) (NP (NN 东北季风)))) )
5-B,该日	澳大利亚正值小麦收获季节,None,,2,,,该 日 澳大利亚 正 值 小麦 收获 季节,该 日 澳大利亚 正 值 小麦 收获 季节,DT M loc AD VV NN NN NN,,时间限定_0（该日）实体信息陈述_1（澳大利亚，正值，小麦收获季节）,时间限定_0（该日）实体信息陈述_1（澳大利亚，正值，小麦收获季节）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,2,该 日 澳大利亚 正值 小麦 收获 季节,该 日 澳大利亚 正值 小麦 收获 季节,DT M loc JJ NN NN NN,( (IP (NP (DP (DT 该) (CLP (M 日))) (NP (NR 澳大利亚))) (VP (ADVP (AD 正)) (VP (VV 值) (NP (NP (NN 小麦)) (PRN (NP (NN 收获) (NN 季节))))))) )
5-C,该日	③地附近草木枯黄,None,,2,,,该 日 ③地 附近 草木 枯黄,该 日 ③地 附近 草木 枯黄,DT M loc NN NN VA,,时间限定_0（该日）实体信息陈述_1（③地附近，草木，枯黄）,时间限定_0（该日）实体信息陈述_1（③地附近，草木，枯黄）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,2,,该 日 ③地 附近 草木 枯黄,该 日 ③地 附近 草木 枯黄,DT M loc NN NN VA,( (IP (NP (DP (DT 该) (CLP (M 日))) (NP (NR ③地)) (NP (NN 附近))) (NP (NN 草木)) (VP (VA 枯黄))) )
5-D,该日	④地正值科考最佳季节,None,,2,,,该 日 ④地 正 值 科考 最 佳 季节,该 日 ④地 正 值 科考 最 佳 季节,DT M loc AD VV NN AD VA NN,,时间限定_0（该日）实体信息陈述_1（④地，正值，科考最佳季节）,时间限定_0（该日）实体信息陈述_1（④地，正值，科考最佳季节）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,2,,该 日 ④地 正值 科考 最 佳 季节,该 日 ④地 正值 科考 最 佳 季节,DT M loc NN NN AD JJ NN,( (IP (NP (DP (DT 该) (CLP (M 日))) (NP (NR ④地))) (VP (ADVP (AD 正)) (VP (VV 值) (NP (IP (NP (NN 科考)) (VP (ADVP (AD 最)) (VP (VA 佳)))) (NP (NN 季节)))))) )
6-A,某军舰在①地（40°N，160°E）向正南发射射程为2000千米的远程导弹，其落点位于	东半球、热带,None,,3,22 24,5 7 14,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000千米 的 远程 导弹 ， 其 落点 位于 东半球 、 热带,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 东半球 、 热带,DT NN P loc PU num PU num PU P NN VV NN P num DEG NN NN PU PN NN VV term PU term,,位于_0（落点，东半球、热带）,位于_0（落点，东半球、热带）,0_21,0_21,位于,位于,3,22,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 东半球 、 热带,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 东半球 、 热带,DT NN P loc PU num PU num PU P NR VV NN P num DEG NN NN PU PN NN VV term PU term,( (IP (NP (DP (DT 某)) (NP (NN 军舰))) (VP (PP (P 在) (NP (NR ①地) (PRN (PU （) (QP (CD 40°N) (PU ，) (CD 160°E)) (PU ）)))) (PP (P 向) (NP (NN 正南))) (VP (VV 发射) (IP (NP (NN 射程)) (VP (PP (P 为) (NP (NP (DNP (QP (CD 2000千米)) (DEG 的)) (NP (NN 远程) (NN 导弹))) (PU ，) (NP (NP (PN 其)) (NP (NN 落点))))) (VP (VV 位于) (NP (NN 东半球) (PU 、) (NN 热带)))))))) )
6-B,某军舰在①地（40°N，160°E）向正南发射射程为2000千米的远程导弹，其落点位于	东半球、北温带,None,,3,22 24,5 7 14,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000千米 的 远程 导弹 ， 其 落点 位于 东半球 、 北温带,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 东半球 、 北温带,DT NN P loc PU num PU num PU P NN VV NN P num DEG NN NN PU PN NN VV term PU term,,位于_0（落点，东半球、北温带）,位于_0（落点，东半球、北温带）,0_21,0_21,位于,位于,3,22,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 东半球 、 北温带,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 东半球 、 北温带,DT NN P loc PU num PU num PU P NR VV NN P num DEG NN NN PU PN NN VV term PU term,( (IP (NP (DP (DT 某)) (NP (NN 军舰))) (VP (PP (P 在) (NP (NR ①地) (PRN (PU （) (QP (CD 40°N) (PU ，) (CD 160°E)) (PU ）)))) (PP (P 向) (NP (NN 正南))) (VP (VV 发射) (IP (NP (NN 射程)) (VP (PP (P 为) (NP (NP (DNP (QP (CD 2000千米)) (DEG 的)) (NP (NN 远程) (NN 导弹))) (PU ，) (NP (NP (PN 其)) (NP (NN 落点))))) (VP (VV 位于) (NP (NN 东半球) (PU 、) (NN 北温带)))))))) )
6-C,某军舰在①地（40°N，160°E）向正南发射射程为2000千米的远程导弹，其落点位于	西半球、热带,None,,3,22 24,5 7 14,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000千米 的 远程 导弹 ， 其 落点 位于 西半球 、 热带,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 西半球 、 热带,DT NN P loc PU num PU num PU P NN VV NN P num DEG NN NN PU PN NN VV term PU term,,位于_0（落点，西半球、热带）,位于_0（落点，西半球、热带）,0_21,0_21,位于,位于,3,22,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 西半球 、 热带,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 西半球 、 热带,DT NN P loc PU num PU num PU P NR VV NN P num DEG NN NN PU PN NN VV term PU term,( (IP (NP (DP (DT 某)) (NP (NN 军舰))) (VP (PP (P 在) (NP (NR ①地) (PRN (PU （) (QP (CD 40°N) (PU ，) (CD 160°E)) (PU ）)))) (PP (P 向) (NP (NN 正南))) (VP (VV 发射) (IP (NP (NN 射程)) (VP (PP (P 为) (NP (NP (DNP (QP (CD 2000千米)) (DEG 的)) (NP (NN 远程) (NN 导弹))) (PU ，) (NP (NP (PN 其)) (NP (NN 落点))))) (VP (VV 位于) (NP (NN 西半球) (PU 、) (NN 热带)))))))) )
