编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,图1中	帕斯位于Q地的西北方向,None,,2 4,,,图1 中 帕斯 位于 Q地 的 西北 方向,图1 中 帕斯 位于 Q地 的 西北 方向,NN LC loc VV loc DEG NN NN,,,,,,,,,4,图1 中 帕斯 位于 Q地 的 西北方 向,图1 中 帕斯 位于 Q地 的 西北方 向,NN LC loc VV loc DEG NN NN,( (IP (NP (LCP (NP (NN 图1)) (LC 中)) (NP (NR 帕斯))) (VP (VV 位于) (NP (DNP (NP (NR Q地)) (DEG 的)) (NP (NN 西北) (NN 方向))))) )
3-④,图3为某地相关资料统计图，该地	受副热带高压和信风交替控制,None,,,10 12,,图3 为 某地 相关 资料 统计图 ， 该 地 受 副热带高压 和 信风 交替 控制,图3 为 某地 相关 资料 统计图 ， 该 地 受 副 热带 高压 和 信风 交替 控制,NN VC NN JJ NN NN PU DT NN VV term CC term VV VV,,,,,,,,,,图3 为 某地 相关 资料 统计图 ， 该 地 受 副热带高压 和 信风 交替 控制,图3 为 某地 相关 资料 统计图 ， 该 地 受 副热带高压 和 信风 交替 控制,NN VC NN JJ NN NN PU DT NN VV term CC term VV VV,( (IP (IP (NP (NN 图3)) (VP (VC 为) (NP (NP (NN 某地)) (ADJP (JJ 相关)) (NP (NN 资料) (NN 统计图))))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 受) (NP (NN 副热带高压)))) (CC 和) (IP (NP (NN 信风)) (VP (VCD (VV 交替) (VV 控制))))) )
4-A,图4为某地地质剖面图，该地区	曾发生过地壳运动和变质作用,None,,,3 10 12,,图4 为 某地 地质剖面图 ， 该 地区 曾 发生 过 地壳运动 和 变质作用,图4 为 某地 地质 剖面图 ， 该 地区 曾 发生 过 地壳 运动 和 变质 作用,NN VC NN term PU DT NN AD VV AS term CC term,,,,,,,,,,图4 为 某地 地质 剖面图 ， 该 地区 曾 发生 过 地壳运动 和 变质作用,图4 为 某地 地质 剖面图 ， 该 地区 曾 发生 过 地壳运动 和 变质作用,NN VC NN term PU DT NN AD VV AS term CC term,( (IP (IP (NP (NN 图4)) (VP (VC 为) (NP (NN 某地) (NN 地质剖面图)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 曾)) (VP (VV 发生) (AS 过) (NP (NN 地壳运动) (CC 和) (NN 变质作用)))))) )
4-B,图4为某地地质剖面图，该地区	岩石形成①早于②、②晚于③,None,,,3,,图4 为 某地 地质剖面图 ， 该 地区 岩石 形成 ① 早于 ② 、 ② 晚于 ③,图4 为 某地 地质 剖面图 ， 该 地区 岩石 形成 ① 早于 ② 、 ② 晚于 ③,NN VC NN term PU DT NN NN VV NN VV NN PU NN VV NN,,,,,,,,,,图4 为 某地 地质 剖面图 ， 该 地区 岩石 形成 ① 早于 ② 、 ② 晚于 ③,图4 为 某地 地质 剖面图 ， 该 地区 岩石 形成 ① 早于 ② 、 ② 晚于 ③,NN VC NN term PU DT NN NN VV NN VV NN PU NN VV NN,( (IP (IP (NP (NN 图4)) (VP (VC 为) (NP (NN 某地) (NN 地质剖面图)))) (PU ，) (IP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 岩石))) (VP (VP (VV 形成) (NP (NN ①))) (VP (VV 早于) (NP (NN ②))))) (PU 、) (IP (NP (NN ②)) (VP (VV 晚于) (NP (NN ③))))) )
4-C,图4为某地地质剖面图，该地区	④处岩石受挤压容易被侵蚀,None,,7,3 13,,图4 为 某地 地质剖面图 ， 该 地区 ④处 岩石 受 挤压 容易 被 侵蚀,图4 为 某地 地质 剖面图 ， 该 地区 ④处 岩石 受 挤压 容易 被 侵蚀,NN VC NN NN PU DT NN NN NN VV NN AD SB VV,,,,,,,,8,,图4 为 某地 地质 剖面图 ， 该 地区 ④处 岩石 受 挤压 容易 被 侵蚀,图4 为 某地 地质 剖面图 ， 该 地区 ④处 岩石 受 挤压 容易 被 侵蚀,NN VC NN NN PU DT NN NN NN VV NN AD SB VV,( (IP (IP (NP (NN 图4)) (VP (VC 为) (NP (NN 某地) (NN 地质剖面图)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN ④处) (NN 岩石)) (VP (VP (VV 受) (NP (NN 挤压))) (VP (ADVP (AD 容易)) (VP (SB 被) (VP (VV 侵蚀))))))) )
4-D,图4为某地地质剖面图，该地区	地形以背斜谷、向斜山为主,None,,,3 9 11,,图4 为 某地 地质剖面图 ， 该 地区 地形 以 背斜谷 、 向斜山 为 主,图4 为 某地 地质 剖面图 ， 该 地区 地形 以 背斜谷 、 向斜山 为 主,NN VC NN NN PU DT NN NN P NN PU NN VV NN,,,,,,,,,,图4 为 某地 地质 剖面图 ， 该 地区 地形 以 背斜谷 、 向斜山 为 主,图4 为 某地 地质 剖面图 ， 该 地区 地形 以 背斜谷 、 向斜山 为 主,NN VC NN NN PU DT NN NN P NN PU NR VV NN,( (IP (IP (NP (NN 图4)) (VP (VC 为) (NP (NN 某地) (NN 地质剖面图)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 地形)) (VP (PP (P 以) (NP (NN 背斜谷) (PU 、) (NN 向斜山))) (VP (VV 为) (NP (NN 主)))))) )
5-A,图5为某地理事象过程示意图，若	该图为南水北调东线工程，则甲地区对水资源需求量小,n,,17,,,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小,NN VC DT NN NN NN NN PU CS DT NN VC NN NN NN PU AD loc P NN NN VA,,,,,,,,,,图5 为 某地 理事 象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小,图5 为 某地 理事 象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小,NN VC NN NN P NN NN PU CS DT NN VC NR NN NN PU AD loc P NN NN VA,( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 南水北调) (NN 东线) (NN 工程))))) (PU ，) (IP (ADVP (AD 则)) (NP (NP (NR 甲地区)) (PP (P 对) (NP (NN 水资源))) (NP (NN 需求量))) (VP (VA 小))))) )
5-B,图5为某地理事象过程示意图，若	图中F为岩石圈物质循环中的重熔作用，则乙为岩浆岩,n,,,18 23,,图5 为 某 地理 事象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质 循环 中 的 重熔作用 ， 则 乙 为 岩浆岩,图5 为 某 地理 事象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质 循环 中 的 重熔 作用 ， 则 乙 为 岩浆岩,NN VC DT NN NN NN NN PU CS NN LC NN VC NN NN NN LC DEG term PU AD NN VV term,,,,,,,,,,图5 为 某地 理事 象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质循环 中 的 重熔作用 ， 则乙 为 岩浆岩,图5 为 某地 理事 象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质循环 中 的 重熔作用 ， 则乙 为 岩浆岩,NN VC NN NN P NN NN PU CS NN LC NN VC NN NN VV LC DEG term PU AD VV VV term,( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN F))) (VP (VC 为) (NP (NP (NN 岩石圈)) (DNP (LCP (NP (NN 物质) (NN 循环)) (LC 中)) (DEG 的)) (NP (NN 重熔作用)))))) (PU ，) (VP (ADVP (AD 则)) (PP (NP (NN 乙))) (VP (VV 为) (NP (NN 岩浆岩)))))) )
5-C,图5为某地理事象过程示意图，若	该图为人口迁移示意图，则此过程可缓解甲地人地矛盾,n,,21,,,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾,NN VC DT NN NN NN NN PU CS DT NN VC NN NN NN PU AD PN NN VV VV loc NN NN,,,,,,,,,,图5 为 某地 理事 象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾,图5 为 某地 理事 象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾,NN VC NN NN P NN NN PU CS DT NN VC NN VV NN PU AD PN NN VV VV loc NN NN,( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 人口) (NN 迁移) (NN 示意图))))) (PU ，) (IP (ADVP (AD 则)) (NP (NP (PN 此)) (NP (NN 过程))) (VP (VV 可) (VP (VV 缓解) (NP (NP (NP (NR 甲地)) (NP (NN 人地))) (NP (NN 矛盾)))))))) )
5-D,图5为某地理事象过程示意图，若	该图为水循环示意图的局部，甲代表海洋，则f为降水,n,,,12,,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水,图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水,NN VC DT NN NN NN NN PU CS DT NN VC term NN DEG NN PU NN VV NN PU AD NN VV NN,,,,,,,,,,图5 为 某地 理事 象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水,图5 为 某地 理事 象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水,NN VC NN NN P NN NN PU CS DT NN VC term NR DEG NN PU VV VV NN PU AD VV VV VV,( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (DNP (NP (NN 水循环) (NN 示意图)) (DEG 的)) (NP (NN 局部)))))) (PU ，) (IP (NP (NN 甲)) (VP (VV 代表) (NP (NN 海洋)))) (PU ，) (VP (ADVP (AD 则)) (PP (NP (NN f))) (VP (VV 为) (NP (NN 降水)))))) )
6-A,据图6可知	北京正在经历大风雨雪天气,None,,4,,,据 图6 可 知 北京 正在 经历 大风 雨雪 天气,据 图6 可 知 北京 正在 经历 大风 雨雪 天气,P NN VV VV loc AD VV NN NN NN,,,,,,,,,3,据 图6 可知 北京 正在 经历 大风雨 雪天 气,据 图6 可知 北京 正在 经历 大风雨 雪天 气,P NN VA loc AD VV VV NN NN,( (IP (VP (PP (P 据) (NP (NN 图6))) (VP (VV 可) (VP (VV 知) (IP (NP (NR 北京)) (VP (ADVP (AD 正在)) (VP (VV 经历) (NP (NP (NN 大风) (NN 雨雪)) (NP (NN 天气)))))))))) )
6-B,据图6可知	宁夏平原云量大于日本北部,None,,4 7,,,据 图6 可 知 宁夏平原 云量 大于 日本北部,据 图6 可 知 宁夏 平原 云量 大于 日本 北部,P NN VV VV loc NN VV loc,,,,,,,,,6,据 图6 可知 宁夏 平原 云量 大于 日本 北部,据 图6 可知 宁夏 平原 云量 大于 日本 北部,P NN VV loc NN VV loc,( (IP (VP (PP (P 据) (NP (NN 图6))) (VP (VV 可) (VP (VV 知) (IP (NP (NP (NR 宁夏平原)) (NP (NN 云量))) (VP (VV 大于) (NP (NR 日本北部)))))))) )
6-C,据图6可知	东北平原风力小于四川盆地,None,,4 7,,,据 图6 可 知 东北平原 风力 小于 四川盆地,据 图6 可 知 东北 平原 风力 小于 四川 盆地,P NN VV VV loc NN VV loc,,,,,,,,,,据 图6 可知 东 北平原 风力 小于 四川盆地,据 图6 可知 东北平原 风力 小于 四川盆地,P NN VV loc NN VV loc,( (IP (VP (PP (P 据) (IP (NP (NN 图6)) (VP (VV 可) (VP (VV 知) (NP (NP (NR 东北平原)) (NP (NN 风力))))))) (VP (VV 小于) (NP (NR 四川盆地))))) )
6-D,据图6可知	湘、赣北部及沪等地将降温,None,,4 6,,,据 图6 可 知 湘、赣北部 及 沪 等 地 将 降温,据 图6 可 知 湘 、 赣 北部 及 沪 等 地 将 降温,P NN VV VV loc CC loc ETC NN AD VV,,,,,,,,,,据 图6 可 知湘 、 赣北 部及沪 等 地 将 降温,据 图6 可 知湘 、 赣北 部及沪 等 地 将 降温,P NN VV VV loc CC loc ETC NN AD VV,( (PP (P 据) (IP (NP (NN 图6)) (VP (VV 可) (VP (VV 知) (IP (NP (NP (NR 湘、赣北部) (CC 及) (NR 沪) (ETC 等)) (NP (NN 地))) (VP (ADVP (AD 将)) (VP (VV 降温)))))))) )
7-A,该地区	若布局合理，则主导风向为西南风,n,,,10,,该 地区 若 布局 合理 ， 则 主导 风向 为 西南风,该 地区 若 布局 合理 ， 则 主导 风向 为 西南风,DT NN CS NN VA PU AD NN NN VC term,,,,,,,,,,该 地区 若 布局 合理 ， 则 主导 风向 为 西南 风,该 地区 若 布局 合理 ， 则 主导 风向 为 西南 风,DT NN CS NN VA PU AD VV VV VV term,( (IP (IP (NP (DP (DT 该)) (NP (NN 地区))) (ADVP (CS 若)) (NP (NN 布局)) (VP (VA 合理))) (PU ，) (ADVP (AD 则)) (NP (NN 主导) (NN 风向)) (VP (VC 为) (NP (NN 西南风)))) )
7-B,该地区	经济作物分布区可种植棉花、甘蔗,None,,,,,该 地区 经济 作物 分布区 可 种植 棉花 、 甘蔗,该 地区 经济 作物 分布区 可 种植 棉花 、 甘蔗,DT NN NN NN NN VV VV NN PU NN,,,,,,,,,,该 地区 经济 作物 分布区 可 种植 棉花 、 甘蔗,该 地区 经济 作物 分布区 可 种植 棉花 、 甘蔗,DT NN NN NN NN VV VV NN PU NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 经济) (NN 作物) (NN 分布区))) (VP (VV 可) (VP (VV 种植) (NP (NN 棉花) (PU 、) (NN 甘蔗))))) )
7-C,该地区	河流存在明显的夏汛和凌汛现象,None,,,6 8,,该 地区 河流 存在 明显 的 夏汛 和 凌汛 现象,该 地区 河流 存在 明显 的 夏汛 和 凌汛 现象,DT NN NN VV VA DEC term CC term NN,,,,,,,,,,该 地区 河流 存在 明显 的 夏汛 和 凌汛 现象,该 地区 河流 存在 明显 的 夏汛 和 凌汛 现象,DT NN AD VV VA DEC term CC term NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 河流))) (VP (VV 存在) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 夏汛) (CC 和) (NN 凌汛)) (NP (NN 现象))))) )
7-D,该地区	环境因素对城市地域结构影响不大,None,,,,,该 地区 环境 因素 对 城市 地域 结构 影响 不 大,该 地区 环境 因素 对 城市 地域 结构 影响 不 大,DT NN NN NN P NN NN NN NN AD VA,,,,,,,,,,该 地区 环境 因素 对 城市 地域 结构 影响 不 大,该 地区 环境 因素 对 城市 地域 结构 影响 不 大,DT NN NN NN P NN NN NN NN AD VA,( (IP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 环境) (NN 因素))) (PP (P 对) (NP (NN 城市) (NN 地域) (NN 结构))) (NP (NN 影响)) (VP (ADVP (AD 不)) (VP (VA 大)))) )
8-①,为进一步提高城乡一体化发展水平，该地区还应	提升农民收入,None,,,,,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 提升 农民 收入,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 提升 农民 收入,P AD VV NN NN NN NN PU DT NN AD VV VV NN NN,,,,,,,,,,为 进一步 提 高城 乡 一体化 发展 水平 ， 该 地区 还 应 提升 农民 收入,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 提升 农民 收入,P AD VV NN NN NN NN PU DT NN AD VV VV NN NN,( (IP (PP (P 为) (IP (VP (ADVP (AD 进一步)) (VP (VV 提高) (NP (NN 城乡) (NN 一体化) (NN 发展) (NN 水平)))))) (PU ，) (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 还)) (VP (VV 应) (VP (VV 提升) (NP (NN 农民) (NN 收入)))))) )
8-②,为进一步提高城乡一体化发展水平，该地区还应	大力发展房地产建筑业,None,,,,,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 大力 发展 房地产 建筑业,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 大力 发展 房地产 建筑业,P AD VV NN NN NN NN PU DT NN AD VV AD VV NN NN,,,,,,,,,,为 进一步 提 高城 乡 一体化 发展 水平 ， 该 地区 还 应 大力 发展 房地产 建筑 业,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 大力 发展 房地产 建筑 业,P AD VV NN NN NN NN PU DT NN AD VV AD VV NN NN NN,( (IP (PP (P 为) (IP (VP (ADVP (AD 进一步)) (VP (VV 提高) (NP (NN 城乡) (NN 一体化) (NN 发展) (NN 水平)))))) (PU ，) (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 还)) (VP (VV 应) (VP (ADVP (AD 大力)) (VP (VV 发展) (NP (NN 房地产) (NN 建筑业))))))) )
