编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
3-C,图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	③②④,None,,,,,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ③ ② ④,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ③ ② ④,NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN,,匹配_0（博物馆，③）匹配_1（乡镇行政机构，②）匹配_2（集贸市场，④）,匹配_0（博物馆，③）匹配_1（乡镇行政机构，②）匹配_2（集贸市场，④）,0_5-18 1_5-18 2_5-18,0_5-18 1_5-18 2_5-18,匹配 匹配 匹配,匹配 匹配 匹配,,,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ③ ② ④,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ③ ② ④,NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU VV NN AD VC AD VV NN,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 为) (NP (NN 博物馆)))))) (PU 、) (IP (NP (NN 乡) (PU （) (NN 镇) (PU ）) (NN 行政) (NN 机构) (PU 、) (NN 集贸) (NN 市场)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN ③) (NN ②) (NN ④)))))) )
3-D,图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	①④⑤,None,,,,,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ① ④ ⑤,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ① ④ ⑤,NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN,,匹配_0（博物馆，①）匹配_1（乡镇行政机构，④）匹配_2（集贸市场，⑤）,匹配_0（博物馆，①）匹配_1（乡镇行政机构，④）匹配_2（集贸市场，⑤）,0_5-18 1_5-18 2_5-18,0_5-18 1_5-18 2_5-18,匹配 匹配 匹配,匹配 匹配 匹配,,,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ① ④ ⑤,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ① ④ ⑤,NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU VV NN AD VC AD VV NN,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 为) (NP (NN 博物馆)))))) (PU 、) (IP (NP (NN 乡) (PU （) (NN 镇) (PU ）) (NN 行政) (NN 机构) (PU 、) (NN 集贸) (NN 市场)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN ①) (NN ④) (NN ⑤)))))) )
4-A,图中	甲地陡峻，喀斯特地貌典型,y,,2,5,,图 中 甲地 陡峻 ， 喀斯特地貌 典型,图 中 甲地 陡峻 ， 喀斯特 地貌 典型,NN LC loc VA PU term VA,,实体信息陈述_0（甲地，#，陡峻）实体信息陈述_1（甲地，喀斯特地貌，典型）,实体信息陈述_0（甲地，#，陡峻）实体信息陈述_1（甲地，喀斯特地貌，典型）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,图 中 甲地 陡峻 ， 喀斯特地貌 典型,图 中 甲地 陡峻 ， 喀斯特地貌 典型,NN LC loc NN PU term NN,( (IP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲地))) (VP (VA 陡峻))) (PU ，) (IP (NP (NN 喀斯特地貌)) (VP (VA 典型)))) )
4-A-0,图中	甲地陡峻,ed-ori,,2,,,图 中 甲地 陡峻,图 中 甲地 陡峻,NN LC loc VA,,实体信息陈述_0（甲地，#，陡峻）,实体信息陈述_0（甲地，#，陡峻）,,,实体信息陈述,实体信息陈述,,,图 中 甲地 陡峻,图 中 甲地 陡峻,NN LC loc NN,( (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲地)) (VP (VA 陡峻))) )
4-A-1,图中	甲地喀斯特地貌典型,ed-mod,,2,3,,图 中 甲地 喀斯特地貌 典型,图 中 甲地 喀斯特 地貌 典型,NN LC loc term VA,,实体信息陈述_0（甲地，喀斯特地貌，典型）,实体信息陈述_0（甲地，喀斯特地貌，典型）,,,实体信息陈述,实体信息陈述,,,图 中 甲地 喀斯特地貌 典型,图 中 甲地 喀斯特地貌 典型,NN LC loc term NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲地)) (NP (NN 喀斯特地貌))) (VP (VA 典型))) )
4-B,图中	乙地低平，泥石流灾害频发,y,,2,5,,图 中 乙地 低平 ， 泥石流 灾害 频发,图 中 乙地 低平 ， 泥石流 灾害 频发,NN LC loc VA PU term NN VV,,实体信息陈述_0（乙地，#，低平）实体信息陈述_1（乙地，泥石流灾害，频发）,实体信息陈述_0（乙地，#，低平）实体信息陈述_1（乙地，泥石流灾害，频发）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,图 中 乙地 低平 ， 泥石流 灾害 频发,图 中 乙地 低平 ， 泥石流 灾害 频发,NN LC loc NN PU term NN VV,( (IP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 乙地))) (VP (VA 低平))) (PU ，) (IP (NP (NN 泥石流) (NN 灾害)) (VP (VV 频发)))) )
4-B-0,图中	乙地低平,ed-ori,,2,,,图 中 乙地 低平,图 中 乙地 低平,NN LC loc VA,,实体信息陈述_0（乙地，#，低平）,实体信息陈述_0（乙地，#，低平）,,,实体信息陈述,实体信息陈述,,,图 中 乙地 低平,图 中 乙地 低平,NN LC loc NN,( (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 乙地)) (VP (VA 低平))) )
4-B-1,图中	乙地泥石流灾害频发,ed-mod,,2,3,,图 中 乙地 泥石流 灾害 频发,图 中 乙地 泥石流 灾害 频发,NN LC loc term NN VV,,实体信息陈述_0（乙地，泥石流灾害，频发）,实体信息陈述_0（乙地，泥石流灾害，频发）,,,实体信息陈述,实体信息陈述,,,图 中 乙地 泥石流 灾害 频发,图 中 乙地 泥石流 灾害 频发,NN LC loc term NN VV,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NR 乙地)) (NP (NN 泥石流) (NN 灾害)))) (VP (VV 频发))) )
4-B,图中	丙村比丁村土层深厚,None,,2 4,,,图 中 丙村 比 丁村 土层 深厚,图 中 丙村 比 丁村 土层 深厚,NN LC loc P loc NN VA,,比较_0（丙村，丁村，土层，深厚）,比较_0（丙村，丁村，土层，深厚）,0_3,0_3,比较,比较,,4,图 中 丙村 比丁村 土层 深厚,图 中 丙村 比丁村 土层 深厚,NN LC loc P loc NN VA,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 丙村))) (VP (PP (P 比) (NP (NR 丁村) (NN 土层))) (VP (VA 深厚)))) )
4-D,图中	丁村比丙村地下水埋藏浅,None,,2 4,,,图 中 丁村 比 丙村 地下水 埋藏 浅,图 中 丁村 比 丙村 地下水 埋藏 浅,NN LC loc P loc NN VV VA,,比较_0（丁村，丙村，地下水埋藏，浅）,比较_0（丁村，丙村，地下水埋藏，浅）,0_3,0_3,比较,比较,,2,图 中丁村 比 丙村 地下水 埋藏 浅,图 中丁村 比 丙村 地下水 埋藏 浅,NN LC loc P loc NN VV VA,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR 丁村))) (VP (PP (P 比) (NP (NR 丙村) (NN 地下水))) (VP (VRD (VV 埋藏) (VA 浅))))) )
5-A,图示地区	地势西高东低、南高北低,None,,,,,图示 地区 地势 西 高 东 低 、 南 高 北 低,图示 地区 地势 西 高 东 低 、 南 高 北 低,VA NN NN NN VA NN VA PU NN VA NN VA,,实体信息陈述_0（图示地区，地势，西高东低）实体信息陈述_1（图示地区，地势，南高北低）,实体信息陈述_0（图示地区，地势，西高东低）实体信息陈述_1（图示地区，地势，南高北低）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,图示 地区 地势 西高东 低 、 南高北低,图示 地区 地势 西高东 低 、 南高北低,NN NN NN NN JJ NN VA PU NN JJ NN VA,( (IP (IP (IP (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 地势))) (IP (IP (NP (NN 西)) (VP (VA 高))) (IP (NP (NN 东)) (VP (VA 低))))) (PU 、) (IP (NP (NN 南)) (VP (VA 高)))) (NP (NN 北)) (VP (VA 低))) )
5-B,图示地区	山前平原受外力侵蚀作用明显,None,,,3 5,,图示 地区 山前 平原 受 外力侵蚀作用 明显,图示 地区 山前 平原 受 外力 侵蚀 作用 明显,VA NN NN term VV term VA,,影响_0（外力侵蚀作用，图示地区山前平原，#）,影响_0（外力侵蚀作用，图示地区山前平原，#）,0_4,0_4,影响,影响,,,图示 地区 山前 平原 受 外力 侵蚀作用 明显,图示 地区 山前 平原 受 外力 侵蚀作用 明显,NN NN NN term VV term VA,( (IP (NP (NP (CP (VP (VA 图示))) (NP (NN 地区))) (NP (NN 山前) (NN 平原))) (VP (VV 受) (IP (NP (NN 外力侵蚀作用)) (VP (VA 明显))))) )
5-B,图示地区	洪积扇面积差异取决于降水量,None,,,,,图示 地区 洪积扇 面积 差异 取决 于 降水量,图示 地区 洪积扇 面积 差异 取决 于 降水量,VA NN NN NN NN VV P NN,,因果_0（降水量，图示地区洪积扇面积差异）,因果_0（降水量，图示地区洪积扇面积差异）,0_5-6,0_5-6,因果,因果,,,图示 地区 洪积扇 面积 差异 取决 于 降水 量,图示 地区 洪积扇 面积 差异 取决 于 降水 量,NN NN NN NN NN VV P NN,( (IP (NP (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 洪积扇) (NN 面积))) (NP (NN 差异))) (VP (VV 取决) (PP (P 于) (NP (NN 降水量))))) )
5-D,图示地区	渠水通过蒸发环节参与水循环,None,,,,,图示 地区 渠水 通过 蒸发 环节 参与 水循环,图示 地区 渠水 通过 蒸发 环节 参与 水循环,VA NN NN P VV NN VV NN,,实体信息陈述_0（图示地区渠水，通过蒸发环节参与，水循环）,实体信息陈述_0（图示地区渠水，通过蒸发环节参与，水循环）,,,实体信息陈述,实体信息陈述,,,图示 地区 渠水 通过 蒸发 环节 参与 水循环,图示 地区 渠水 通过 蒸发 环节 参与 水循环,NN NN NN P VV NN VV NN,( (IP (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 渠水))) (VP (PP (P 通过) (IP (VP (VV 蒸发) (NP (NN 环节))))) (VP (VV 参与) (NP (NN 水循环))))) )
6-A,该优惠政策有助于	游客对旅游目的地进行选择,None,,,,,该 优惠 政策 有助于 游客 对 旅游 目的地 进行 选择,该 优惠 政策 有助于 游客 对 旅游 目的地 进行 选择,DT NN NN VV NN P NN NN VV NN,,影响_0（该优惠政策，游客，对旅游目的地进行选择）,影响_0（该优惠政策，游客，对旅游目的地进行选择）,0_3,0_3,影响,影响,,,该 优惠 政策 有 助于 游客 对 旅游 目的地 进行 选择,该 优惠 政策 有 助于 游客 对 旅游 目的地 进行 选择,DT NN NN VE VV NN P NN NN VV NN,( (IP (NP (DP (DT 该)) (NP (NN 优惠) (NN 政策))) (VP (VV 有助于) (IP (NP (NN 游客)) (VP (PP (P 对) (NP (NN 旅游) (NN 目的地))) (VP (VV 进行) (NP (NN 选择))))))) )
6-B,该优惠政策有助于	提升当地旅游资源价值,None,,,,,该 优惠 政策 有助于 提升 当地 旅游 资源 价值,该 优惠 政策 有助于 提升 当地 旅游 资源 价值,DT NN NN VV VV NN NN NN NN,,因果_0（该优惠政策，提升当地旅游资源价值）,因果_0（该优惠政策，趋势_1（当地旅游资源，价值，#，提升））,0_3,0_3 1_4,因果,因果 趋势,,,该 优惠 政策 有 助于 提升 当地 旅游 资源 价值,该 优惠 政策 有 助于 提升 当地 旅游 资源 价值,DT NN NN VE VV VV NN NN NN NN,( (IP (NP (DP (DT 该)) (NP (NN 优惠) (NN 政策))) (VP (VV 有助于) (IP (VP (VV 提升) (NP (NN 当地) (NN 旅游) (NN 资源) (NN 价值)))))) )
6-C,该优惠政策有助于	降低游客交通与游览用时的比值,None,,,,,该 优惠 政策 有助于 降低 游客 交通 与 游览 用时 的 比值,该 优惠 政策 有助于 降低 游客 交通 与 游览 用时 的 比值,DT NN NN VV VV NN NN CC NN NN DEG NN,,因果_0（该优惠政策，降低游客交通与游览用时的比值）,因果_0（该优惠政策，趋势_1（游客，交通与游览用时的比值，#，降低））,0_3,0_3 1_4,因果,因果 趋势,,,该 优惠 政策 有 助于 降低 游客 交通 与 游览 用时 的 比值,该 优惠 政策 有 助于 降低 游客 交通 与 游览 用时 的 比值,DT NN NN VE VV VV NN NN CC VV NN DEG NN,( (IP (NP (DP (DT 该)) (NP (NN 优惠) (NN 政策))) (VP (VV 有助于) (IP (VP (VV 降低) (NP (DNP (NP (NN 游客) (NN 交通) (CC 与) (NN 游览) (NN 用时)) (DEG 的)) (NP (NN 比值))))))) )
6-D,该优惠政策有助于	提高旅游服务设施等级,None,,,,,该 优惠 政策 有助于 提高 旅游 服务 设施 等级,该 优惠 政策 有助于 提高 旅游 服务 设施 等级,DT NN NN VV VV NN NN NN NN,,因果_0（该优惠政策，提高旅游服务设施等级）,因果_0（该优惠政策，趋势_1（旅游服务设施，等级，#，提高））,0_3,0_3 1_4,因果,因果 趋势,,,该 优惠 政策 有 助于 提高 旅游 服务 设施 等 级,该 优惠 政策 有 助于 提高 旅游 服务 设施 等 级,DT NN NN VE VV VV NN NN NN NN,( (IP (NP (DP (DT 该)) (NP (NN 优惠) (NN 政策))) (VP (VV 有助于) (IP (VP (VV 提高) (NP (NN 旅游) (NN 服务) (NN 设施) (NN 等级)))))) )
7-A,下述景区组合中，旅游资源多样性最丰富的是	大相国寺、清明上河图、禹王谷、铁塔公园,None,,12 14 16 18,,,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 大相国寺 、 清明上河图 、 禹王谷 、 铁塔公园,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 大相国寺 、 清明 上河图 、 禹王谷 、 铁塔 公园,JJ NN NN LC PU NN NN NN AD VA DEC VC loc PU loc PU loc PU loc,,最值_0（大相国寺、清明上河图、禹王谷、铁塔公园，旅游资源多样性，丰富，#）,最值_0（集合_1（大相国寺，清明上河图，禹王谷，铁塔公园），旅游资源多样性，丰富，#）,0_8,0_8 1_13-15-17,最值,最值 集合,,,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 大 相国寺 、 清明 上 河图 、 禹王谷 、 铁塔公园,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 大相国寺 、 清明 上 河图 、 禹王谷 、 铁塔公园,VV NN NN LC PU NN NN NN AD VA DEC VC loc PU loc PU loc PU loc,( (IP (LCP (NP (ADJP (JJ 下述)) (NP (NN 景区) (NN 组合))) (LC 中)) (PU ，) (NP (CP (IP (NP (NN 旅游) (NN 资源) (NN 多样性)) (VP (ADVP (AD 最)) (VP (VA 丰富)))) (DEC 的))) (VP (VC 是) (NP (NR 大相国寺) (PU 、) (NR 清明上河图) (PU 、) (NR 禹王谷) (PU 、) (NR 铁塔公园)))) )
7-B,下述景区组合中，旅游资源多样性最丰富的是	太行大峡谷、红旗渠、殷墟、马氏庄园,None,,12 14 16 18,,,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 太行大峡谷 、 红旗渠 、 殷墟 、 马氏庄园,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 太行 大峡谷 、 红旗渠 、 殷墟 、 马氏 庄园,JJ NN NN LC PU NN NN NN AD VA DEC VC loc PU loc PU loc PU loc,,最值_0（太行大峡谷、红旗渠、殷墟、马氏庄园，旅游资源多样性，丰富，#）,最值_0（集合_1（太行大峡谷，红旗渠，殷墟，马氏庄园），旅游资源多样性，丰富，#）,0_8,0_8 1_13-15-17,最值,最值 集合,,,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 太行大峡谷 、 红旗渠 、 殷墟 、 马氏庄园,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 太行大峡谷 、 红旗渠 、 殷墟 、 马氏庄园,VV NN NN LC PU NN NN NN AD VA DEC VC loc PU loc PU loc PU loc,( (IP (LCP (NP (ADJP (JJ 下述)) (NP (NN 景区) (NN 组合))) (LC 中)) (PU ，) (NP (CP (IP (NP (NN 旅游) (NN 资源) (NN 多样性)) (VP (ADVP (AD 最)) (VP (VA 丰富)))) (DEC 的))) (VP (VC 是) (NP (NR 太行大峡谷) (PU 、) (NR 红旗渠) (PU 、) (NR 殷墟) (PU 、) (NR 马氏庄园)))) )
