编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
3-C,臭氧总量减少直接导致	酸雨区面积缩小,None,,,5,,臭氧 总量 减少 直接 导致 酸雨区 面积 缩小,臭氧 总量 减少 直接 导致 酸雨区 面积 缩小,NN NN VV AD VV term NN VV,,因果_0（臭氧总量减少，酸雨区面积缩小）,因果_0（趋势_1（臭氧，总量，，减少），趋势_2（酸雨区，面积，，缩小））,0_3-4,0_3-4 1_2 1_7,因果,因果 趋势 趋势,,,臭氧 总量 减少 直接 导致 酸雨区 面积 缩小,臭氧 总量 减少 直接 导致 酸雨区 面积 缩小,NN NN VV AD VV term NN VV,( (IP (NP (NN 臭氧) (NN 总量)) (VP (VV 减少) (VP (ADVP (AD 直接)) (VP (VV 导致) (IP (NP (NN 酸雨区) (NN 面积)) (VP (VV 缩小))))))) )
3-D,臭氧总量减少直接导致	地面辐射强度减弱,None,,,5,,臭氧 总量 减少 直接 导致 地面辐射强度 减弱,臭氧 总量 减少 直接 导致 地面 辐射 强度 减弱,NN NN VV AD VV term VV,,因果_0（臭氧总量减少，地面辐射强度减弱）,因果_0（趋势_1（臭氧，总量，，减少），趋势_2（地面辐射，强度，，减弱））,0_3-4,0_3-4 1_2 2_6,因果,因果 趋势 趋势,,,臭氧 总量 减少 直接 导致 地面辐射 强度 减弱,臭氧 总量 减少 直接 导致 地面辐射 强度 减弱,NN NN VV AD VV term VV,( (IP (NP (NN 臭氧) (NN 总量)) (VP (VV 减少) (VP (ADVP (AD 直接)) (VP (VV 导致) (IP (NP (NN 地面辐射强度)) (VP (VV 减弱))))))) )
4-A,图中山地年降水量	随海拔升高而递减,None,,,3,,图 中 山地 年降水量 随 海拔 升高 而 递减,图 中 山地 年 降水量 随 海拔 升高 而 递减,NN LC NN term P NN VV MSP VV,,趋势_0（图中山地，年降水量，随海拔升高，递减）,趋势_0（图中山地，年降水量，随海拔升高，递减）,0_4-7,0_4-7,趋势,趋势,,,图 中山 地 年降水量 随 海拔 升高 而 递减,图 中 山地 年降水量 随 海拔 升高 而 递减,NN LC NN term P NN VV MSP VV,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 山地) (NN 年降水量))) (VP (VP (PP (P 随) (NP (NN 海拔))) (VP (VV 升高))) (VP (MSP 而) (VP (VV 递减))))) )
4-B,图中山地年降水量	与山地气温垂直变化一致,None,,,3,,图 中 山地 年降水量 与 山地 气温 垂直 变化 一致,图 中 山地 年 降水量 与 山地 气温 垂直 变化 一致,NN LC NN term CC NN NN JJ NN NN,,比较_0（图中山地，，年降水量，气温垂直，变化一致）,比较_0（图中山地，，年降水量，气温垂直，变化一致）,0_4-9,0_4-9,比较,比较,,,图 中山 地 年降水量 与 山地 气温 垂直 变化 一致,图 中 山地 年降水量 与 山地 气温 垂直 变化 一致,NN LC NN term CC NN NN JJ NN NN,( (NP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NN 山地) (NN 年降水量)) (CC 与) (NP (NN 山地) (NN 气温)))) (ADJP (JJ 垂直)) (NP (NN 变化))) (NP (NN 一致))) )
4-C,图中山地年降水量	最大值所在海拔高度不同,None,,,3,,图 中 山地 年降水量 最大值 所 在 海拔 高度 不同,图 中 山地 年 降水量 最大值 所 在 海拔 高度 不同,NN LC NN term NN MSP P NN NN VA,,一般陈述_0（图中山地年降水量最大值所在海拔高度不同）,一般陈述_0（图中山地年降水量最大值所在海拔高度不同）,,,一般陈述,一般陈述,,,图 中山 地 年降水量 最 大值 所 在 海拔高度 不同,图 中 山地 年降水量 最 大值 所 在 海拔高度 不同,NN LC NN term AD NN MSP P NN AD VA,( (IP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 山地) (NN 年降水量)) (NP (NN 最大值))) (VP (MSP 所) (VP (PP (P 在) (NP (NN 海拔)))))) (NP (NN 高度)) (VP (VA 不同))) )
4-D,图中山地年降水量	垂直变化最大的是山地①,None,,,3,,图 中 山地 年降水量 垂直 变化 最 大 的 是 山地 ①,图 中 山地 年 降水量 垂直 变化 最 大 的 是 山地 ①,NN LC NN term JJ NN AD VA DEC VC NN NN,,最值_0（山地①，年降水量，垂直变化最大，图中山地）,最值_0（山地①，年降水量，垂直变化最大，图中山地）,0_6-7,0_6-7,最值,最值,,,图 中山 地 年降水量 垂直 变化 最 大 的 是 山地 ①,图 中 山地 年降水量 垂直 变化 最 大 的 是 山地 ①,NN LC NN term JJ NN AD VA DEC VC NN PU,( (IP (NP (CP (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 山地) (NN 年降水量))) (ADJP (JJ 垂直)) (NP (NN 变化))) (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的))) (VP (VC 是) (NP (NN 山地) (NN ①)))) )
5-A,山麓景观分别为温带荒漠和亚热带常绿阔叶林的是	①和②,None,,,4 6,,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ① 和 ②,山麓 景观 分别 为 温带 荒漠 和 亚热带 常绿 阔叶林 的 是 ① 和 ②,NN NN AD VC term CC term DEG VC NN CC NN,,匹配_0（列表_1（温带荒漠，亚热带常绿阔叶林）列表_2（ ①，②））,匹配_0（列表_1（温带荒漠，亚热带常绿阔叶林）列表_2（ ①，②））,0_2-3 1_2-5 2_2-10,0_2-3 1_2-5 2_2-10,匹配 列表 列表,匹配 列表 列表,,,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ① 和 ②,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ① 和 ②,NN NN AD VC term CC term DEG VC NN CC NN,( (IP (NP (NN 山麓) (NN 景观)) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (DNP (NP (NN 温带荒漠) (CC 和) (NN 亚热带常绿阔叶林)) (DEG 的)) (CP (VP (VC 是))) (NP (NN ①) (CC 和) (NN ②)))))) )
5-B,山麓景观分别为温带荒漠和亚热带常绿阔叶林的是	①和③,None,,,4 6,,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ① 和 ③,山麓 景观 分别 为 温带 荒漠 和 亚热带 常绿 阔叶林 的 是 ① 和 ③,NN NN AD VC term CC term DEG VC NN CC NN,,匹配_0（列表_1（温带荒漠，亚热带常绿阔叶林）列表_2（ ①，③））,匹配_0（列表_1（温带荒漠，亚热带常绿阔叶林）列表_2（ ①，③））,0_2-3 1_2-5 2_2-10,0_2-3 1_2-5 2_2-10,匹配 列表 列表,匹配 列表 列表,,,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ① 和 ③,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ① 和 ③,NN NN AD VC term CC term DEG VC NN CC NN,( (IP (NP (NN 山麓) (NN 景观)) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (DNP (NP (NN 温带荒漠) (CC 和) (NN 亚热带常绿阔叶林)) (DEG 的)) (CP (VP (VC 是))) (NP (NN ①) (CC 和) (NN ③)))))) )
5-C,山麓景观分别为温带荒漠和亚热带常绿阔叶林的是	②和④,None,,,4 6,,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ② 和 ④,山麓 景观 分别 为 温带 荒漠 和 亚热带 常绿 阔叶林 的 是 ② 和 ④,NN NN AD VC term CC term DEG VC NN CC NN,,匹配_0（列表_1（温带荒漠，亚热带常绿阔叶林）列表_2（ ②，④））,匹配_0（列表_1（温带荒漠，亚热带常绿阔叶林）列表_2（ ②，④））,0_2-3 1_2-5 2_2-10,0_2-3 1_2-5 2_2-10,匹配 列表 列表,匹配 列表 列表,,,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ② 和 ④,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ② 和 ④,NN NN AD VC term CC term DEG VC NN CC NN,( (IP (NP (NN 山麓) (NN 景观)) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (DNP (NP (NN 温带荒漠) (CC 和) (NN 亚热带常绿阔叶林)) (DEG 的)) (CP (VP (VC 是))) (NP (NN ②) (CC 和) (NN ④)))))) )
5-D,山麓景观分别为温带荒漠和亚热带常绿阔叶林的是	③和④,None,,,4 6,,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ③ 和 ④,山麓 景观 分别 为 温带 荒漠 和 亚热带 常绿 阔叶林 的 是 ③ 和 ④,NN NN AD VC term CC term DEG VC NN CC NN,,匹配_0（列表_1（温带荒漠，亚热带常绿阔叶林）列表_2（ ③，④））,匹配_0（列表_1（温带荒漠，亚热带常绿阔叶林）列表_2（ ③，④））,0_2-3 1_2-5 2_2-10,0_2-3 1_2-5 2_2-10,匹配 列表 列表,匹配 列表 列表,,,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ③ 和 ④,山麓 景观 分别 为 温带荒漠 和 亚热带常绿阔叶林 的 是 ③ 和 ④,NN NN AD VC term CC term DEG VC NN CC NN,( (IP (NP (NN 山麓) (NN 景观)) (VP (ADVP (AD 分别)) (VP (VC 为) (NP (DNP (NP (NN 温带荒漠) (CC 和) (NN 亚热带常绿阔叶林)) (DEG 的)) (CP (VP (VC 是))) (NP (NN ③) (CC 和) (NN ④)))))) )
6-A,该海域沿岸	存在上升流，为热带雨林气候,y,,,4 7,,该 海域 沿岸 存在 上升流 ， 为 热带雨林气候,该 海域 沿岸 存在 上升流 ， 为 热带 雨林 气候,DT NN NN VV term PU VC term,,位于_0（该海域沿岸，上升流）匹配_1（该海域沿岸，热带雨林气候）,位于_0（该海域沿岸，上升流）匹配_1（该海域沿岸，热带雨林气候）,0_0-3 1_0-6,0_0-3 1_0-6,位于 匹配,位于 匹配,,7,该 海域 沿岸 存在 上升流 ， 为 热带雨林气候,该 海域 沿岸 存在 上升流 ， 为 热带雨林气候,DT NN NN VV term PU P term,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VP (VV 存在) (NP (NN 上升流))) (PU ，) (VP (VC 为) (NP (NN 热带雨林气候))))) )
6-A-0,该海域沿岸	存在上升流,ed-ori,,,4,,该 海域 沿岸 存在 上升流,该 海域 沿岸 存在 上升流,DT NN NN VV term,,位于_0（该海域沿岸，上升流）,位于_0（该海域沿岸，上升流）,0_0-3,0_0-3,位于,位于,,,该 海域 沿岸 存在 上升流,该 海域 沿岸 存在 上升流,DT NN NN VV term,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VV 存在) (NP (NN 上升流)))) )
6-A-1,该海域沿岸	为热带雨林气候,ed-ori,,,4,,该 海域 沿岸 为 热带雨林气候,该 海域 沿岸 为 热带 雨林 气候,DT NN NN VC term,,匹配_0（该海域沿岸，热带雨林气候）,匹配_0（该海域沿岸，热带雨林气候）,0_0-3,0_0-3,匹配,匹配,,4,该 海域 沿岸 为 热带雨林气候,该 海域 沿岸 为 热带雨林气候,DT NN NN VC term,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VC 为) (NP (NN 热带雨林气候)))) )
6-B,该海域沿岸	有暖流经过，为热带草原气候,y,,,4 8,,该 海域 沿岸 有 暖流 经过 ， 为 热带草原气候,该 海域 沿岸 有 暖流 经过 ， 为 热带 草原 气候,DT NN NN VE term VV PU VC term,,位于_0（该海域沿岸，暖流）匹配_1（该海域沿岸，热带草原气候）,位于_0（该海域沿岸，暖流）匹配_1（该海域沿岸，热带草原气候）,0_0-3-5 1_0-7,0_0-3-5 1_0-7,位于 匹配,位于 匹配,,8,该 海域 沿岸 有 暖流 经过 ， 为 热带草原气候,该 海域 沿岸 有 暖流 经过 ， 为 热带草原气候,DT NN NN VE term P PU P term,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VP (VE 有) (IP (NP (NN 暖流)) (VP (VV 经过)))) (PU ，) (VP (VC 为) (NP (NN 热带草原气候))))) )
6-B-0,该海域沿岸	有暖流经过,ed-ori,,,4,,该 海域 沿岸 有 暖流 经过,该 海域 沿岸 有 暖流 经过,DT NN NN VE term VV,,位于_0（该海域沿岸，暖流）,位于_0（该海域沿岸，暖流）,0_0-3-5,0_0-3-5,位于,位于,,,该 海域 沿岸 有 暖流 经过,该 海域 沿岸 有 暖流 经过,DT NN NN VE term VV,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VE 有) (IP (NP (NN 暖流)) (VP (VV 经过))))) )
6-B-1,该海域沿岸	为热带草原气候,ed-ori,,,4,,该 海域 沿岸 为 热带草原气候,该 海域 沿岸 为 热带 草原 气候,DT NN NN VC term,,匹配_0（该海域沿岸，为热带草原气候）,匹配_0（该海域沿岸，为热带草原气候）,0_0-3,0_0-3,匹配,匹配,,4,该 海域 沿岸 为 热带草原气候,该 海域 沿岸 为 热带草原气候,DT NN NN VC term,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VC 为) (NP (NN 热带草原气候)))) )
6-C,该海域沿岸	有寒流经过，为热带沙漠气候,y,,,4 8,,该 海域 沿岸 有 寒流 经过 ， 为 热带沙漠气候,该 海域 沿岸 有 寒流 经过 ， 为 热带 沙漠 气候,DT NN NN VE term VV PU VC term,,位于_0（该海域沿岸，寒流）匹配_1（该海域沿岸，热带沙漠气候）,位于_0（该海域沿岸，寒流）匹配_1（该海域沿岸，热带沙漠气候）,0_0-3-5 1_0-7,0_0-3-5 1_0-7,位于 匹配,位于 匹配,,8,该 海域 沿岸 有 寒流 经过 ， 为 热带沙漠气候,该 海域 沿岸 有 寒流 经过 ， 为 热带沙漠气候,DT NN NN VE term VV PU P term,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VP (VP (VE 有) (NP (NN 寒流))) (VP (VV 经过))) (PU ，) (VP (VC 为) (NP (NN 热带沙漠气候))))) )
6-C-0,该海域沿岸	有寒流经过,ed-ori,,,4,,该 海域 沿岸 有 寒流 经过,该 海域 沿岸 有 寒流 经过,DT NN NN VE term VV,,位于_0（该海域沿岸，寒流）,位于_0（该海域沿岸，寒流）,0_0-3-5,0_0-3-5,位于,位于,,,该 海域 沿岸 有 寒流 经过,该 海域 沿岸 有 寒流 经过,DT NN NN VE term VV,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VP (VE 有) (NP (NN 寒流))) (VP (VV 经过)))) )
6-C-1,该海域沿岸	为热带沙漠气候,ed-ori,,,4,,该 海域 沿岸 为 热带沙漠气候,该 海域 沿岸 为 热带 沙漠 气候,DT NN NN VC term,,匹配_0（该海域沿岸，热带沙漠气候）,匹配_0（该海域沿岸，热带沙漠气候）,0_0-3,0_0-3,匹配,匹配,,4,该 海域 沿岸 为 热带沙漠气候,该 海域 沿岸 为 热带沙漠气候,DT NN NN VC term,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VC 为) (NP (NN 热带沙漠气候)))) )
6-D,该海域沿岸	盛行东南风，为热带季风气候,y,,,4 7,,该 海域 沿岸 盛行 东南风 ， 为 热带季风气候,该 海域 沿岸 盛行 东南风 ， 为 热带 季风 气候,DT NN NN VV term PU VC term,,位于_0（该海域沿岸，盛行东南风）匹配_1（该海域沿岸，热带季风气候）,位于_0（该海域沿岸，盛行东南风）匹配_1（该海域沿岸，热带季风气候）,0_0-3 1_0-6,0_0-3 1_0-6,位于 匹配,位于 匹配,,7,该 海域 沿岸 盛行 东南风 ， 为 热带季风气候,该 海域 沿岸 盛行 东南风 ， 为 热带季风气候,DT NN NN VV term PU P term,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VP (VV 盛行) (NP (NN 东南风))) (PU ，) (VP (VC 为) (NP (NN 热带季风气候))))) )
6-D-0,该海域沿岸	盛行东南风,ed-ori,,,4,,该 海域 沿岸 盛行 东南风,该 海域 沿岸 盛行 东南风,DT NN NN VV term,,位于_0（该海域沿岸，盛行东南风）,位于_0（该海域沿岸，盛行东南风）,0_0-3,0_0-3,位于,位于,,,该 海域 沿岸 盛行 东南风,该 海域 沿岸 盛行 东南风,DT NN NN VV term,( (IP (NP (NP (DP (DT 该)) (NP (NN 海域))) (NP (NN 沿岸))) (VP (VV 盛行) (NP (NN 东南风)))) )
