编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
3-A,黄土高原地区	加大能源开发，是区域可持续发展的根本措施,n,,0,,,黄土高原地区 加大 能源 开发 ， 是 区域 可 持续 发展 的 根本 措施,黄土 高原 地区 加大 能源 开发 ， 是 区域 可 持续 发展 的 根本 措施,loc VV NN NN PU VC NN VV VV VV DEC NN NN,,,,,,,,,,黄土高原 地区 加大 能源 开发 ， 是 区域 可 持续 发展 的 根本 措施,黄土高原 地区 加大 能源 开发 ， 是 区域 可 持续 发展 的 根本 措施,loc VV NN NN PU VC NN VV VV VV DEC NN NN,( (IP (NP (NR 黄土高原地区)) (VP (VP (VV 加大) (NP (NN 能源) (NN 开发))) (PU ，) (VP (VC 是) (NP (NP (NN 区域)) (CP (IP (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (NP (NN 根本) (NN 措施)))))) )
3-B,黄土高原地区	扩大开垦荒地，利于提高农业机械化水平,n,,0,,,黄土高原地区 扩大 开垦 荒地 ， 利于 提高 农业 机械化 水平,黄土 高原 地区 扩大 开垦 荒地 ， 利于 提高 农业 机械化 水平,loc VV VV NN PU VV VV NN NN NN,,,,,,,,,,黄土高原 地区 扩大 开垦 荒地 ， 利于 提高 农业 机械化 水平,黄土高原 地区 扩大 开垦 荒地 ， 利于 提高 农业 机械化 水平,loc VV VV NN PU VV VV NN NN NN,( (IP (NP (NR 黄土高原地区)) (VP (VV 扩大) (IP (VP (VP (VV 开垦) (NP (NN 荒地))) (PU ，) (VP (VV 利于) (IP (VP (VV 提高) (NP (NN 农业) (NN 机械化) (NN 水平))))))))) )
3-C,黄土高原地区	保持传统耕作技术，有助于提高环境承载力,n,,0,8,,黄土高原地区 保持 传统 耕作 技术 ， 有助于 提高 环境承载力,黄土 高原 地区 保持 传统 耕作 技术 ， 有助于 提高 环境 承载力,loc VV JJ NN NN PU VV VV term,,,,,,,,,,黄土高原 地区 保持 传统 耕作 技术 ， 有助于 提高 环境承载力,黄土高原 地区 保持 传统 耕作 技术 ， 有助于 提高 环境承载力,loc VV JJ NN NN PU VV VV term,( (IP (NP (NR 黄土高原地区)) (VP (VP (VV 保持) (NP (ADJP (JJ 传统)) (NP (NN 耕作) (NN 技术)))) (PU ，) (VP (VV 有助于) (IP (VP (VV 提高) (NP (NN 环境承载力))))))) )
3-D,黄土高原地区	开展小流域综合治理，利于充分利用水土资源,n,,0,,,黄土高原地区 开展 小 流域 综合 治理 ， 利于 充分 利用 水土 资源,黄土 高原 地区 开展 小 流域 综合 治理 ， 利于 充分 利用 水土 资源,loc VV JJ NN JJ NN PU VV AD VV NN NN,,,,,,,,,,黄土高原 地区 开展 小 流域 综合 治理 ， 利于 充分 利用 水土 资源,黄土高原 地区 开展 小 流域 综合 治理 ， 利于 充分 利用 水土 资源,loc term JJ NN JJ NN PU VV AD VV NN NN,( (IP (NP (NR 黄土高原地区)) (VP (VP (VV 开展) (NP (NP (ADJP (JJ 小)) (NP (NN 流域))) (ADJP (JJ 综合)) (NP (NN 治理)))) (PU ，) (VP (VV 利于) (VP (ADVP (AD 充分)) (VP (VV 利用) (NP (NN 水土) (NN 资源))))))) )
4-A,清江流域洪涝灾害多发的主要原因是	支流少，流域面积广,y,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 支流 少 ， 流域 面积 广,清江 流域 洪涝 灾害 多发 的 主要 原因 是 支流 少 ， 流域 面积 广,loc term NN VA DEC JJ NN VC NN VA PU NN NN VA,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 支流 少 ， 流域 面积 广,清江 流域 洪涝 灾害 多发 的 主要 原因 是 支流 少 ， 流域 面积 广,loc term NN VA DEC JJ NN VC NN VA PU NN NN VA,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害)) (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 支流)) (VP (VA 少))) (PU ，) (IP (NP (NN 流域) (NN 面积)) (VP (VA 广)))))) )
4-A-0,清江流域洪涝灾害多发的主要原因是	支流少,ed-ori,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 支流 少,清江 流域 洪涝 灾害 多发 的 主要 原因 是 支流 少,loc term NN VA DEC JJ NN VC NN VA,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 支流 少,清江 流域 洪涝 灾害 多发 的 主要 原因 是 支流 少,loc term NN VA DEC JJ NN VC NN VA,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害))) (NP (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 支流)) (VP (VA 少))))) )
4-A-1,清江流域洪涝灾害多发的主要原因是	流域面积广,ed-ori,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 流域 面积 广,清江 流域 洪涝 灾害 多发 的 主要 原因 是 流域 面积 广,loc term NN VA DEC JJ NN VC NN NN VA,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 流域 面积 广,清江 流域 洪涝 灾害 多发 的 主要 原因 是 流域 面积 广,loc term NN VA DEC JJ NN VC NN NN VA,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害)) (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 流域) (NN 面积)) (VP (VA 广))))) )
4-B,清江流域洪涝灾害多发的主要原因是	降水多，季节变化大,y,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 降水 多 ， 季节 变化 大,清江 流域 洪涝 灾害 多发 的 主要 原因 是 降水 多 ， 季节 变化 大,loc term NN VA DEC JJ NN VC VV VA PU NN NN VA,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 降水 多 ， 季节 变化 大,清江 流域 洪涝 灾害 多发 的 主要 原因 是 降水 多 ， 季节 变化 大,loc term NN VA DEC JJ NN VC VV VA PU NN NN VA,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害))) (IP (IP (NP (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VRD (VV 降水) (VA 多))))) (PU ，) (IP (NP (NN 季节) (NN 变化)) (VP (VA 大))))) )
4-B-0,清江流域洪涝灾害多发的主要原因是	降水多,ed-ori,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 降水 多,清江 流域 洪涝 灾害 多发 的 主要 原因 是 降水 多,loc term NN VA DEC JJ NN VC VV VA,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 降水 多,清江 流域 洪涝 灾害 多发 的 主要 原因 是 降水 多,loc term NN VA DEC JJ NN VC VV VA,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害))) (NP (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VP (VV 降水)) (VP (VA 多))))) )
4-B-1,清江流域洪涝灾害多发的主要原因是	降水季节变化大,ed-mod,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 降水 季节 变化 大,清江 流域 洪涝 灾害 多发 的 主要 原因 是 降水 季节 变化 大,loc term NN VA DEC JJ NN VC NN NN NN VA,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 降水 季节 变化 大,清江 流域 洪涝 灾害 多发 的 主要 原因 是 降水 季节 变化 大,loc term NN VA DEC JJ NN VC VV NN NN VA,( (IP (NP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害))) (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 降水)) (NP (NN 季节) (NN 变化)) (VP (VA 大))))) )
4-C,清江流域洪涝灾害多发的主要原因是	地势低平，排水不畅,y,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 地势 低平 ， 排水 不 畅,清江 流域 洪涝 灾害 多发 的 主要 原因 是 地势 低平 ， 排水 不 畅,loc term NN VA DEC JJ NN VC NN VA PU VV AD VA,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 地势 低平 ， 排水 不 畅,清江 流域 洪涝 灾害 多发 的 主要 原因 是 地势 低平 ， 排水 不 畅,loc term NN VA DEC JJ NN VC NN VA PU VV AD VA,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害)) (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 地势)) (VP (VA 低平))) (PU ，) (IP (IP (VP (VV 排水))) (VP (ADVP (AD 不)) (VP (VA 畅))))))) )
4-C-0,清江流域洪涝灾害多发的主要原因是	地势低平,ed-ori,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 地势 低平,清江 流域 洪涝 灾害 多发 的 主要 原因 是 地势 低平,loc term NN VA DEC JJ NN VC NN VA,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 地势 低平,清江 流域 洪涝 灾害 多发 的 主要 原因 是 地势 低平,loc term NN VA DEC JJ NN VC NN VA,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害))) (NP (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 地势)) (VP (VA 低平))))) )
4-C-1,清江流域洪涝灾害多发的主要原因是	排水不畅,ed-ori,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 排水 不 畅,清江 流域 洪涝 灾害 多发 的 主要 原因 是 排水 不 畅,loc term NN VA DEC JJ NN VC NN AD VA,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 排水 不 畅,清江 流域 洪涝 灾害 多发 的 主要 原因 是 排水 不 畅,loc term NN VA DEC JJ NN VC NN AD VA,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害)) (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 排水)) (VP (ADVP (AD 不)) (VP (VA 畅)))))) )
4-D,清江流域洪涝灾害多发的主要原因是	落差大，多曲流,y,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 落差 大 ， 多 曲流,清江 流域 洪涝 灾害 多发 的 主要 原因 是 落差 大 ， 多 曲流,loc term NN VA DEC JJ NN VC NN VA PU JJ NN,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 落差 大 ， 多曲 流,清江 流域 洪涝 灾害 多发 的 主要 原因 是 落差 大 ， 多曲 流,loc term NN VA DEC JJ NN VC NN VA PU AD NN,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害)) (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (UCP (IP (NP (NN 落差)) (VP (VA 大))) (PU ，) (NP (ADJP (JJ 多)) (NP (NN 曲流)))))) )
4-D-0,清江流域洪涝灾害多发的主要原因是	落差大,ed-ori,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 落差 大,清江 流域 洪涝 灾害 多发 的 主要 原因 是 落差 大,loc term NN VA DEC JJ NN VC VV JJ,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 落差 大,清江 流域 洪涝 灾害 多发 的 主要 原因 是 落差 大,loc term NN VA DEC JJ NN VC VV JJ,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害))) (NP (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VV 落差) (ADVP (JJ 大))))) )
4-D-1,清江流域洪涝灾害多发的主要原因是	多曲流,ed-ori,,0,1,,清江流域 洪涝 灾害 多发 的 主要 原因 是 多 曲流,清江 流域 洪涝 灾害 多发 的 主要 原因 是 多曲 流,loc term NN VA DEC JJ NN VC JJ NN,,,,,,,,,,清江 流域 洪涝 灾害 多发 的 主要 原因 是 多曲 流,清江 流域 洪涝 灾害 多发 的 主要 原因 是 多曲 流,loc term NN VA DEC JJ NN VC AD VA,( (IP (NP (NP (NR 清江流域)) (NP (NN 洪涝) (NN 灾害))) (NP (CP (IP (VP (VA 多发))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (NP (ADJP (JJ 多)) (NP (NN 曲流))))) )
5-A,清江流域的综合开发	实行梯级开发，实现全流域通航,y,,0,,,清江流域 的 综合 开发 实行 梯级 开发 ， 实现 全 流域 通航,清江 流域 的 综合 开发 实行 梯级 开发 ， 实现 全 流域 通航,loc DEG JJ NN VV NN NN PU VV DT NN NN,,,,,,,,,,清江 流域 的 综合 开发 实行 梯级 开发 ， 实现 全 流域 通航,清江 流域 的 综合 开发 实行 梯级 开发 ， 实现 全 流域 通航,loc DEG JJ NN VV NN NN PU VV DT NN NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VP (VV 实行) (NP (NN 梯级) (NN 开发))) (PU ，) (VP (VV 实现) (NP (NP (DP (DT 全)) (NP (NN 流域))) (NP (NN 通航)))))) )
5-A-0,清江流域的综合开发	实行梯级开发,ed-ori,,0,,,清江流域 的 综合 开发 实行 梯级 开发,清江 流域 的 综合 开发 实行 梯级 开发,loc DEG JJ NN VV NN NN,,,,,,,,,,清江 流域 的 综合 开发 实行 梯级 开发,清江 流域 的 综合 开发 实行 梯级 开发,loc DEG JJ NN VV NN NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VV 实行) (NP (NN 梯级) (NN 开发)))) )
5-A-1,清江流域的综合开发	实现全流域通航,ed-ori,,0,,,清江流域 的 综合 开发 实现 全 流域 通航,清江 流域 的 综合 开发 实现 全 流域 通航,loc DEG JJ NN VV DT NN NN,,,,,,,,,,清江 流域 的 综合 开发 实现 全 流域 通航,清江 流域 的 综合 开发 实现 全 流域 通航,loc DEG JJ NN VV DT NN NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VV 实现) (NP (NP (DP (DT 全)) (NP (NN 流域))) (NP (NN 通航))))) )
5-B,清江流域的综合开发	修建水利工程，为工业发展提供原料,y,,0,,,清江流域 的 综合 开发 修建 水利 工程 ， 为 工业 发展 提供 原料,清江 流域 的 综合 开发 修建 水利 工程 ， 为 工业 发展 提供 原料,loc DEG JJ NN VV NN NN PU P NN NN VV NN,,,,,,,,,,清江 流域 的 综合 开发 修建 水利 工程 ， 为 工业 发展 提供 原料,清江 流域 的 综合 开发 修建 水利 工程 ， 为 工业 发展 提供 原料,loc DEG JJ NN VV NN NN PU P NN NN VV NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VP (VV 修建) (NP (NN 水利) (NN 工程))) (PU ，) (VP (PP (P 为) (NP (NN 工业) (NN 发展))) (VP (VV 提供) (NP (NN 原料)))))) )
5-B-0,清江流域的综合开发	修建水利工程,ed-ori,,0,,,清江流域 的 综合 开发 修建 水利 工程,清江 流域 的 综合 开发 修建 水利 工程,loc DEG JJ NN VV NN NN,,,,,,,,,,清江 流域 的 综合 开发 修建 水利 工程,清江 流域 的 综合 开发 修建 水利 工程,loc DEG JJ NN VV NN NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VV 修建) (NP (NN 水利) (NN 工程)))) )
5-B-1,清江流域的综合开发	为工业发展提供原料,ed-ori,,0,,,清江流域 的 综合 开发 为 工业 发展 提供 原料,清江 流域 的 综合 开发 为 工业 发展 提供 原料,loc DEG JJ NN VC NN NN VV NN,,,,,,,,,,清江 流域 的 综合 开发 为 工业 发展 提供 原料,清江 流域 的 综合 开发 为 工业 发展 提供 原料,loc DEG JJ NN VC NN NN VV NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VC 为) (IP (NP (NN 工业) (NN 发展)) (VP (VV 提供) (NP (NN 原料)))))) )
5-C,清江流域的综合开发	扩大灌溉面积，发展河谷农业,y,,0,,,清江流域 的 综合 开发 扩大 灌溉 面积 ， 发展 河谷 农业,清江 流域 的 综合 开发 扩大 灌溉 面积 ， 发展 河谷 农业,loc DEG JJ NN VV NN NN PU VV NN NN,,,,,,,,,,清江 流域 的 综合 开发 扩大 灌溉 面积 ， 发展 河谷 农业,清江 流域 的 综合 开发 扩大 灌溉 面积 ， 发展 河谷 农业,loc DEG JJ NN VV NN NN PU VV NN NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VP (VV 扩大) (NP (NN 灌溉) (NN 面积))) (PU ，) (VP (VV 发展) (NP (NN 河谷) (NN 农业))))) )
5-C-0,清江流域的综合开发	扩大灌溉面积,ed-ori,,0,,,清江流域 的 综合 开发 扩大 灌溉 面积,清江 流域 的 综合 开发 扩大 灌溉 面积,loc DEG JJ NN VV NN NN,,,,,,,,,,清江 流域 的 综合 开发 扩大 灌溉 面积,清江 流域 的 综合 开发 扩大 灌溉 面积,loc DEG JJ NN VV NN NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VV 扩大) (NP (NN 灌溉) (NN 面积)))) )
5-C-1,清江流域的综合开发	发展河谷农业,ed-ori,,0,,,清江流域 的 综合 开发 发展 河谷 农业,清江 流域 的 综合 开发 发展 河谷 农业,loc DEG JJ NN VV NN NN,,,,,,,,,,清江 流域 的 综合 开发 发展 河谷 农业,清江 流域 的 综合 开发 发展 河谷 农业,loc DEG JJ NN NN NN NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VV 发展) (NP (NN 河谷) (NN 农业)))) )
5-D,清江流域的综合开发	发展旅游业，促进区域产业结构调整,y,,0,,,清江流域 的 综合 开发 发展 旅游业 ， 促进 区域 产业 结构 调整,清江 流域 的 综合 开发 发展 旅游业 ， 促进 区域 产业 结构 调整,loc DEG JJ NN VV NN PU VV NN NN NN NN,,,,,,,,,,清江 流域 的 综合 开发 发展 旅游业 ， 促进 区域 产业 结构 调整,清江 流域 的 综合 开发 发展 旅游业 ， 促进 区域 产业 结构 调整,loc DEG JJ NN NN NN PU VV NN NN NN NN,( (IP (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发))) (VP (VP (VV 发展) (NP (NN 旅游业))) (PU ，) (VP (VV 促进) (NP (NN 区域) (NN 产业) (NN 结构) (NN 调整))))) )
5-D-0,清江流域的综合开发	发展旅游业,ed-ori,,0,,,清江流域 的 综合 开发 发展 旅游 业,清江 流域 的 综合 开发 发展 旅游 业,loc DEG JJ NN NN NN NN,,,,,,,,,,清江 流域 的 综合 开发 发展 旅游 业,清江 流域 的 综合 开发 发展 旅游 业,loc DEG JJ NN NN NN NN,( (NP (DNP (NP (NR 清江流域)) (DEG 的)) (ADJP (JJ 综合)) (NP (NN 开发) (NN 发展) (NN 旅游)) (NP (NN 业))) )
