编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
3-C,登顶队员在北京时间13时前撤离，主要是为了避开	强对流天气,None,4,,3 12,,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 强对流天气,登顶 队员 在 北京 时间 13时 前 撤离 ， 主要 是 为了 避开 强 对流 天气,NN NN P term time LC VV PU AD VC P VV term,,因果_0（避开强对流天气，登顶队员在北京时间13时前撤离）,因果_0（避开强对流天气，登顶队员在北京时间13时前撤离）,0_10,0_10,因果,因果,4,,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 强对流 天气,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 强对流 天气,NN NN P term time LC VV PU AD VC P VV term,( (IP (NP (NN 登顶) (NN 队员)) (VP (VP (PP (P 在) (LCP (NP (NN 北京时间) (NT 13时)) (LC 前))) (VP (VV 撤离))) (PU ，) (VP (ADVP (AD 主要)) (VP (VC 是) (PP (P 为了) (IP (VP (VV 避开) (NP (NN 强对流天气))))))))) )
3-D,登顶队员在北京时间13时前撤离，主要是为了避开	强紫外线辐射,None,4,,3,,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 强 紫外线 辐射,登顶 队员 在 北京 时间 13时 前 撤离 ， 主要 是 为了 避开 强 紫外线 辐射,NN NN P term time LC VV PU AD VC P VV VA NN VV,,因果_0（避开强紫外线辐射，登顶队员在北京时间13时前撤离）,因果_0（避开强紫外线辐射，登顶队员在北京时间13时前撤离）,0_10,0_10,因果,因果,4,,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 强 紫外线 辐射,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 强 紫外线 辐射,NN NN P term time LC VV PU AD VC P VV NN NN VV,( (IP (IP (NP (NN 登顶) (NN 队员)) (VP (VP (PP (P 在) (LCP (NP (NN 北京时间) (NT 13时)) (LC 前))) (VP (VV 撤离))) (PU ，) (VP (ADVP (AD 主要)) (VP (VC 是) (PP (P 为了) (IP (VP (IP (VP (VV 避开))) (VP (VA 强))))))))) (IP (NP (NN 紫外线)) (VP (VV 辐射)))) )
4-A,珠穆朗玛峰峰顶比同纬度海平面	白昼略长,None,,0,4,,珠穆朗玛峰 峰顶 比 同 纬度 海平面 白昼 略 长,珠穆朗玛峰 峰顶 比 同 纬度 海平面 白昼 略 长,loc NN P DT term NN NN AD VA,,比较_0（珠穆朗玛峰峰顶，同纬度海平面，白昼，略长）,比较_0（珠穆朗玛峰峰顶，同纬度海平面，白昼，略长）,0_2,0_2,比较,比较,,,珠穆朗玛峰峰 顶比同 纬度 海平面 白昼 略长,珠穆朗玛 峰峰 顶比同 纬度 海平面 白昼 略长,loc NN P P term NN NN AD VA,( (IP (NP (NR 珠穆朗玛峰) (NN 峰顶)) (VP (PP (P 比) (NP (DP (DT 同)) (NP (NN 纬度) (NN 海平面) (NN 白昼)))) (ADVP (AD 略)) (VP (VA 长)))) )
4-B,珠穆朗玛峰峰顶比同纬度海平面	黑夜略长,None,,0,4,,珠穆朗玛峰 峰顶 比 同 纬度 海平面 黑夜 略 长,珠穆朗玛峰 峰顶 比 同 纬度 海平面 黑夜 略 长,loc NN P DT term NN NN AD VA,,比较_0（珠穆朗玛峰峰顶，同纬度海平面，黑夜，略长）,比较_0（珠穆朗玛峰峰顶，同纬度海平面，黑夜略长）,0_2,0_2,比较,比较,,,珠穆朗玛峰峰 顶比同 纬度 海平面 黑夜 略长,珠穆朗玛 峰峰 顶比同 纬度 海平面 黑夜 略长,loc NN P P term NN NN AD VA,( (IP (NP (NR 珠穆朗玛峰) (NN 峰顶)) (VP (PP (P 比) (NP (DP (DT 同)) (NP (NN 纬度) (NN 海平面) (NN 黑夜)))) (ADVP (AD 略)) (VP (VA 长)))) )
4-C,珠穆朗玛峰峰顶比同纬度海平面	自转线速度略小,None,,0,4 6,,珠穆朗玛峰 峰顶 比 同 纬度 海平面 自转线速度 略 小,珠穆朗玛峰 峰顶 比 同 纬度 海平面 自转 线速度 略 小,loc NN P DT term NN term AD VA,,比较_0（珠穆朗玛峰峰顶，同纬度海平面，自转线速度，略小）,比较_0（珠穆朗玛峰峰顶，同纬度海平面，自转线速度，略小）,0_2,0_2,比较,比较,,,珠穆朗玛峰峰 顶比同 纬度 海平面 自转线速度 略小,珠穆朗玛 峰峰 顶比同 纬度 海平面 自转线速度 略小,loc NN P P term NN term AD VA,( (IP (NP (NR 珠穆朗玛峰) (NN 峰顶)) (VP (PP (P 比) (NP (DP (DT 同)) (NP (NN 纬度) (NN 海平面) (NN 自转线速度)))) (ADVP (AD 略)) (VP (VA 小)))) )
4-D,珠穆朗玛峰峰顶比同纬度海平面	自转角速度略大,None,,0,4 6,,珠穆朗玛峰 峰顶 比 同 纬度 海平面 自转角速度 略 大,珠穆朗玛峰 峰顶 比 同 纬度 海平面 自转 角速度 略 大,loc NN P DT term NN term AD VA,,比较_0（珠穆朗玛峰峰顶，同纬度海平面，自转角速度，略大）,比较_0（珠穆朗玛峰峰顶，同纬度海平面，自转角速度，略大）,0_2,0_2,比较,比较,,,珠穆朗玛峰峰 顶比同 纬度 海平面 自转角速度 略 大,珠穆朗玛 峰峰 顶比同 纬度 海平面 自转角速度 略 大,loc NN P P term NN term AD VA,( (IP (NP (NR 珠穆朗玛峰) (NN 峰顶)) (VP (PP (P 比) (NP (DP (DT 同)) (NP (NN 纬度) (NN 海平面) (NN 自转角速度)))) (ADVP (AD 略)) (VP (VA 大)))) )
5-A,导致珠穆朗玛峰海拔高度变化的是	地面沉降,None,,1,,,导致 珠穆朗玛峰 海拔 高度 变化 的 是 地面 沉降,导致 珠穆朗玛峰 海拔 高度 变化 的 是 地面 沉降,VV loc NN NN VV DEC VC NN VV,,因果_0（地面沉降，珠穆朗玛峰海拔高度变化）,因果_0（地面沉降，珠穆朗玛峰海拔高度变化）,0_0,0_0,因果,因果,,,导致 珠穆朗玛峰 海拔高度 变化 的 是 地面 沉降,导致 珠穆 朗玛峰 海拔高度 变化 的 是 地面 沉降,VV loc NN AD VV DEC VC NN VV,( (IP (NP (CP (IP (VP (VV 导致) (IP (NP (NR 珠穆朗玛峰)) (NP (NN 海拔)) (NP (NN 高度)) (VP (VV 变化))))) (DEC 的))) (VP (VC 是) (IP (NP (NN 地面)) (VP (VV 沉降))))) )
5-B,导致珠穆朗玛峰海拔高度变化的是	地壳运动,None,,1,7,,导致 珠穆朗玛峰 海拔 高度 变化 的 是 地壳运动,导致 珠穆朗玛峰 海拔 高度 变化 的 是 地壳 运动,VV loc NN NN VV DEC VC term,,因果_0（地壳运动，珠穆朗玛峰海拔高度变化）,因果_0（地壳运动，珠穆朗玛峰海拔高度变化）,0_0,0_0,因果,因果,,,导致 珠穆朗玛峰 海拔高度 变化 的 是 地壳运动,导致 珠穆 朗玛峰 海拔高度 变化 的 是 地壳运动,VV loc NN AD VV DEC VC term,( (IP (NP (CP (IP (VP (VV 导致) (IP (NP (NR 珠穆朗玛峰)) (NP (NN 海拔)) (NP (NN 高度)) (VP (VV 变化))))) (DEC 的))) (VP (VC 是) (NP (NN 地壳运动)))) )
5-C,导致珠穆朗玛峰海拔高度变化的是	变质作用,None,,1,7,,导致 珠穆朗玛峰 海拔 高度 变化 的 是 变质作用,导致 珠穆朗玛峰 海拔 高度 变化 的 是 变质 作用,VV loc NN NN VV DEC VC term,,因果_0（变质作用，珠穆朗玛峰海拔高度变化）,因果_0（变质作用，珠穆朗玛峰海拔高度变化）,0_0,0_0,因果,因果,,,导致 珠穆朗玛峰 海拔高度 变化 的 是 变质作用,导致 珠穆 朗玛峰 海拔高度 变化 的 是 变质作用,VV loc NN AD VV DEC VC term,( (IP (NP (CP (IP (VP (VV 导致) (IP (NP (NR 珠穆朗玛峰)) (NP (NN 海拔)) (NP (NN 高度)) (VP (VV 变化))))) (DEC 的))) (VP (VC 是) (NP (NN 变质作用)))) )
5-D,导致珠穆朗玛峰海拔高度变化的是	海平面升降,None,,1,,,导致 珠穆朗玛峰 海拔 高度 变化 的 是 海平面 升降,导致 珠穆朗玛峰 海拔 高度 变化 的 是 海平面 升降,VV loc NN NN VV DEC VC NN VV,,因果_0（海平面升降，珠穆朗玛峰海拔高度变化）,因果_0（海平面升降，珠穆朗玛峰海拔高度变化）,0_0,0_0,因果,因果,,,导致 珠穆朗玛峰 海拔高度 变化 的 是 海平面 升降,导致 珠穆 朗玛峰 海拔高度 变化 的 是 海平面 升降,VV loc NN AD VV DEC VC NN VV,( (IP (NP (CP (IP (VP (VV 导致) (IP (NP (NR 珠穆朗玛峰)) (NP (NN 海拔)) (NP (NN 高度)) (VP (VV 变化))))) (DEC 的))) (VP (VC 是) (IP (NP (NN 海平面)) (VP (VV 升降))))) )
6-A,登顶队员从积雪冰川带下山，依次经过的垂直自然带是	高山草原带—高山草甸带—高山针叶林带,None,,,3 9 11 13 15,,登顶 队员 从 积雪冰川带 下山 ， 依次 经过 的 垂直自然带 是 高山草原带 — 高山草甸带 — 高山针叶林带,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直 自然带 是 高山 草原带 — 高山 草甸带 — 高山 针叶林带,NN NN P term VV PU AD VV DEC term VC term PU term PU term,,排序_0（垂直自然带，登顶队员从积雪冰川带下山依次经过，高山草原带—高山草甸带—高山针叶林带）,排序_0（垂直自然带，登顶队员从积雪冰川带下山依次经过，列表_1（高山草原带，高山草甸带，高山针叶林带））,0_5,0_5 1_12-14,排序,排序 列表,,3 11 13 15,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直自然带 是 高山 草原带 — 高山草甸带 — 高山 针叶林带,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直自然带 是 高山 草原带 — 高山草甸带 — 高山 针叶林带,VV NN P term VV PU AD VV DEC term VC term PU term PU term,( (IP (IP (NP (NN 登顶) (NN 队员)) (VP (PP (P 从) (NP (NN 积雪冰川带))) (VP (VV 下山)))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 依次)) (VP (VV 经过)))) (DEC 的)) (NP (NN 垂直自然带))) (VP (VC 是) (NP (NN 高山草原带) (PU —) (NN 高山草甸带) (PU —) (NN 高山针叶林带))))) )
6-B,登顶队员从积雪冰川带下山，依次经过的垂直自然带是	高山草甸带—高寒荒漠带—高山草原带,None,,,3 9 11 13 15,,登顶 队员 从 积雪冰川带 下山 ， 依次 经过 的 垂直自然带 是 高山草甸带 — 高寒荒漠带 — 高山草原带,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直 自然带 是 高山 草甸带 — 高寒 荒漠带 — 高山 草原带,NN NN P term VV PU AD VV DEC term VC term PU term PU term,,排序_0（垂直自然带，登顶队员从积雪冰川带下山依次经过，高山草甸带—高寒荒漠带—高山草原带）,排序_0（垂直自然带，登顶队员从积雪冰川带下山依次经过，列表_1（高山草甸带，高寒荒漠带，高山草原带））,0_5,0_5 1_12-14,排序,排序 列表,,3 14,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直自然带 是 高山草甸带 — 高寒 荒漠 带 — 高山 草原 带,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直自然带 是 高山草甸带 — 高寒 荒漠 带 — 高山 草原 带,VV NN P term VV PU AD VV DEC term VC term PU term PU term,( (IP (IP (NP (NN 登顶) (NN 队员)) (VP (PP (P 从) (NP (NN 积雪冰川带))) (VP (VV 下山)))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 依次)) (VP (VV 经过)))) (DEC 的)) (NP (NN 垂直自然带))) (VP (VC 是) (NP (NN 高山草甸带) (PU —) (NN 高寒荒漠带) (PU —) (NN 高山草原带))))) )
6-C,登顶队员从积雪冰川带下山，依次经过的垂直自然带是	高寒荒漠带—高山草原带—高山针叶林带,None,,,3 9 11 13 15,,登顶 队员 从 积雪冰川带 下山 ， 依次 经过 的 垂直自然带 是 高寒荒漠带 — 高山草原带 — 高山针叶林带,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直 自然带 是 高寒 荒漠带 — 高山 草原带 — 高山 针叶林带,NN NN P term VV PU AD VV DEC term VC term PU term PU term,,排序_0（垂直自然带，登顶队员从积雪冰川带下山依次经过，高寒荒漠带—高山草原带—高山针叶林带）,排序_0（垂直自然带，登顶队员从积雪冰川带下山依次经过，列表_1（高寒荒漠带，高山草原带，高山针叶林带））,0_5,0_5 1_12-14,排序,排序 列表,,3 11 13 15,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直自然带 是 高寒 荒漠 带 — 高山 草原带 — 高山 针叶林带,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直自然带 是 高寒 荒漠 带 — 高山 草原带 — 高山 针叶林带,VV NN P term VV PU AD VV DEC term VC term PU term PU term,( (IP (IP (NP (NN 登顶) (NN 队员)) (VP (PP (P 从) (NP (NN 积雪冰川带))) (VP (VV 下山)))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 依次)) (VP (VV 经过)))) (DEC 的)) (NP (NN 垂直自然带))) (VP (VC 是) (NP (NN 高寒荒漠带) (PU —) (NN 高山草原带) (PU —) (NN 高山针叶林带))))) )
6-D,登顶队员从积雪冰川带下山，依次经过的垂直自然带是	高寒荒漠带—高山草甸带—高山草原带,None,,,3 9 11 13 15,,登顶 队员 从 积雪冰川带 下山 ， 依次 经过 的 垂直自然带 是 高寒荒漠带 — 高山草甸带 — 高山草原带,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直 自然带 是 高寒 荒漠带 — 高山 草甸带 — 高山 草原带,NN NN P term VV PU AD VV DEC term VC term PU term PU term,,排序_0（垂直自然带，登顶队员从积雪冰川带下山依次经过，高寒荒漠带—高山草甸带—高山草原带）,排序_0（垂直自然带，登顶队员从积雪冰川带下山依次经过，列表_1（高寒荒漠带，高山草甸带，高山草原带））,0_5,0_5 1_12-14,排序,排序 列表,,3 11 13,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直自然带 是 高寒 荒漠 带 — 高山草甸带 — 高山 草原 带,登顶 队员 从 积雪 冰川带 下山 ， 依次 经过 的 垂直自然带 是 高寒 荒漠 带 — 高山草甸带 — 高山 草原 带,VV NN P term VV PU AD VV DEC term VC term PU term PU term,( (IP (IP (NP (NN 登顶) (NN 队员)) (VP (PP (P 从) (NP (NN 积雪冰川带))) (VP (VV 下山)))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 依次)) (VP (VV 经过)))) (DEC 的)) (NP (NN 垂直自然带))) (VP (VC 是) (NP (NN 高寒荒漠带) (PU —) (NN 高山草甸带) (PU —) (NN 高山草原带))))) )
7-A,从P点出发，车速最快的去向是	东,None,,1,,,从 P点 出发 ， 车速 最 快 的 去向 是 东,从 P点 出发 ， 车速 最 快 的 去向 是 东,P loc VV PU NN AD VA DEC NN VC NN,,最值_0（东，车速，最快，从P点出发的去向）,最值_0（东，车速，最快，从P点出发的去向）,0_5,0_5,最值,最值,,,从 P点 出发 ， 车速 最 快 的 去向 是 东,从 P点 出发 ， 车速 最 快 的 去向 是 东,P loc VV PU NN AD VA DEC VV VC NN,( (IP (NP (CP (IP (IP (VP (PP (P 从) (NP (NR P点))) (VP (VV 出发)))) (PU ，) (IP (NP (NN 车速)) (VP (ADVP (AD 最)) (VP (VA 快))))) (DEC 的)) (NP (NN 去向))) (VP (VC 是) (NP (NN 东)))) )
