编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
3-①-0,冰岛特色旅游资源的形成原因是	位于极圈内,ed-ori,,0,9,,冰岛 特色 旅游 资源 的 形成 原因 是 位于 极圈 内,冰岛 特色 旅游 资源 的 形成 原因 是 位于 极圈 内,loc NN NN NN DEG NN NN VC VV term LC,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 位于 极圈 内,冰岛 特色 旅游 资源 的 形成 原因 是 位于 极圈 内,loc NN NN NN DEG JJ NN VC VV term LC,( (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (VP (VV 位于) (LCP (NP (NN 极圈)) (LC 内))))) )
3-①-1,冰岛特色旅游资源的形成原因是	干燥多风,ed-ori,,0,,,冰岛 特色 旅游 资源 的 形成 原因 是 干燥 多 风,冰岛 特色 旅游 资源 的 形成 原因 是 干燥 多 风,loc NN NN NN DEG NN NN VC VA JJ NN,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 干燥 多 风,冰岛 特色 旅游 资源 的 形成 原因 是 干燥 多 风,loc NN NN NN DEG JJ NN VC AD VA NN,( (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (NP (CP (VP (VA 干燥))) (ADJP (JJ 多)) (NP (NN 风))))) )
3-②,冰岛特色旅游资源的形成原因是	地处高纬，气候寒冷,y,,0,9,,冰岛 特色 旅游 资源 的 形成 原因 是 地处 高纬 ， 气候 寒冷,冰岛 特色 旅游 资源 的 形成 原因 是 地处 高纬 ， 气候 寒冷,loc NN NN NN DEG NN NN VC VV term PU NN VA,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 地处 高纬 ， 气候 寒冷,冰岛 特色 旅游 资源 的 形成 原因 是 地处 高纬 ， 气候 寒冷,loc NN NN NN DEG JJ NN VC VV term PU NN VA,( (IP (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (VP (VV 地处) (NP (NN 高纬))))) (PU ，) (IP (NP (NN 气候)) (VP (VA 寒冷)))) )
3-②-0,冰岛特色旅游资源的形成原因是	地处高纬,ed-ori,,0,9,,冰岛 特色 旅游 资源 的 形成 原因 是 地处 高纬,冰岛 特色 旅游 资源 的 形成 原因 是 地处 高纬,loc NN NN NN DEG NN NN VC VV term,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 地处 高纬,冰岛 特色 旅游 资源 的 形成 原因 是 地处 高纬,loc NN NN NN DEG JJ NN VC VV term,( (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (VP (VV 地处) (NP (NN 高纬))))) )
3-②-1,冰岛特色旅游资源的形成原因是	气候寒冷,ed-ori,,0,,,冰岛 特色 旅游 资源 的 形成 原因 是 气候 寒冷,冰岛 特色 旅游 资源 的 形成 原因 是 气候 寒冷,loc NN NN NN DEG NN NN VC NN VA,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 气候 寒冷,冰岛 特色 旅游 资源 的 形成 原因 是 气候 寒冷,loc NN NN NN DEG JJ NN VC NN VA,( (IP (NP (NP (DNP (NP (NP (NR 冰岛) (NN 特色)) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 气候)) (VP (VA 寒冷))))) )
3-③,冰岛特色旅游资源的形成原因是	四面临海，海浪侵蚀,y,,0,13,,冰岛 特色 旅游 资源 的 形成 原因 是 四 面 临海 ， 海浪 侵蚀,冰岛 特色 旅游 资源 的 形成 原因 是 四 面 临海 ， 海浪 侵蚀,loc NN NN NN DEG NN NN VC CD NN NN PU NN term,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 四面 临海 ， 海浪侵蚀,冰岛 特色 旅游 资源 的 形成 原因 是 四面 临海 ， 海浪侵蚀,loc NN NN NN DEG JJ NN VC NN NN PU NN term,( (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (NP (NP (QP (CD 四)) (NP (NN 面))) (NP (NN 临海) (PU ，) (NN 海浪)) (NP (NN 侵蚀))))) )
3-③-0,冰岛特色旅游资源的形成原因是	四面临海,ed-ori,,0,,,冰岛 特色 旅游 资源 的 形成 原因 是 四 面 临海,冰岛 特色 旅游 资源 的 形成 原因 是 四 面 临海,loc NN NN NN DEG NN NN VC CD NN NN,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 四面 临海,冰岛 特色 旅游 资源 的 形成 原因 是 四面 临海,loc NN NN NN DEG JJ NN VC NN NN,( (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (NP (NP (QP (CD 四)) (NP (NN 面))) (NP (NN 临海))))) )
3-③-1,冰岛特色旅游资源的形成原因是	海浪侵蚀,ed-ori,,0,9,,冰岛 特色 旅游 资源 的 形成 原因 是 海浪 侵蚀,冰岛 特色 旅游 资源 的 形成 原因 是 海浪 侵蚀,loc NN NN NN DEG NN NN VC NN term,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 海浪侵蚀,冰岛 特色 旅游 资源 的 形成 原因 是 海浪侵蚀,loc NN NN NN DEG JJ NN VC NN term,( (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (NP (NN 海浪) (NN 侵蚀)))) )
3-④,冰岛特色旅游资源的形成原因是	处在板块边界，地壳活跃,y,,0,9 12,,冰岛 特色 旅游 资源 的 形成 原因 是 处在 板块 边界 ， 地壳 活跃,冰岛 特色 旅游 资源 的 形成 原因 是 处在 板块 边界 ， 地壳 活跃,loc NN NN NN DEG NN NN VC VV term NN PU term VA,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 处在 板块边界 ， 地壳 活跃,冰岛 特色 旅游 资源 的 形成 原因 是 处在 板块边界 ， 地壳 活跃,loc NN NN NN DEG JJ NN VC VV term NN PU term VA,( (IP (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (VP (VV 处在) (NP (NP (NN 板块)) (NP (NN 边界)))))) (PU ，) (NP (NN 地壳)) (VP (VA 活跃))) )
3-④-0,冰岛特色旅游资源的形成原因是	处在板块边界,ed-ori,,0,9,,冰岛 特色 旅游 资源 的 形成 原因 是 处在 板块 边界,冰岛 特色 旅游 资源 的 形成 原因 是 处在 板块 边界,loc NN NN NN DEG NN NN VC VV term NN,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 处在 板块边界,冰岛 特色 旅游 资源 的 形成 原因 是 处在 板块边界,loc NN NN NN DEG JJ NN VC VV term NN,( (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (VP (VV 处在) (NP (NP (NN 板块)) (NP (NN 边界)))))) )
3-④-1,冰岛特色旅游资源的形成原因是	地壳活跃,ed-ori,,0,8,,冰岛 特色 旅游 资源 的 形成 原因 是 地壳 活跃,冰岛 特色 旅游 资源 的 形成 原因 是 地壳 活跃,loc NN NN NN DEG NN NN VC term VA,,,,,,,,,0,冰岛 特色 旅游 资源 的 形成 原因 是 地壳 活跃,冰岛 特色 旅游 资源 的 形成 原因 是 地壳 活跃,loc NN NN NN DEG JJ NN VC term VA,( (IP (NP (NP (DNP (NP (NP (NP (NR 冰岛)) (NP (NN 特色))) (NP (NN 旅游) (NN 资源))) (DEG 的)) (NP (NN 形成))) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 地壳)) (VP (VA 活跃))))) )
4-A,图中各省级行政区	人口迁入量由东至西递减,None,,,,,图 中 各 省级 行政区 人口 迁入量 由 东 至 西 递减,图 中 各 省级 行政区 人口 迁入量 由 东 至 西 递减,NN LC DT JJ NN NN NN P NN P NN VV,,,,,,,,,,图 中 各 省级 行政区 人口 迁入量 由 东至 西递减,图 中 各 省级 行政区 人口 迁入量 由 东至 西递减,NN LC DT NN NN NN NN P NR CC NN VV,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (DP (DT 各)) (NP (ADJP (JJ 省级)) (NP (NN 行政区))) (NP (NN 人口) (NN 迁入量))) (VP (PP (PP (P 由) (NP (NN 东))) (PP (P 至) (NP (NN 西)))) (VP (VV 递减)))) )
4-B,图中各省级行政区	人口迁出量从内陆向沿海递减,None,,,,,图 中 各 省级 行政区 人口 迁出量 从 内陆 向 沿海 递减,图 中 各 省级 行政区 人口 迁出量 从 内陆 向 沿海 递减,NN LC DT JJ NN NN NN P NN P NN VV,,,,,,,,,,图 中 各 省级 行政区 人口 迁 出量 从 内陆 向 沿海 递减,图 中 各 省级 行政区 人口 迁 出量 从 内陆 向 沿海 递减,NN LC DT NN NN NN VV NN P NN P NN VV,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (DP (DT 各)) (NP (ADJP (JJ 省级)) (NP (NN 行政区))) (NP (NN 人口) (NN 迁出量))) (VP (PP (PP (P 从) (NP (NN 内陆))) (PP (P 向) (NP (NN 沿海)))) (VP (VV 递减)))) )
4-C,图中各省级行政区	直辖市以人口迁入为主,None,,,,,图 中 各 省级 行政区 直辖市 以 人口 迁入 为 主,图 中 各 省级 行政区 直辖市 以 人口 迁入 为 主,NN LC DT JJ NN NN P NN NN VV NN,,,,,,,,,,图 中 各 省级 行政区 直辖市 以 人口 迁入 为 主,图 中 各 省级 行政区 直辖市 以 人口 迁入 为 主,NN LC DT JJ NN NN P NN VV VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (DP (DT 各)) (NP (ADJP (JJ 省级)) (NP (NN 行政区))) (NP (NN 直辖市))) (VP (PP (P 以) (NP (NN 人口) (NN 迁入))) (VP (VV 为) (NP (NN 主))))) )
4-D,图中各省级行政区	少数民族自治区以人口迁出为主,None,,,,,图 中 各 省级 行政区 少数 民族 自治区 以 人口 迁出 为 主,图 中 各 省级 行政区 少数 民族 自治区 以 人口 迁出 为 主,NN LC DT JJ NN NN NN NN P NN NN VV NN,,,,,,,,,,图 中 各 省级 行政区 少数 民族 自治区 以 人口 迁出 为 主,图 中 各 省级 行政区 少数 民族 自治区 以 人口 迁出 为 主,NN LC DT JJ NN NN NN NN P NN VV VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (DP (DT 各)) (NP (NP (ADJP (JJ 省级)) (NP (NN 行政区))) (NP (NN 少数) (NN 民族)) (NP (NN 自治区)))) (VP (PP (P 以) (NP (NN 人口) (NN 迁出))) (VP (VV 为) (NP (NN 主))))) )
5-A,以下省区人口迁移原因的叙述正确的是	江西人口迁出的主要原因是红壤贫瘠,None,,10,,,以下 省区 人口 迁移 原因 的 叙述 正确 的 是 江西 人口 迁出 的 主要 原因 是 红壤 贫瘠,以下 省区 人口 迁移 原因 的 叙述 正确 的 是 江西 人口 迁出 的 主要 原因 是 红壤 贫瘠,JJ NN NN NN NN DEG NN VA DEC VC loc NN NN DEG JJ NN VC NN VA,,,,,,,,,10,以下 省区 人口 迁移 原因 的 叙述 正确 的 是 江西 人口 迁出 的 主要 原因 是 红壤 贫瘠,以下 省区 人口 迁移 原因 的 叙述 正确 的 是 江西 人口 迁出 的 主要 原因 是 红壤 贫瘠,JJ NN NN VV NN DEG VV VA DEC VC loc NN VV DEC JJ NN VC NN NN,( (IP (NP (DNP (NP (NP (NP (ADJP (JJ 以下)) (NP (NN 省区))) (NP (NN 人口))) (NP (NN 迁移) (NN 原因))) (DEG 的)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DNP (NP (NP (NR 江西)) (NP (NN 人口) (NN 迁出))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 红壤)) (VP (VA 贫瘠))))))) )
5-B,以下省区人口迁移原因的叙述正确的是	四川人口迁出的主要原因是交通不便,None,,10,,,以下 省区 人口 迁移 原因 的 叙述 正确 的 是 四川 人口 迁出 的 主要 原因 是 交通 不便,以下 省区 人口 迁移 原因 的 叙述 正确 的 是 四川 人口 迁出 的 主要 原因 是 交通 不便,JJ NN NN NN NN DEG NN VA DEC VC loc NN NN DEG JJ NN VC NN VA,,,,,,,,,10,以下 省区 人口 迁移 原因 的 叙述 正确 的 是 四川 人口 迁出 的 主要 原因 是 交通 不便,以下 省区 人口 迁移 原因 的 叙述 正确 的 是 四川 人口 迁出 的 主要 原因 是 交通 不便,JJ NN NN VV NN DEG VV VA DEC VC loc NN VV DEC JJ NN VC NN VA,( (IP (NP (DNP (NP (NP (NP (ADJP (JJ 以下)) (NP (NN 省区))) (NP (NN 人口))) (NP (NN 迁移) (NN 原因))) (DEG 的)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DNP (NP (NP (NR 四川)) (NP (NN 人口) (NN 迁出))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 交通)) (VP (VA 不便))))))) )
