试卷名,编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
2003-北京,1-A,该船员拍摄照片时，P地的地方时为	22时,None,10,6,8,,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,DT NN VV NN LC PU loc DEG term VC time,,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,0_4 1_7-9,0_4 1_7-9,时间限定 实体信息陈述,时间限定 实体信息陈述,10,,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,DT NN VV NN LC PU loc DEG term VC time,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 船员))) (VP (VV 拍摄) (NP (NN 照片)))) (LC 时)) (PU ，) (NP (DNP (NP (NR P地)) (DEG 的)) (NP (NN 地方时))) (VP (VC 为) (NP (NT 22时)))) )
2003-北京,3-D,该船即将进入	直布罗陀海峡,None,,4,,,该 船 即将 进入 直布罗陀海峡,该 船 即将 进入 直布罗陀 海峡,DT NN AD VV loc,,实体信息陈述_0（该船，#，即将进入直布罗陀海峡）,实体信息陈述_0（该船，#，即将进入直布罗陀海峡）,0_2,0_2,实体信息陈述,实体信息陈述,,,该 船 即将 进入 直布罗陀海峡,该 船 即将 进入 直布罗陀海峡,DT NN time VV loc,( (IP (NP (DP (DT 该)) (NP (NN 船))) (VP (ADVP (AD 即将)) (VP (VV 进入) (NP (NR 直布罗陀海峡))))) )
2003-北京,4-A,此时世界各地可能出现的现象是	美国中部小麦黄熟,None,0,8,,,此时 世界 各地 可能 出现 的 现象 是 美国中部 小麦 黄熟,此时 世界 各地 可能 出现 的 现象 是 美国 中部 小麦 黄熟,time NN NN VV VV DEC NN VC loc NN VA,,时间限定_0（此时）实体信息陈述_1（美国中部，#，小麦黄熟）,时间限定_0（此时）实体信息陈述_1（美国中部，#，小麦黄熟）,0_0 1_8,0_0 1_8,时间限定 实体信息陈述,时间限定 实体信息陈述,,,此时 世界 各 地 可能 出现 的 现象 是 美国 中部 小麦 黄熟,此时 世界 各 地 可能 出现 的 现象 是 美国 中部 小麦 黄熟,time NN NN VV VV DEC NN VC loc NN VA,( (IP (NP (CP (IP (NP (NT 此时)) (NP (NN 世界) (NN 各地)) (VP (VV 可能) (VP (VV 出现)))) (DEC 的)) (NP (NN 现象))) (VP (VC 是) (IP (NP (NR 美国中部)) (NP (NN 小麦)) (VP (VA 黄熟))))) )
2003-北京,4-B,此时世界各地可能出现的现象是	中国江淮流域干热,None,0,8,,,此时 世界 各地 可能 出现 的 现象 是 中国江淮流域 干热,此时 世界 各地 可能 出现 的 现象 是 中国 江淮 流域 干热,time NN NN VV VV DEC NN VC loc VA,,时间限定_0（此时）实体信息陈述_1（中国江淮流域，#，干热）,时间限定_0（此时）实体信息陈述_1（中国江淮流域，#，干热）,0_0 1_8,0_0 1_8,时间限定 实体信息陈述,时间限定 实体信息陈述,,,此时 世界 各 地 可能 出现 的 现象 是 中国 江淮 流域 干热,此时 世界 各 地 可能 出现 的 现象 是 中国 江淮 流域 干热,time NN NN VV VV DEC NN VC loc NN,( (IP (NP (CP (IP (NP (NT 此时)) (NP (NN 世界) (NN 各地)) (VP (VV 可能) (VP (VV 出现)))) (DEC 的)) (NP (NN 现象))) (VP (VC 是) (IP (NP (NR 中国江淮流域)) (VP (VA 干热))))) )
2003-北京,4-C,此时世界各地可能出现的现象是	地中海北岸连日阴雨,None,0,8,,,此时 世界 各地 可能 出现 的 现象 是 地中海北岸 连日 阴雨,此时 世界 各地 可能 出现 的 现象 是 地中海 北岸 连日 阴雨,time NN NN VV VV DEC NN VC loc NT NN,,时间限定_0（此时）实体信息陈述_1（地中海北岸，#，连日阴雨）,时间限定_0（此时）实体信息陈述_1（地中海北岸，#，连日阴雨）,0_0 1_8,0_0 1_8,时间限定 实体信息陈述,时间限定 实体信息陈述,,,此时 世界 各 地 可能 出现 的 现象 是 地中海北岸 连日 阴雨,此时 世界 各 地 可能 出现 的 现象 是 地中海 北岸 连日 阴雨,time NN NN VV VV DEC NN VC loc NT NN,( (IP (NP (CP (IP (NP (NT 此时)) (NP (NN 世界) (NN 各地)) (VP (VV 可能) (VP (VV 出现)))) (DEC 的)) (NP (NN 现象))) (VP (VC 是) (NP (NP (NR 地中海北岸)) (NP (NT 连日) (NN 阴雨))))) )
2003-北京,4-D,此时世界各地可能出现的现象是	拉普拉塔河正值枯水期,None,0,8,10,,此时 世界 各地 可能 出现 的 现象 是 拉普拉塔河 正值 枯水期,此时 世界 各地 可能 出现 的 现象 是 拉普拉塔河 正值 枯水期,time NN NN VV VV DEC NN VC loc VV term,,时间限定_0（此时）实体信息陈述_1（拉普拉塔河，#，枯水期）,时间限定_0（此时）实体信息陈述_1（拉普拉塔河，#，枯水期）,0_0 1_8-9,0_0 1_8-9,时间限定 实体信息陈述,时间限定 实体信息陈述,,,此时 世界 各 地 可能 出现 的 现象 是 拉普拉 塔河 正值 枯水 期,此时 世界 各 地 可能 出现 的 现象 是 拉普 拉 塔河 正值 枯水 期,time NN NN VV VV DEC NN VC loc JJ term,( (IP (NP (CP (IP (NP (NT 此时)) (NP (NN 世界) (NN 各地)) (VP (VV 可能) (VP (VV 出现)))) (DEC 的)) (NP (NN 现象))) (VP (VC 是) (IP (NP (NR 拉普拉塔河)) (VP (VV 正值) (NP (NN 枯水期)))))) )
2003-北京,5-A,图2中①地所处的自然带是	热带雨林带,None,,2,5 7,,图2 中 ①地 所处 的 自然带 是 热带雨林带,图2 中 ①地 所处 的 自然带 是 热带 雨林 带,NN LC loc VV DEC term VC term,,位于_0（图2中①地，热带雨林带）,位于_0（图2中①地，热带雨林带）,0_3-4,0_3-4,位于,位于,2,,图2 中 ①地 所处 的 自然带 是 热带雨林带,图2 中 ①地 所处 的 自然带 是 热带雨林带,NN LC loc NN DEG term VC term,( (IP (NP (LCP (NP (NN 图2)) (LC 中)) (CP (IP (NP (NR ①地)) (VP (VV 所处))) (DEC 的)) (NP (NN 自然带))) (VP (VC 是) (NP (NN 热带雨林带)))) )
2003-北京,5-B,图2中①地所处的自然带是	热带草原带,None,,2,5 7,,图2 中 ①地 所处 的 自然带 是 热带草原带,图2 中 ①地 所处 的 自然带 是 热带 草原 带,NN LC loc VV DEC term VC term,,位于_0（图2中①地，热带草原带）,位于_0（图2中①地，热带草原带）,0_3-4,0_3-4,位于,位于,2,,图2 中 ①地 所处 的 自然带 是 热带草原带,图2 中 ①地 所处 的 自然带 是 热带草原带,NN LC loc NN DEG term VC term,( (IP (NP (LCP (NP (NN 图2)) (LC 中)) (CP (IP (NP (NR ①地)) (VP (VV 所处))) (DEC 的)) (NP (NN 自然带))) (VP (VC 是) (NP (NN 热带草原带)))) )
2003-北京,5-C,图2中①地所处的自然带是	热带沙漠带,None,,2,5 7,,图2 中 ①地 所处 的 自然带 是 热带沙漠带,图2 中 ①地 所处 的 自然带 是 热带 沙漠 带,NN LC loc VV DEC term VC term,,位于_0（图2中①地，热带沙漠带）,位于_0（图2中①地，热带沙漠带）,0_3-4,0_3-4,位于,位于,2,,图2 中 ①地 所处 的 自然带 是 热带沙漠带,图2 中 ①地 所处 的 自然带 是 热带沙漠带,NN LC loc NN DEG term VC term,( (IP (NP (LCP (NP (NN 图2)) (LC 中)) (CP (IP (NP (NR ①地)) (VP (VV 所处))) (DEC 的)) (NP (NN 自然带))) (VP (VC 是) (NP (NN 热带沙漠带)))) )
2003-北京,5-D,图2中①地所处的自然带是	热带季雨林带,None,,2,5 7,,图2 中 ①地 所处 的 自然带 是 热带季雨林带,图2 中 ①地 所处 的 自然带 是 热带 季雨林 带,NN LC loc VV DEC term VC term,,位于_0（图2中①地，热带季雨林带）,位于_0（图2中①地，热带季雨林带）,0_3-4,0_3-4,位于,位于,2,7,图2 中 ①地 所处 的 自然带 是 热带季雨林带,图2 中 ①地 所处 的 自然带 是 热带季雨林带,NN LC loc NN DEG term VC term,( (IP (NP (LCP (NP (NN 图2)) (LC 中)) (CP (IP (NP (NR ①地)) (VP (VV 所处))) (DEC 的)) (NP (NN 自然带))) (VP (VC 是) (NP (NN 热带季雨林带)))) )
2003-北京,6-A,图2中①②③三地自然条件相比较	②地降水最多,None,,2 7,,,图2 中 ①②③三地 自然 条件 相 比较 ②地 降水 最 多,图2 中 ① ② ③ 三 地 自然 条件 相 比较 ②地 降水 最 多,NN LC loc NN NN AD VV loc VV AD VA,,最值_0（②地，自然条件，降水最多，图2中①②③三地）,最值_0（②地，自然条件，降水最多，图2中①②③三地）,0_6-9,0_6-9,最值,最值,7,,图2 中 ① ② ③ 三 地 自然 条件 相 比较 ②地 降水 最多,图2 中 ① ② ③ 三 地 自然 条件 相 比较 ②地 降水 最多,NN LC loc NN NN AD VV loc VV CD,( (IP (IP (LCP (NN 图2) (LC 中)) (NP (NP (NR ①②③三地)) (NP (NN 自然) (NN 条件))) (VP (ADVP (AD 相)) (VP (VV 比较)))) (NP (NR ②地)) (VP (VP (VV 降水)) (VP (ADVP (AD 最)) (VP (VA 多))))) )
2003-北京,6-B,图2中①②③三地自然条件相比较	只有③地的植被为森林,None,,2 8,10,,图2 中 ①②③三地 自然 条件 相 比较 只有 ③地 的 植被 为 森林,图2 中 ① ② ③ 三 地 自然 条件 相 比较 只有 ③地 的 植被 为 森林,NN LC loc NN NN AD VV AD loc DEG term VC NN,,最值_0（②地，自然条件，植被为森林，图2中①②③三地）,最值_0（②地，自然条件，植被为森林，图2中①②③三地）,0_6-7,0_6-7,最值,最值,8,,图2 中 ① ② ③ 三 地 自然 条件 相 比较 只有 ③地 的 植被 为 森林,图2 中 ① ② ③ 三 地 自然 条件 相 比较 只有 ③地 的 植被 为 森林,NN LC loc NN NN AD VV AD loc DEG term VC NN,( (IP (IP (LCP (NN 图2) (LC 中)) (NP (NP (NR ①②③三地)) (NP (NN 自然) (NN 条件))) (VP (ADVP (AD 相)) (VP (VV 比较)))) (ADVP (AD 只有)) (NP (DNP (NP (NR ③地)) (DEG 的)) (NP (NN 植被))) (VP (VC 为) (NP (NN 森林)))) )
2003-北京,6-C,图2中①②③三地自然条件相比较	①地年均温最低,None,,2 7,,,图2 中 ①②③三地 自然 条件 相 比较 ①地 年均 温 最 低,图2 中 ① ② ③ 三 地 自然 条件 相 比较 ①地 年均 温 最 低,NN LC loc NN NN AD VV loc JJ NN AD VA,,最值_0（②地，自然条件，年均温最低，图2中①②③三地）,最值_0（②地，自然条件，年均温最低，图2中①②③三地）,0_6-10,0_6-10,最值,最值,7,,图2 中 ① ② ③ 三 地 自然 条件 相 比较 ①地 年均 温 最 低,图2 中 ① ② ③ 三 地 自然 条件 相 比较 ①地 年均 温 最 低,NN LC loc NN NN AD VV loc JJ NN VV,( (IP (NP (CP (IP (LCP (NP (NN 图2)) (LC 中)) (NP (NP (NR ①②③三地)) (NP (NN 自然) (NN 条件))) (VP (ADVP (AD 相)) (VP (VV 比较))))) (NP (NR ①地)) (ADJP (JJ 年均)) (NP (NN 温))) (VP (ADVP (AD 最)) (VP (VA 低)))) )
2003-北京,6-D,图2中①②③三地自然条件相比较	②、③两地均受暖流影响,None,,2 7,10,,图2 中 ①②③三地 自然 条件 相 比较 ②、③两地 均 受 暖流 影响,图2 中 ① ② ③ 三 地 自然 条件 相 比较 ② 、 ③ 两地 均 受 暖流 影响,NN LC loc NN NN AD VV loc AD VV term NN,,分布_0（②、③两地，图2中①②③三地，均受暖流影响）,分布_0（②、③两地，图2中①②③三地，均受暖流影响）,0_8,0_8,分布,分布,,,图2 中 ① ② ③ 三 地 自然 条件 相 比较 ② 、 ③ 两地 均 受 暖流 影响,图2 中 ① ② ③ 三 地 自然 条件 相 比较 ② 、 ③ 两地 均 受 暖流 影响,NN LC loc NN NN AD VV loc AD VV term NN,( (IP (NP (CP (IP (LCP (NP (NN 图2)) (LC 中)) (NP (NP (NR ①②③三地)) (NP (NN 自然) (NN 条件))) (VP (ADVP (AD 相)) (VP (VV 比较))))) (NP (NR ②、③两地))) (VP (ADVP (AD 均)) (VP (VV 受) (NP (NN 暖流) (NN 影响))))) )
2003-北京,7-A,在此期间，能源生产与消费结构的变化为	煤炭消费量的比重增加最多,None,2,,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 煤炭 消费量 的 比重 增加 最 多,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 煤炭 消费量 的 比重 增加 最 多,P PN time PU NN NN CC NN NN DEG NN VC NN NN DEC NN VV AD VA,,时间限定_0（在此期间）趋势_1（能源生产与消费结构，煤炭消费量，，比重增加最多）,时间限定_0（在此期间）趋势_1（能源生产与消费结构，煤炭消费量，，比重增加最多）,0_2 1_10,0_2 1_10,时间限定 趋势,时间限定 趋势,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 煤炭 消费量 的 比重 增加 最多,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 煤炭 消费量 的 比重 增加 最多,P PN time PU NN NN CC NN NN DEG NN VC NN NN DEC NN VV CD,( (IP (NP (PP (P 在) (NP (PN 此))) (NP (NT 期间))) (PU ，) (NP (CP (IP (NP (DNP (NP (NN 能源) (NN 生产) (CC 与) (NN 消费) (NN 结构)) (DEG 的)) (NP (NN 变化))) (VP (VC 为) (NP (NN 煤炭) (NN 消费量)))) (DEC 的)) (NP (NN 比重))) (VP (VV 增加) (VP (ADVP (AD 最)) (VP (VA 多))))) )
2003-北京,7-B,在此期间，能源生产与消费结构的变化为	天然气生产量的比重变幅最大,None,2,,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 天然气 生产量 的 比重 变幅 最 大,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 天然气 生产量 的 比重 变幅 最 大,P PN time PU NN NN CC NN NN DEG NN VC NN NN DEC NN NN AD VA,,时间限定_0（在此期间）趋势_1（能源生产与消费结构，天然气生产量，，比重变幅最大）,时间限定_0（在此期间）趋势_1（能源生产与消费结构，天然气生产量，，比重变幅最大）,0_2 1_10,0_2 1_10,时间限定 趋势,时间限定 趋势,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 天然气 生产量 的 比重 变幅 最 大,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 天然气 生产量 的 比重 变幅 最 大,P PN time PU NN NN CC NN NN DEG NN VC NN NN DEC NN NN JJ,( (IP (NP (PP (P 在) (NP (PN 此))) (NP (NT 期间))) (PU ，) (NP (CP (IP (NP (DNP (NP (NN 能源) (NN 生产) (CC 与) (NN 消费) (NN 结构)) (DEG 的)) (NP (NN 变化))) (VP (VC 为) (NP (NN 天然气) (NN 生产量)))) (DEC 的)) (NP (NN 比重))) (NP (NN 变幅)) (VP (ADVP (AD 最)) (VP (VA 大)))) )
2003-北京,7-C,在此期间，能源生产与消费结构的变化为	1995年，煤炭生产量所占比重低于其消费量所占比重,n,2 12,,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN MSP VV NN VV PN NN MSP VV NN,,时间限定_0（在此期间）时间限定_1（1995年）趋势_2（能源生产与消费结构，，，煤炭生产量所占比重低于其消费量所占比重）,时间限定_0（在此期间）时间限定_1（1995年）趋势_2（能源生产与消费结构，，，比较_3（煤炭，，生产量所占比重，消费量所占比重，低））,0_2 1_12 2_10,0_2 1_12 2_10 3_19,时间限定 趋势,时间限定 趋势 比较,10,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1995年 ， 煤炭 生产量 所 占 比重 低于 其 消费量 所 占 比重,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN MSP VV NN VV PN NN MSP VV NN,( (IP (IP (NP (PP (P 在) (NP (PN 此))) (NP (NT 期间))) (PU ，) (NP (DNP (NP (NN 能源) (NN 生产) (CC 与) (NN 消费) (NN 结构)) (DEG 的)) (NP (NN 变化))) (VP (VC 为) (NP (NT 1995年)))) (PU ，) (NP (CP (IP (NP (NN 煤炭) (NN 生产量)) (VP (MSP 所) (VP (VV 占))))) (NP (NN 比重))) (VP (VV 低于) (NP (CP (IP (NP (NP (PN 其)) (NP (NN 消费量))) (VP (MSP 所) (VP (VV 占))))) (NP (NN 比重))))) )
